"C1" "C2" "C3" "C4" "C5" "C6" "tox"
"1" 0 0.287577520124614 0 1.225 0.667 1 23.4008092694131
"2" 0 0.788305135443807 0 1.401 0.632 0 19.2600833224465
"3" 9.23 0.4089769218117 0 2.93 0.486 1 17.8236058045801
"4" 9.23 0.883017404004931 0 2.887 0.495 3 29.8444692594826
"5" 9.23 0.940467284293845 0 2.758 0.695 1 16.9937752534176
"6" 215.34 0.0455564993899316 3 4.677 1.333 2 35.7951115184693
"7" 9.23 0.528105488047004 0 2.321 1.165 2 26.6488190927371
"8" 0 0.892419044394046 0 2.318 0.963 1 13.4677412848108
"9" 0 0.551435014465824 0 1.8 1.25 1 20.8414592281261
"10" 0 0.456614735303447 0 1.667 1.4 0 19.5955727918635
"11" 0 0.956833345349878 0 1.8 1.417 3 32.2560979011642
"12" 12.03 0.453334156190977 1 1.8 1.488 0 23.1435653619041
"13" 69.67 0.677570635452867 0 3.723 1.26 0 12.2616872439766
"14" 23.79 0.572633401956409 0 1.334 1.115 3 44.7601635205706
"15" 92.14 0.102924682665616 1 4.174 1.174 1 23.7520426105078
"16" 0 0.899824970401824 0 1.989 0.938 0 15.635728466808
"17" 0 0.24608773435466 0 1 0.588 1 27.1170285824468
"18" 35.53 0.0420595335308462 0 3.875 1.124 3 26.8654939694004
"19" 17.07 0.327920719282702 0 1.225 1.66 1 29.5673940402412
"20" 34.14 0.954503649147227 0 1.654 1.493 1 29.8290424151783
"21" 67.51 0.889539316063747 1 3.344 0.938 1 26.2033528253146
"22" 49.33 0.6928034061566 2 2.272 1.007 0 22.3979057022494
"23" 122.22 0.640506813768297 2 3.511 1.456 0 23.4866594344835
"24" 18.46 0.994269776623696 0 2.147 1.576 0 19.7923870709911
"25" 3.24 0.655705799115822 0 5.497 1.559 1 0.465290882927917
"26" 12.03 0.708530468167737 1 4.392 1.554 4 23.626885887267
"27" 54.57 0.544066024711356 0 4.026 1.575 0 13.2504599924245
"28" 118.22 0.59414202044718 5 3.83 1.214 0 22.1955687847752
"29" 37.3 0.28915973729454 1 2.63 1.166 0 17.8754702497182
"30" 3.24 0.147113647311926 0 3.258 1.31 1 13.7132335635261
"31" 12.47 0.963024232536554 0 3.362 1.373 1 20.4720328561302
"32" 0 0.902299045119435 0 1.265 0.57 2 32.6533030080979
"33" 0 0.690705278422683 0 1.265 0.722 1 25.422489614839
"34" 45.61 0.795467417687178 0 2.557 0.901 2 33.3739716734828
"35" 12.03 0.0246136845089495 1 1.654 1.732 1 22.0990181635897
"36" 86.81 0.477795971091837 3 2.938 1.416 1 34.8155311095783
"37" 132.42 0.758459537522867 2 4.984 1.087 2 21.234658428181
"38" 40.46 0.216407935833558 2 3.001 0.485 2 32.744224795099
"39" 0 0.318181007634848 0 2.837 0.735 3 32.4356098573411
"40" 20.23 0.231625785352662 1 2.494 1.229 1 20.1802768005552
"41" 40.46 0.142800022382289 2 2.832 0.917 0 21.901846769955
"42" 0 0.414546335814521 0 2.048 1.111 1 19.547981001156
"43" 26.02 0.413724326295778 2 2.031 0.992 0 18.2124979310894
"44" 17.07 0.368845450924709 0 2.005 1.276 0 16.6652392454075
"45" 0 0.152444747742265 0 2.119 1.25 2 21.0468120052045
"46" 0 0.13880606344901 0 2.119 1.25 0 12.2587009594173
"47" 0 0.233034099452198 0 2.118 1.204 0 9.47299290603277
"48" 17.07 0.465962450252846 0 1.155 1.74 0 28.5829202993539
"49" 29.1 0.265972640365362 1 2.438 0.773 0 26.9903833962075
"50" 37.3 0.857827715342864 1 1.401 1.582 1 31.1529636967178
"51" 40.46 0.0458311666734517 2 1.768 1.594 2 41.6040877462714
"52" 0 0.442200074205175 0 1.401 0.826 1 26.7965589179796
"53" 103.67 0.798924845643342 1 2.847 1.211 1 35.0647019684831
"54" 111.87 0.12189925997518 1 2.626 1.047 0 27.583210174643
"55" 38.33 0.560947983758524 1 2.612 1.293 0 20.7073288134095
"56" 75.27 0.20653138961643 2 2.709 1.029 1 30.8542967306471
"57" 17.07 0.127531650243327 0 1.334 1.66 1 33.1647035139094
"58" 87.66 0.753307864302769 3 3.514 1.339 0 19.9388516689122
"59" 37.3 0.895045359153301 1 1.577 1.56 1 36.8622442582172
"60" 49.17 0.374462775886059 0 3.329 1.042 0 16.2419431706754
"61" 93.06 0.665115194628015 2 3.767 1.189 1 28.8206925230969
"62" 0 0.0948406609240919 0 1.509 1.7 0 14.6820373014651
"63" 37.3 0.383969637798145 1 1.746 1.547 1 29.0763987151243
"64" 37.3 0.27438364457339 1 2.06 1.529 1 40.5010043449341
"65" 20.23 0.814640038879588 1 2.005 1.596 0 20.6650516059947
"66" 52.6 0.448516341391951 0 3.907 1.595 1 20.1327825853279
"67" 52.6 0.810064353048801 0 3.893 1.402 2 27.2627935209092
"68" 54.57 0.812389509519562 0 3.691 1.585 0 13.8353807698379
"69" 0 0.794342321110889 0 1.678 1.667 1 24.319088951061
"70" 81.7 0.439831687603146 1 4.623 1.517 0 12.2173669065453
"71" 20.23 0.754475158639252 1 3.049 1.247 1 19.7529225808656
"72" 20.23 0.629221131559461 1 2.913 1.229 0 15.6254058030999
"73" 50.24 0.710182401351631 0 2.789 1.206 2 33.5472986937538
"74" 20.23 0.000624773325398564 1 1.997 1.61 2 40.3547645130241
"75" 122.91 0.475316574098542 3 3.59 1.462 1 28.176087628764
"76" 45.61 0.220118885161355 0 2.445 1.29 1 26.1585498716355
"77" 44.45 0.379816537722945 0 1.84 0.92 1 33.5265413266362
"78" 38.33 0.612771003274247 1 2.472 0.638 1 29.0083865167091
"79" 70.14 0.351797909243032 3 1.909 0.907 2 43.9485171576825
"80" 52.6 0.111135424347594 0 3.197 1.356 1 23.5311451423486
"81" 52.6 0.243619472719729 0 3.568 1.15 2 24.7968725489156
"82" 9.23 0.66805558744818 0 2.15 1.754 0 21.981532549354
"83" 46.15 0.417646779678762 0 3.866 1.521 1 17.5490608874961
"84" 54.57 0.788195834029466 0 3.136 1.773 0 17.0688818988858
"85" 0 0.102864644257352 0 2.281 1.15 1 18.0220766886436
"86" 45.61 0.434892741497606 0 2.294 1.275 1 29.9229615986286
"87" 121.26 0.984956979984418 0 3.095 0.862 0 31.4369453465989
"88" 94.88 0.893051114398986 0 3.047 1.283 1 31.8060042356898
"89" 20.23 0.886469060787931 1 1.334 1.768 2 40.4442784335246
"90" 41.57 0.175052650272846 1 2.548 1.853 2 32.5659215706057
"91" 38.8 0.130695691565052 1 1.334 1.212 0 30.3111559546696
"92" 86.71 0.653101925039664 0 2.394 1.088 0 28.4200405674108
"93" 92.31 0.343516472261399 2 3.082 0.999 4 49.2669962290931
"94" 98.61 0.656758127966896 0 2.891 1.442 1 30.4775923723638
"95" 44.45 0.320373242488131 0 1.509 0.779 3 43.5895809780654
"96" 56.15 0.187691119266674 2 1.879 1.001 1 40.9080381157209
"97" 56.15 0.782294301316142 2 2.461 0.805 1 32.7118968707274
"98" 62.73 0.0935949867125601 2 2.478 1.254 1 27.9590260655908
"99" 86.52 0.46677904156968 2 2.679 1.198 0 25.4805149450693
"100" 20.23 0.511505459900945 1 1.155 1.911 1 29.6691118903576
