"Hour1" "Hour2" "Hour3" "Hour4" "Hour5" "Hour6" "Hour7" "Hour8" "Hour9" "Hour10" "Hour11" "Hour12" "Hour13" "Hour14" "Hour15" "Hour16" "Hour17" "Hour18" "Hour19" "Hour20" "Hour21" "Hour22" "Hour23" "Hour24"
"Day1" 614.399515524335 415.787939416919 220.478567140438 232.172791014898 1034.67496890776 3029.81617319702 5401.95530773431 6642.58348703953 6274.63644644957 5319.06572059306 4749.60836110399 4769.0093980487 5017.82748711228 5223.71370119374 5480.76365286969 5886.16717001896 6206.45103549101 5908.6362518481 4885.36589908921 3736.87889558746 3045.12238282319 2645.53369707019 2073.53040067462 1164.73953606808
"Day2" 477.372605609765 364.839235936956 188.264619023743 186.282654216246 954.545303901492 2901.33188841739 5227.33005283429 6447.90792952632 6063.56086615295 5040.03359760237 4409.58707992623 4349.51054966277 4510.16900489168 4720.96614058793 5100.61151601968 5618.264579919 5911.39644473745 5484.65032145002 4369.10127889654 3174.84251141273 2389.40313612966 1914.8691528953 1456.3062744173 916.042383711129
"Day3" 635.838987443143 447.033054724897 236.663623115786 230.001824014101 985.60470016339 2826.27799982792 4857.18162020389 5902.24286776097 5844.8010545637 5314.01955685868 5044.16652005559 5247.34681691828 5585.27375684599 5781.51730767792 5922.47528127864 6054.43943444203 5961.67323171224 5335.92087946383 4260.05673811781 3260.33985816778 2813.62597457874 2824.26168191957 2618.59078483611 1712.7200976668
"Day4" 517.137388830768 361.142470976153 177.872977682673 190.726389042769 1005.60051607151 3045.47700723843 5494.72759269054 6828.07838434003 6485.58533322761 5393.07043805542 4687.53304874254 4660.31052637648 4903.16734080431 5114.01616062962 5426.61521735002 5969.20491273991 6458.85919874736 6234.15088106783 5072.65016507781 3638.73374739076 2713.27054050067 2240.07804645658 1782.07151849911 1106.598708211
"Day5" 666.546569710967 419.525478718605 224.278112954533 247.284030353736 1004.72819454749 2859.97513028335 5028.89182140072 6143.75770802407 5872.0716128914 5175.4525952251 4821.0708854819 4906.29861154849 5132.80716635449 5346.64641989499 5657.02127798299 6045.02135171003 6230.85609197733 5749.63261970044 4644.58862995567 3548.31628996547 2918.38421469017 2551.5544628448 2035.64858979608 1183.56027132307
"Day6" 1326.41541269677 820.772234587711 535.804206419031 396.751905350735 427.471791085203 726.430512253648 1361.11615261165 2343.08690601267 3496.68285309488 4358.94858521415 4633.02853754703 4578.86232067259 4507.59748263335 4476.15066844256 4474.49676296325 4521.0059863693 4574.55180783541 4501.83931583146 4173.65711953696 3624.92659413467 3118.21328249086 2883.11637163668 2670.68340085133 2009.32121372022
"Day7" 661.418593481898 432.180332451959 275.228945586459 234.047502302659 478.401809183711 1106.51456261045 1847.67398319817 2268.41161603931 2349.23714379337 2538.43378433636 3006.69118265449 3543.22443152055 3867.98601696749 3974.53282867557 4036.86564020942 4012.08443665752 3712.17417867123 3120.59569732532 2472.51164820314 2117.3667357804 2192.46302780563 2386.48006273053 2249.55931719434 1556.86986650291
"Day8" 534.64071232068 360.266465243346 183.610142348005 236.762659212974 1038.65912426083 2843.34892255616 4883.23574556773 6020.99942001444 5963.00827885408 5300.11535085338 4717.08425088947 4592.28674156346 4747.76457702239 4911.69529735619 5187.8782932689 5680.00366484764 6031.44473317201 5690.48763897407 4631.64403638422 3504.9019173634 2824.45699448914 2333.8102744603 1722.30397289494 996.714513449313
"Day9" 543.149943242212 366.053201028505 185.315052144065 198.331513442743 951.728828448886 2848.85398689298 5159.68687507032 6483.66557785574 6275.93812789722 5319.56071324282 4610.12256534822 4489.07430437312 4663.81503613964 4864.42291926015 5189.25131750327 5713.28756268876 6089.15617022449 5709.11409761959 4545.98036102803 3303.76510863768 2531.89949718662 2029.04307590346 1503.68178511236 909.611653019033
"Day10" 612.704859480498 425.54740166465 223.127061412496 208.795099944937 943.431746222791 2847.90764629139 5167.65090562643 6447.06144055918 6185.05360493995 5312.34654899585 4788.89559403755 4816.78357045099 5025.50294258978 5182.64452504402 5452.92262998303 5908.30723359141 6196.45536159494 5776.12220869541 4639.37240194423 3457.28380561701 2794.70906750247 2458.94063299641 2026.4847988228 1330.05543551299
