"delay" "stay"
"1" 7 95
"2" 10 97
"3" 17 86
"4" 1 94
"5" 3 91
"6" 7 87
"7" 3 93
"8" 6 84
"9" 2 97
"10" 6 85
"11" 6 87
"12" 4 93
"13" 5 97
"14" 1 87
"15" -1 97
"16" 0 84
"17" 5 92
"18" 13 97
"19" 1 86
"20" -2 84
"21" 10 91
"22" 3 97
"23" 7 93
"24" 11 88
"25" -2 99
"26" -9 93
"27" 12 98
"28" -1 88
"29" 8 108
"30" 10 101
"31" 5 97
"32" 7 89
"33" 2 97
"34" -3 98
"35" 6 82
"36" 8 84
"37" 7 88
"38" 7 89
"39" 5 90
"40" -5 85
"41" 2 83
"42" -2 91
"43" 5 93
"44" 9 92
"45" 5 97
"46" 7 93
"47" 14 95
"48" 0 90
"49" 7 99
"50" 5 88
"51" 8 96
"52" -1 85
"53" 3 81
"54" 3 84
"55" 9 102
"56" 6 89
"57" 2 84
"58" 2 87
"59" 3 96
"60" 7 96
"61" 9 84
"62" 2 82
"63" 4 92
"64" -4 91
"65" -4 97
"66" -5 87
"67" 4 95
"68" 3 99
"69" 4 91
"70" 7 93
"71" -3 90
"72" 12 95
"73" 6 95
"74" 2 86
"75" 2 85
"76" 3 100
"77" -1 98
"78" 1 93
"79" 10 90
"80" 13 81
"81" 11 100
"82" 3 93
"83" 8 90
"84" 2 91
"85" 3 88
"86" 10 91
"87" 6 96
"88" 5 80
"89" 7 83
"90" 3 86
