"x" "y" "revenue" "colour" "optional"
"1" 511527.93 5029903 8.6 "red" TRUE
"2" 515446.29 5029903 22.24 "yellow" TRUE
"3" 512017.72 5030066.27 7.71 "orange" TRUE
"4" 512180.99 5030066.27 8.13 "orange" TRUE
"5" 514629.97 5030066.27 7.11 "orange" TRUE
"6" 516262.62 5030066.27 9.53 "red" TRUE
"7" 518058.54 5030066.27 22.04 "yellow" TRUE
"8" 512997.31 5030229.53 8.38 "red" TRUE
"9" 514303.44 5030229.53 9.1 "red" TRUE
"10" 515609.56 5030229.53 8.17 "red" TRUE
"11" 515772.82 5030229.53 23.96 "yellow" TRUE
"12" 516099.36 5030229.53 10.42 "red" TRUE
"13" 518548.33 5030229.53 9.93 "orange" TRUE
"14" 512997.31 5030392.8 9.12 "red" TRUE
"15" 514303.44 5030392.8 10.22 "red" TRUE
"16" 512997.31 5030556.06 10.66 "red" TRUE
"17" 516752.42 5030556.06 9.54 "red" TRUE
"18" 517732.01 5030556.06 6.61 "red" TRUE
"19" 515609.56 5030719.33 5.12 "red" TRUE
"20" 517405.48 5030719.33 5.25 "red" TRUE
"21" 511691.19 5031045.86 9.28 "red" TRUE
"22" 512670.78 5031209.12 8.01 "red" TRUE
"23" 513487.11 5031698.92 11.42 "red" TRUE
"24" 516752.42 5031862.18 6.48 "orange" TRUE
"25" 513160.58 5032025.45 10.12 "red" TRUE
"26" 516262.62 5032025.45 8.08 "red" TRUE
"27" 515283.03 5032188.71 9.77 "red" TRUE
"28" 516262.62 5032188.71 24.08 "yellow" TRUE
"29" 511364.66 5032351.98 11.47 "orange" TRUE
"30" 512017.72 5032351.98 11.32 "red" TRUE
"31" 517732.01 5032351.98 9.07 "red" TRUE
"32" 518711.6 5032351.98 8.67 "red" TRUE
"33" 515772.82 5032678.51 3.95 "orange" TRUE
"34" 512344.25 5032841.78 14.44 "red" TRUE
"35" 516262.62 5033005.04 3.68 "red" TRUE
"36" 512670.78 5033168.31 12.55 "red" TRUE
"37" 514140.17 5033331.57 9.91 "orange" TRUE
"38" 516752.42 5033331.57 18.06 "yellow" TRUE
"39" 512670.78 5033658.1 10.73 "orange" TRUE
"40" 512670.78 5033821.37 9.32 "red" TRUE
"41" 513650.38 5034147.9 10.71 "red" TRUE
"42" 512997.31 5034474.43 9.87 "red" TRUE
"43" 518221.8 5034474.43 11.33 "red" TRUE
"44" 518058.54 5034637.69 23.26 "yellow" TRUE
"45" 513976.91 5034964.22 6.95 "red" TRUE
"46" 514956.5 5034964.22 4.62 "red" TRUE
"47" 515772.82 5034964.22 7.24 "red" TRUE
"48" 518058.54 5034964.22 9.61 "red" TRUE
"49" 514793.23 5035127.49 7.1 "red" TRUE
"50" 516915.68 5035127.49 7.37 "red" TRUE
"51" 512834.05 5035290.76 9.45 "orange" TRUE
"52" 514629.97 5035290.76 8.27 "orange" TRUE
"53" 515936.09 5035290.76 24.14 "yellow" TRUE
"54" 511854.46 5035454.02 25.73 "yellow" TRUE
"55" 518385.07 5035617.29 13.03 "red" TRUE
"56" 514956.5 5035780.55 9.7 "red" TRUE
"57" 517895.27 5035780.55 23.54 "yellow" TRUE
"58" 514466.7 5035943.82 9.08 "red" TRUE
"59" 515446.29 5035943.82 12.44 "red" TRUE
"60" 516099.36 5036107.08 28.36 "yellow" TRUE
"61" 517568.74 5036107.08 7.1 "red" TRUE
"62" 517405.48 5036270.35 23.05 "yellow" TRUE
"63" 514303.44 5036596.88 12.49 "red" TRUE
"64" 514466.7 5036596.88 27.65 "yellow" TRUE
"65" 514629.97 5036760.14 11.92 "red" TRUE
"66" 515772.82 5036760.14 9.15 "orange" TRUE
"67" 513976.91 5037086.67 9.69 "red" TRUE
"68" 514303.44 5037086.67 27.13 "yellow" TRUE
"69" 514466.7 5037086.67 11.54 "red" TRUE
"70" 517242.21 5037249.94 26.42 "yellow" TRUE
"71" 518548.33 5037249.94 8.87 "red" TRUE
"72" 511038.13 5037413.2 9.65 "red" TRUE
"73" 511527.93 5037413.2 7.34 "red" TRUE
"74" 512507.52 5037413.2 10.61 "orange" TRUE
"75" 516915.68 5037413.2 13.19 "red" TRUE
"76" 518058.54 5037413.2 11.88 "red" TRUE
"77" 512507.52 5037576.47 10.89 "orange" TRUE
"78" 513323.84 5037576.47 24.12 "yellow" TRUE
"79" 517405.48 5037576.47 12.49 "red" TRUE
"80" 518385.07 5037576.47 9.45 "red" TRUE
"81" 511201.4 5037739.73 24.16 "yellow" TRUE
"82" 515936.09 5037739.73 10.44 "red" TRUE
"83" 512834.05 5037903 10.17 "orange" TRUE
"84" 515772.82 5037903 9.7 "red" TRUE
