"price" "freq" "cache_acc" "OS"
"1" 1735.76 3.7 17.5 "Mac"
"2" 1655.15 4.2 11.2 "Mac"
"3" 1792.93 3.8 19.8 "Mac"
"4" 1952.6 4.2 17.1 "Mac"
"5" 1544.51 2.9 19.8 "Mac"
"6" 1291.16 2 10.7 "Mac"
"7" 1633.21 2.5 19.4 "Mac"
"8" 1784.95 3 9.9 "Mac"
"9" 1775.29 3.7 15.2 "Mac"
"10" 1710.23 4.6 19.4 "Mac"
"11" 1421.06 1.5 16.3 "Mac"
"12" 1388.94 1.9 14.1 "Mac"
"13" 1621.46 3.8 12.5 "Mac"
"14" 1633.25 1.4 12.1 "Mac"
"15" 1714.07 2.7 8.7 "Mac"
"16" 1700.26 2.9 15.5 "Mac"
"17" 1655.03 2.7 19.5 "Mac"
"18" 1498.25 2.7 15.9 "Mac"
"19" 1527.62 2 14.2 "Mac"
"20" 1925.13 4.4 9.9 "Mac"
"21" 1465.44 2.9 18.5 "Windows"
"22" 1477.21 2.5 14.2 "Windows"
"23" 1483.86 4.5 8.2 "Windows"
"24" 1704.61 3.7 8.3 "Windows"
"25" 1540.02 3.5 9.8 "Windows"
"26" 1573.61 2.7 11.7 "Windows"
"27" 1522 3.6 17.9 "Windows"
"28" 1389.7 3.1 14.1 "Windows"
"29" 1404.15 2.1 17.7 "Windows"
"30" 1490.39 3 8.8 "Windows"
"31" 1379.41 3.9 19.1 "Windows"
"32" 1215.99 1.4 17.7 "Windows"
"33" 1530.79 2 9 "Windows"
"34" 1412.12 3.6 15.2 "Windows"
"35" 1283.94 2.6 16.6 "Windows"
"36" 1449.33 2.6 14.2 "Windows"
"37" 1442.1 4.2 16.7 "Windows"
"38" 1716.77 4.3 17 "Windows"
"39" 1377.32 3.4 9.2 "Windows"
"40" 1260.05 1.9 12.8 "Windows"
"41" 1496.09 3.9 11.6 "Linux"
"42" 1279.68 2.8 15.4 "Linux"
"43" 1548.14 4.4 19.7 "Linux"
"44" 1339.12 3.9 15.5 "Linux"
"45" 1371.61 2.2 14.3 "Linux"
"46" 1317.9 2.5 18.8 "Linux"
"47" 1282.24 1.6 15.7 "Linux"
"48" 1465.51 1.6 18.4 "Linux"
"49" 1267.2 1.6 11.1 "Linux"
"50" 1470.81 3.4 10.7 "Linux"
"51" 1391.28 4.5 15.3 "Linux"
"52" 1351.09 4 12.7 "Linux"
"53" 1496.22 2.4 17.1 "Linux"
"54" 1479.62 2.1 12.6 "Linux"
"55" 1454.42 3.8 17.6 "Linux"
"56" 1360.19 3 18.9 "Linux"
"57" 1456.58 3.7 19.8 "Linux"
"58" 1380.49 1.7 15.1 "Linux"
"59" 1614.7 2.8 8.2 "Linux"
"60" 1345.7 2.2 11.9 "Linux"
