"price" "length" "power" "draught" "crew" "year" "material"
5200 13 1070 1.54 3 2011 "wood"
4800 16 1070 1.98 1 2014 "wood"
5500 16 1570 1.22 2 2003 "wood"
7200 25 2570 2.46 1 2011 "fiberglass"
3800 16 1570 1.46 0 2013 "fiberglass"
6000 19 1070 1.74 1 2009 "wood"
5700 16 1070 1.38 2 2002 "wood"
4400 16 570 1.3 1 2002 "fiberglass"
3400 13 1570 1.62 0 2004 "wood"
5100 16 1570 1.78 1 2019 "wood"
6000 22 1570 2.46 0 2020 "fiberglass"
5400 19 1570 1.46 1 2012 "fiberglass"
3000 10 570 1.14 1 2002 "wood"
3400 13 1070 0.74 1 2013 "fiberglass"
4500 19 2070 1.78 0 2003 "fiberglass"
6100 19 1570 1.58 1 2016 "wood"
4200 16 1070 2.42 0 1997 "wood"
4600 16 570 1.7 1 2017 "fiberglass"
5400 19 1070 1.78 0 2005 "wood"
3200 13 570 1.66 0 2012 "wood"
4400 16 1070 1.66 1 2000 "fiberglass"
5400 19 2070 1.54 0 2011 "wood"
4700 13 1070 1.3 3 2013 "fiberglass"
5400 19 1070 2.26 1 2006 "fiberglass"
6000 19 1570 1.82 1 2003 "wood"
4800 16 1070 1.46 1 2019 "wood"
5100 19 2070 2.54 0 2015 "wood"
3700 16 1070 1.46 0 2013 "fiberglass"
5700 19 1570 1.54 1 2016 "wood"
1900 7 570 0.82 1 2002 "wood"
3600 13 70 2.02 1 2017 "wood"
4900 19 1570 1.94 0 2012 "fiberglass"
4000 16 570 1.66 0 2002 "wood"
4200 16 1070 1.9 0 2010 "wood"
5500 16 1070 1.42 2 2015 "wood"
5600 19 1070 1.66 1 2009 "wood"
3200 13 70 1.22 1 2006 "fiberglass"
4900 16 570 1.54 1 2014 "wood"
5900 19 2070 1.54 1 2006 "wood"
4400 16 1070 1.1 1 2004 "fiberglass"
5600 16 1070 2.18 2 2011 "wood"
8100 22 2070 2.1 3 2000 "wood"
2000 10 70 0.98 0 2013 "wood"
3000 10 570 0.98 1 2001 "wood"
3400 13 570 1.46 1 2001 "fiberglass"
5900 19 1570 2.3 1 2006 "wood"
4500 16 1070 1.54 1 2018 "fiberglass"
5500 16 1070 1.34 2 2008 "wood"
4600 16 1070 1.82 0 2015 "wood"
4400 16 1070 2.1 1 2003 "fiberglass"
4100 16 70 1.78 0 1999 "wood"
6000 19 1570 2.06 1 2005 "wood"
4200 10 70 1.18 3 1998 "wood"
5000 19 1570 1.62 0 2007 "wood"
6600 22 1070 2.42 1 2017 "fiberglass"
3900 16 1070 1.62 0 2005 "fiberglass"
6500 22 1570 2.66 1 2020 "fiberglass"
4600 16 1070 1.62 1 2007 "fiberglass"
5600 16 1570 1.1 2 2006 "wood"
3800 16 1070 1.38 0 2000 "wood"
4200 16 1070 1.98 0 2009 "wood"
5400 19 1070 1.78 1 2006 "fiberglass"
3900 16 1570 1.86 0 1997 "fiberglass"
5800 19 1570 1.94 1 1998 "wood"
3400 13 570 1.42 0 2013 "wood"
6500 22 2570 1.74 0 2002 "wood"
2900 13 570 1.46 0 2018 "fiberglass"
4000 13 570 1.66 2 2000 "fiberglass"
7500 22 1570 1.9 2 2000 "wood"
4200 16 1070 1.66 0 2010 "wood"
4100 13 1570 1.42 1 2010 "wood"
5100 16 1070 1.74 1 2020 "wood"
1800 10 570 1.3 0 2010 "fiberglass"
6300 19 1070 1.98 2 2005 "wood"
5200 16 1070 2.14 2 2012 "fiberglass"
3900 13 1070 2.06 1 2018 "wood"
4200 16 1570 1.1 0 2002 "wood"
4200 16 1070 0.86 0 2013 "wood"
4900 16 1070 1.86 1 2001 "wood"
4600 16 1570 2.1 1 2011 "fiberglass"
