"height" "width"
"PN_1" 33.6578 10.888
"PN_2" 35.1085 13.8434
"PN_3" 11.0956 6.8521
"PN_4" 35.6262 12.725
"PN_5" 39.7891 15.5083
"PN_6" 32.5906 10.2973
"PN_7" 20.7687 8.1307
"PN_8" 16.4117 7.8823
"PN_9" 33.8083 11.4172
"PN_10" 18.0195 2.8951
"PN_11" 21.3063 6.1406
"PN_12" 40.3939 12.385
"PN_13" 33.4786 15.5962
"PN_14" 31.6961 10.9604
"PN_15" 13.181 6.5112
"PN_16" 37.2947 15.1172
"PN_17" 33.9572 13.3864
"PN_18" 26.3344 10.2272
"PN_19" 34.1812 12.1266
"PN_20" 35.1554 13.6122
"PN_21" 17.5581 6.797
"PN_22" 41.6337 14.7844
"PN_23" 36.0136 11.5399
"PN_24" 33.7296 11.6737
"PN_25" 24.6819 8.8806
"PN_26" 34.9954 9.8326
"PN_27" 32.0074 10.9265
"PN_28" 32.8058 11.438
"PN_29" 21.5628 8.4978
"PN_30" 39.9045 14.4813
"PN_31" 32.3332 9.5523
"PN_32" 13.9548 8.2466
"PN_33" 14.1426 6.6003
"PN_34" 33.411 14.823
"PN_35" 32.3407 12.4571
"PN_36" 18.048 6.1288
"PN_37" 33.778 14.8154
"PN_38" 32.4769 14.126
"PN_39" 31.9252 9.4696
"PN_40" 42.0324 16.2465
"PN_41" 13.148 8.3032
"PN_42" 17.2791 6.5353
"PN_43" 18.2415 8.4422
"PN_44" 39.7801 12.3101
"PN_45" 11.5271 4.3403
"PN_46" 35.873 12.3532
"PN_47" 30.2182 9.3153
"PN_48" 31.257 12.9316
"PN_49" 14.6438 7.5542
"PN_50" 16.4321 5.8377
"PN_51" 36.3505 15.4331
"PN_52" 36.2103 13.9431
"PN_53" 29.4298 10.4193
"PN_54" 15.0036 8.85
"PN_55" 33.2994 13.6302
"PN_56" 34.9332 11.4219
"PN_57" 16.633 8.3433
"PN_58" 39.2403 14.4439
"PN_59" 35.9704 15.5043
"PN_60" 32.8148 12.0464
"PN_61" 37.9539 14.1543
"PN_62" 16.4618 6.2215
"PN_63" 32.368 13.5818
"PN_64" 35.1518 14.8429
"PN_65" 33.8794 13.3477
"PN_66" 35.5679 14.1699
"PN_67" 37.5058 16.3202
"PN_68" 12.4317 6.0994
"PN_69" 36.0105 14.1523
"PN_70" 37.8152 12.7109
"PN_71" 27.7369 10.0611
"PN_72" 34.9487 12.2851
"PN_73" 33.4842 12.5953
"PN_74" 38.8744 13.4786
"PN_75" 18.077 9.1436
"PN_76" 35.3885 10.3895
"PN_77" 31.7959 12.6147
"PN_78" 38.2443 14.1489
"PN_79" 35.4598 11.0666
"PN_80" 22.0942 8.0241
"PN_81" 30.2091 7.5238
"PN_82" 19.487 9.9349
