"Hour1" "Hour2" "Hour3" "Hour4" "Hour5" "Hour6" "Hour7" "Hour8" "Hour9" "Hour10" "Hour11" "Hour12" "Hour13" "Hour14" "Hour15" "Hour16" "Hour17" "Hour18" "Hour19" "Hour20" "Hour21" "Hour22" "Hour23" "Hour24"
"Day1" 16.99 18.89 22.75 26.89 31.79 26.77 29.55 34.1 30.87 35.47 31.48 36.29 34.74 30.97 27.59 28.81 21.25 18.56 18.12 19.29 17.86 13.5 6.47 3.9
"Day2" 4.9 4.59 4 3.03 5.31 4.92 6.32 6.98 10.82 12.54 15.55 18 20.32 21.35 22.71 22.01 20.94 18.95 15.87 13.48 10.17 9.69 6.73 5.52
"Day3" 3.65 2.99 4.59 6.8 7.54 9.84 13.12 17.66 17.11 22.93 24.17 25.21 30.66 30.27 34.07 33.56 33.78 29.69 24.84 22.63 19.2 15.24 14.28 10.35
"Day4" 6.11 2.3 9.18 14.6 16.94 23.7 23.52 23.38 25.86 28.86 29.81 28.59 31.29 32.13 30.82 27.83 24.73 28.31 22.92 12.67 17.22 15.86 10.5 8.07
"Day5" 3.84 4.54 5.08 5.91 6.85 7.04 9.35 9.37 12.14 13.54 14.76 15.86 18.1 17 18 16.6 15.26 13.35 12.22 10.83 7.83 7.86 6.52 5.39
"Day6" 3.42 3.53 5.17 7.02 5.51 7.44 8.45 13.71 14.1 17.31 19.01 21.11 21.87 24.66 26.12 28.87 30.35 25.93 25.25 23.12 21.94 18.94 16.99 15.31
"Day7" 4.02 3.29 3.64 5.08 5.81 7.44 7.63 11.15 11.02 12.41 13.3 13.55 12.59 13.48 12.73 12.73 10.46 10.19 8.17 6.85 6.88 4.08 3.63 3.83
"Day8" 4.63 5.23 2.49 5.47 5.84 4.17 8.16 10.23 13.54 15.8 20.75 24.94 30.76 31.46 31.15 35.06 32.33 30.12 28.6 24.56 20.54 16.33 14.27 13.73
"Day9" 4.07 3.9 6.5 8.42 9.01 14.16 16.08 20.35 24.25 24.75 28.88 29.87 29.43 28.05 30.28 23.75 20.73 18.77 13.58 9.57 8.14 5.75 6.09 4.82
"Day10" 2.29 6.25 4.76 8.6 12.42 14.53 20.74 22.89 28.14 37.79 36.28 39.77 39.25 43.19 41.2 42.31 37.16 35.61 31.38 26.85 18.98 17.57 12.03 8.92
"Day11" 3.42 3.84 2.24 5.06 4.67 2.84 3.56 8.78 14.05 14.71 20.89 24.29 34.76 41.37 42.41 44.74 42.72 38.38 30.9 23.85 16.29 11.53 10.38 5.49
"Day12" 2.74 4.49 3.61 4.9 3.01 3.18 6.79 7.2 7.77 10.71 15.82 21.34 26.62 32.54 36.97 35.84 33.63 28.05 24.24 18.45 11.41 8.94 6.02 5.56
"Day13" 4.96 2.14 3.39 10.59 11.72 15.22 15.02 19.65 25.42 30.31 24.94 28.18 30.18 29.89 29.51 27.98 28.53 27.81 25.62 20.72 20.7 18.32 16.75 9.1
"Day14" 3.79 3.55 2.96 6.38 6.01 8.56 10.57 11.42 13.49 17.1 18.5 20.63 22.68 22.62 22.71 22.3 20.62 19.64 15.71 16.12 11.71 10.56 8.32 5.77
"Day15" 3.1 3.5 3.53 3.57 3.62 3.5 3.23 4.02 4.3 5.37 6.95 8.85 11.91 13.4 14.5 14.96 13.38 11.11 9.45 7.15 5.55 4.69 3.98 3.02
"Day16" 3.66 4.6 6.54 6.68 9.51 11.54 11.46 11.53 13.31 14.19 15.95 16.4 15.03 13.41 14.62 12.93 11.84 10.64 9.83 9.47 6.49 7.07 4.34 5.54
"Day17" 2.63 3.83 6.17 8.05 9.22 12.88 18.76 22.7 27.1 29.65 30.07 26.38 23.17 18.21 14.73 8.73 6.13 5.64 4.7 4.87 3.55 2.34 3.38 2.53
"Day18" 2.32 2.21 2.86 4.01 4.42 5.72 6.48 7.15 8.58 9.77 9.63 10.35 12.21 10.92 12.12 11.04 10.82 10.36 9.56 8.27 7.21 5.47 4.77 3.45
"Day19" 3.33 4.11 4.39 4.11 5.64 3.46 4.2 3.1 5.84 9.57 13.42 17.6 27.16 31.87 39.3 41.58 40.88 39.87 31.6 25.28 18.15 12.84 7.91 6.74
"Day20" 3.23 4 5.15 5.89 6.49 7.05 8.38 9.55 9.69 11.27 10.8 10.36 11.55 10.3 9.89 8.46 8.3 7.73 6.17 4.73 4.81 3.51 2.33 2.03
"Day21" 3.65 4.15 4.81 7.32 3.87 7.52 10.56 12.08 14.66 12.88 16.36 17.65 18.45 20.63 21.14 21.84 22.59 24.52 21.46 20.67 19.35 19.79 18.4 16
"Day22" 2.66 5.24 10.88 14.02 16.04 18.74 25.85 27.3 32.37 34.41 35.81 38.25 42.47 39.37 39.62 41.01 34.15 37.36 35.3 30.4 21.42 24.51 17.14 17.56
"Day23" 2 4.59 4.16 4.46 5.16 7.26 8.88 9.56 13.25 16.22 17.46 20.51 22.41 23.88 21.68 22.74 23.23 23.35 21.34 17.8 19.51 14.16 11.77 7.46
"Day24" 4.7 3.81 5.25 4.62 7.2 7.39 7.99 12.57 16.07 14.29 19.12 21.49 24.49 26.19 30.34 27.68 27.27 27.82 28.53 26.48 22.16 19.69 15.61 13.04
"Day25" 3.86 3.46 3.4 3.36 3.94 6.06 7.15 8.3 11.55 12.97 15.23 17.99 18.06 18.25 17.56 15.63 13.35 12.62 9.29 7.28 5.54 4.27 4 3.94
"Day26" 12.97 11.4 17.72 18.79 18.9 18.77 23.51 23.57 19.69 22.55 22.63 23.13 22 16.33 18.3 20.59 19.04 18.58 11.75 14.16 6.93 7.49 7.14 2.49
"Day27" 3.9 4.48 6.44 5.83 7.31 7.89 8.3 8.16 9.77 10.4 12.33 11.4 12.24 13.35 12.56 12.43 12.61 12.13 11.49 11.32 12.12 9.87 10.2 8.21
"Day28" 3.83 6.68 5.1 7.27 6.03 11.62 12.38 17.08 21.41 26.18 33.82 36.72 40.61 40.24 38.66 35.19 28.03 23.49 17.49 12.99 9.79 8.74 5.8 4.54
"Day29" 6.46 10.66 12.85 20.34 21.64 20.02 27.35 28.17 31.93 32.25 32.88 33.88 33.31 29.3 27.61 22.66 22.37 20.18 13.89 16.06 8.67 7.09 3.51 2.74
"Day30" 2.7 2.5 3.44 4.09 4.44 4.93 6.43 6.71 7.62 8.3 8.89 10.06 10.2 10.98 11.14 10.25 10.21 8.82 8.75 7.55 6.92 5.87 5.03 3.8
