"x" "y" "winter" "distance" "price"
"1" 344076.75 5072878.02 "no" 1751.52 193.46
"2" 340566.54 5073612.71 "no" 2103.24 153.94
"3" 343423.69 5073122.91 "yes" 1221.3 314.54
"4" 343097.16 5072714.75 "no" 760.41 150.72
"5" 342933.89 5073041.28 "yes" 774.58 436.85
"6" 340974.71 5074673.93 "no" 2563.83 211.43
"7" 344158.38 5073612.71 "yes" 2103.04 329.01
"8" 343913.48 5074837.2 "yes" 2789.78 243.94
"9" 340974.71 5072061.69 "yes" 1461.04 339.91
"10" 343097.16 5073612.71 "yes" 1318.13 363.09
"11" 343586.95 5075163.73 "no" 2915.08 221.51
"12" 343097.16 5074510.67 "yes" 2123.53 275.01
"13" 340893.07 5074755.57 "no" 2676.77 218.63
"14" 342117.56 5074837.2 "yes" 2331.87 280.63
"15" 343995.11 5074184.14 "no" 2332.46 185.22
"16" 341546.14 5071571.89 "yes" 1249.86 335.55
"17" 343750.22 5074184.14 "no" 2168.12 220.35
"18" 344076.75 5072061.69 "no" 1773.92 193.45
"19" 342444.09 5071816.79 "no" 706.17 213.94
"20" 343015.52 5074755.57 "no" 2330.66 188.21
"21" 343995.11 5071571.89 "yes" 1886.99 296.4
"22" 341627.77 5072224.95 "yes" 791.18 393.61
"23" 340811.44 5075490.26 "no" 3352.45 176.43
"24" 342035.93 5071735.16 "yes" 848.48 369.5
"25" 343423.69 5075245.36 "yes" 2926.28 283.4
"26" 341464.5 5071653.53 "yes" 1246.71 372.54
"27" 343260.42 5074510.67 "no" 2185.38 175.27
"28" 343423.69 5073204.55 "no" 1263.71 196.98
"29" 343423.69 5071571.89 "yes" 1421.8 375.2
"30" 340403.28 5075082.1 "yes" 3226.8 262.18
"31" 343913.48 5074020.87 "no" 2159.44 177.92
"32" 342607.36 5074592.3 "yes" 2088.46 359.83
"33" 340321.65 5072551.48 "no" 2041.21 188.57
"34" 341464.5 5075082.1 "yes" 2716.6 219.33
"35" 343423.69 5074347.4 "yes" 2114.66 307.13
"36" 340403.28 5072143.32 "no" 1994.85 191.92
"37" 343586.95 5074755.57 "yes" 2550.43 200.82
"38" 341301.24 5072143.32 "no" 1125.62 192.18
"39" 343178.79 5075408.63 "yes" 3003.42 213.28
"40" 341546.14 5073775.97 "no" 1499.49 228.36
"41" 340893.07 5072143.32 "yes" 1516.58 340.62
"42" 340729.81 5073939.24 "no" 2164.53 239.67
"43" 341791.03 5074755.57 "yes" 2309.18 270.27
"44" 341709.4 5073286.18 "no" 1008.15 288.41
"45" 343995.11 5074837.2 "yes" 2835.97 285.6
"46" 342852.26 5075082.1 "yes" 2610.2 277.55
"47" 341382.87 5073286.18 "yes" 1244.81 366.65
"48" 341791.03 5073939.24 "no" 1531.63 249.57
"49" 341382.87 5074673.93 "yes" 2367.88 275.57
"50" 340974.71 5074510.67 "yes" 2428.16 272.8
"51" 343913.48 5074265.77 "no" 2336.48 166.99
"52" 340974.71 5073204.55 "yes" 1548.29 354.62
"53" 343097.16 5075408.63 "yes" 2982.27 262.49
"54" 342035.93 5075000.46 "yes" 2503.62 238.65
"55" 341056.34 5072306.59 "no" 1323.28 194.06
