"rate" "rain" "hardness" "coarse" "fine"
31.04 647 4 9.81 8.93
31.05 689 5 12.62 10.29
30.57 715 7 10.55 8.76
30.95 661 4 12.09 8.39
32.53 677 4 12.55 10.51
29.57 660 4 10.4 7.79
29.89 638 4 8.79 10.28
31.27 784 4 10.04 7.4
30.9 703 5 11.83 8
29.57 679 7 10.05 7.5
30.37 632 6 11.4 7.97
31.4 709 7 12.37 7.09
30.94 648 5 12.44 9.95
31.56 677 5 10.3 11.09
30.65 680 5 10.25 10.62
30.27 655 4 12.62 10.71
30.36 675 4 11.46 9.03
31.63 628 5 11.91 8.81
30.45 629 4 11.28 10.77
31.7 695 7 12.65 9.76
30.3 671 5 9.85 10.01
28.99 679 4 9.38 8.53
31.34 636 4 12.58 8.12
31.3 670 6 10.82 11.66
33.07 777 6 12.53 9.9
30.03 652 4 9.37 7.84
30.78 651 3 11.99 7.43
31.17 693 6 11.83 9.14
32.16 635 5 12.84 11.33
30.61 719 4 11.02 9.73
31.73 695 3 11.77 11.58
30.56 632 4 10.29 10.39
29.96 699 4 8.96 8.55
30.77 635 4 12.77 8.91
30.49 670 4 9.8 7.53
31.21 775 4 11.22 6.86
31.47 730 4 9.01 10.31
29.85 631 4 12.37 7.31
29.98 699 5 9.96 8.99
30.41 646 6 12.1 9.94
30.43 689 3 9.73 11.66
30.25 700 5 9.51 9.23
31.78 732 6 10.88 9.17
29.41 646 4 9.74 7.65
29.93 753 3 9.33 10.5
30.43 667 4 10.89 9.02
30.99 655 4 11.09 9.3
29.73 705 4 9.09 7.82
30.4 663 4 9.68 7.92
32.4 941 4 11.8 9.72
30.77 641 4 12.92 9.62
29.68 658 4 8.96 7.18
30.16 664 8 12.01 6.97
31.99 652 4 12.86 9.95
32.09 687 5 12.27 11.35
30.34 651 6 9.92 9.73
31.86 669 4 11.49 9.55
31.7 696 4 12.89 9.38
31.76 730 3 12.89 11.63
30.41 698 7 10.06 9.29
30.34 715 6 9.71 10.15
30.86 793 4 9.26 9.75
30.72 664 5 9.98 7.97
29.27 627 5 10.85 8.07
31.49 629 4 12.75 10.37
31.34 815 8 10.85 9.02
29.98 666 4 9.69 7.66
29.39 657 6 8.71 10.46
31.18 862 3 10.42 7.31
31.98 674 4 12.43 11.04
30.42 684 4 10.1 9.81
29.52 624 4 9.1 9.53
30.72 639 6 10.22 8.41
31.22 676 6 11.4 9.02
31.58 720 4 10.29 9.25
30.76 704 5 11.67 7.69
30.23 627 3 11.67 9.4
29.97 642 4 11.05 7.17
30.64 745 7 10.48 8.16
30.96 843 5 10.58 7.84
