"major_axis" "eccentricity"
0.589 0.924
0.741 0.901
0.427 0.93
0.673 0.861
0.643 0.897
0.728 0.93
0.569 0.892
0.647 0.885
0.635 0.89
0.541 0.915
0.745 0.863
0.739 0.895
0.686 0.924
0.789 0.97
0.669 0.874
0.456 0.908
0.538 0.907
0.462 0.879
0.549 0.883
0.532 0.889
0.609 0.88
0.498 0.884
0.623 0.904
0.528 0.964
0.81 0.889
0.688 0.908
0.71 0.911
0.649 0.949
0.8 0.92
0.53 0.894
0.551 0.867
0.771 0.909
0.529 0.895
0.58 0.908
0.559 0.946
0.567 0.918
0.572 0.918
0.662 0.908
0.584 0.875
0.545 0.884
0.761 0.911
0.579 0.914
0.441 0.753
0.444 0.758
0.482 0.801
0.446 0.801
0.447 0.764
0.417 0.751
0.434 0.781
0.452 0.747
0.422 0.763
0.474 0.798
0.378 0.765
0.463 0.816
0.378 0.728
0.435 0.709
0.425 0.79
0.419 0.813
0.446 0.757
0.36 0.782
0.757 0.65
0.669 0.706
0.706 0.689
0.686 0.705
0.697 0.722
0.785 0.701
0.721 0.747
0.681 0.672
0.67 0.702
0.735 0.655
0.72 0.694
0.711 0.722
0.692 0.691
0.675 0.727
0.687 0.734
0.752 0.699
0.701 0.715
0.678 0.705
0.779 0.704
0.734 0.719
0.713 0.718
