"Area" "Perimeter" "MajorAxisLength" "MinorAxisLength" "Eccentricity" "ConvexArea" "EquivDiameter" "Roundness" "Type"
37789 766.37 313.57 154.35 0.87 38251.02 219.35 0.81 "cannellini"
56627.02 922.88 356.2 203.05 0.84 57280 268.51 0.83 "adzuki"
35139.01 734.02 292.62 154.73 0.86 35769 211.52 0.83 "cannellini"
55971.99 897.39 342.49 208.79 0.81 56562.98 266.96 0.87 "adzuki"
44924 817.21 282.14 203.15 0.69 45772.01 239.16 0.85 "black-eyed"
59182.99 934.85 353.58 214.65 0.79 59939 274.5 0.85 "adzuki"
57617.01 901.72 344.4 213.78 0.79 58093.01 270.85 0.87 "adzuki"
49990.99 911.82 329.26 193.83 0.8 51285.01 252.28 0.75 "black-eyed"
33518 702.97 277.58 154.32 0.84 34023 206.58 0.84 "cannellini"
50947.99 884.69 313.56 208.2 0.75 52063 254.7 0.78 "black-eyed"
58634.02 930.44 351.84 214.94 0.81 59677.02 273.24 0.86 "adzuki"
45564.01 802.75 296.08 196.33 0.74 46120.01 240.85 0.89 "black-eyed"
49975.02 873.52 313.98 203.93 0.76 50699 252.25 0.82 "black-eyed"
47794 833.45 279.67 217.92 0.62 48528 246.68 0.86 "black-eyed"
58877 964.92 376.85 202.27 0.86 60278 273.78 0.8 "adzuki"
47939.99 854.77 284.15 215.17 0.67 48827.99 247.07 0.82 "black-eyed"
48868.01 885.3 313.66 198.97 0.77 49647.98 249.44 0.77 "black-eyed"
56376 921.45 350.68 205.41 0.81 57032.01 267.93 0.85 "adzuki"
35797.99 743.15 295.12 156.4 0.86 36549 213.5 0.82 "cannellini"
37470.99 763.69 314.38 152.45 0.88 38008.01 218.44 0.81 "cannellini"
55501.01 898.17 345.51 207.02 0.81 56394.02 265.84 0.85 "adzuki"
50711.99 877.17 316.22 204.48 0.76 51453.98 254.13 0.83 "black-eyed"
38427 756.32 306.53 160.58 0.84 38773 221.18 0.83 "cannellini"
55608.01 918.74 348.46 205.43 0.82 56288 266.08 0.83 "adzuki"
35255 717.65 268.13 169.17 0.76 35859.99 211.88 0.86 "cannellini"
55938 909.94 347.29 205.54 0.82 56664 266.89 0.84 "adzuki"
47667.98 846.14 300.1 202.9 0.74 48449.98 246.36 0.85 "black-eyed"
46529.02 815.02 289.62 205.38 0.72 47155.99 243.39 0.87 "black-eyed"
37781 738.8 283.24 170.2 0.81 38242 219.33 0.87 "cannellini"
37735.99 791.58 297.39 165.75 0.82 38887.01 219.2 0.74 "cannellini"
34586.02 727.4 283.53 156.55 0.84 35278.03 209.86 0.82 "cannellini"
33927.01 709.65 285.89 152.41 0.85 34357.99 207.85 0.84 "cannellini"
51643.01 855.52 307.99 213.62 0.72 52139.02 256.42 0.9 "adzuki"
41488.02 759.54 283.15 186.99 0.77 42004.98 229.83 0.89 "black-eyed"
38110.02 861.57 310.18 157.48 0.85 39200 220.27 0.64 "cannellini"
58821.99 942.55 368.15 206.61 0.83 60179 273.66 0.84 "adzuki"
33954.02 716.75 277.38 156.36 0.83 34419.99 207.91 0.83 "cannellini"
50797.98 900.91 308.39 210.46 0.73 52164 254.32 0.8 "black-eyed"
35755.02 756.9 306.6 149.37 0.87 36384.01 213.37 0.79 "cannellini"
35464.01 741.98 278.14 163.99 0.8 36088 212.5 0.81 "cannellini"
59208.01 958.48 371.68 203.76 0.83 60037 274.56 0.82 "adzuki"
58094.01 922.39 350.11 212.85 0.8 58691.01 271.97 0.85 "adzuki"
48439 810.39 297.99 207.32 0.74 48883 248.33 0.92 "black-eyed"
34951.98 707.96 272.48 163.73 0.8 35404.01 210.99 0.89 "cannellini"
37599.98 749.28 299.17 161.1 0.86 38280.01 218.81 0.83 "cannellini"
56675 898.45 344.95 210.22 0.78 57180 268.63 0.88 "adzuki"
45504.01 793.42 295.47 196.32 0.76 45971.99 240.71 0.89 "adzuki"
43144.99 799.42 273.43 201.27 0.69 43812 234.38 0.84 "black-eyed"
47003 821.29 300.19 200.13 0.74 47680.98 244.63 0.87 "black-eyed"
48373 825.15 313.56 197.91 0.77 49026.01 248.16 0.9 "adzuki"
36143.02 737 299.89 154.18 0.86 36592 214.52 0.84 "cannellini"
48915.01 894.48 310.09 201.77 0.75 50027 249.56 0.78 "black-eyed"
49881.99 891.51 357.2 179.83 0.86 51042.01 252.01 0.78 "adzuki"
57861.98 951.33 372.45 202 0.84 59220 271.43 0.81 "adzuki"
45012.01 854.16 299.3 192.14 0.76 45841.02 239.4 0.77 "black-eyed"
49165.99 856.35 293.78 214.17 0.67 50168.02 250.2 0.86 "black-eyed"
49776.99 861.28 300.75 211.63 0.7 50590.01 251.75 0.84 "black-eyed"
37039.01 747.6 301.81 156.97 0.85 37726 217.16 0.85 "cannellini"
48638 874.67 303.61 204.66 0.74 49542.98 248.84 0.79 "black-eyed"
45653.02 841.13 303.47 191.95 0.76 46601 241.1 0.82 "black-eyed"
44026.98 813.84 293.39 192.12 0.76 44638.99 236.77 0.85 "black-eyed"
58252.01 950.38 363.19 208.03 0.8 59974.01 272.35 0.81 "adzuki"
33005.99 710.51 283.02 149.62 0.84 33354 205 0.82 "cannellini"
36608.99 748.42 305.32 153.23 0.85 36969 215.9 0.82 "cannellini"
58739.99 942.69 370.65 204.02 0.83 59700.99 273.49 0.84 "adzuki"
57548.98 929.96 362.94 204.57 0.82 58471.01 270.7 0.82 "adzuki"
49309.01 867.46 304.07 206.79 0.72 50235 250.57 0.84 "black-eyed"
48165 824.69 310.01 198.26 0.76 48758.01 247.63 0.91 "black-eyed"
37430.01 748.58 299.05 160.73 0.83 37902 218.31 0.85 "cannellini"
37454 772.67 297.63 162.15 0.85 38113 218.37 0.8 "cannellini"
57853.01 930.74 358.63 207.24 0.83 58737.01 271.42 0.83 "adzuki"
56270.01 920.45 374.11 194.1 0.86 57444.99 267.66 0.84 "adzuki"
36799 759.24 300.62 157.23 0.84 37392.98 216.46 0.79 "cannellini"
48160 829.24 304.55 202.72 0.75 48950.01 247.63 0.9 "black-eyed"
57017.01 903.27 355.34 205.46 0.83 57649 269.45 0.89 "adzuki"
49244.99 822.64 301.38 208.36 0.74 49719.99 250.4 0.91 "adzuki"
59343.99 944.27 355.4 214.72 0.81 60734 274.89 0.84 "adzuki"
50167 873.82 309.9 206.78 0.74 50937 252.73 0.83 "black-eyed"
