"price" "location" "type"
1104 "Chiavari" "hotel"
677 "Rapallo" "bb"
834 "Rapallo" "hotel"
960 "Rapallo" "bb"
1117 "Chiavari" "bb"
965 "Rapallo" "apt"
806 "Rapallo" "hotel"
770 "Chiavari" "bb"
605 "Rapallo" "apt"
872 "Rapallo" "apt"
901 "Chiavari" "bb"
1127 "Chiavari" "bb"
868 "Rapallo" "bb"
792 "Chiavari" "apt"
696 "Rapallo" "apt"
1029 "Chiavari" "hotel"
753 "Rapallo" "hotel"
1025 "Chiavari" "hotel"
1085 "Chiavari" "hotel"
821 "Chiavari" "apt"
930 "Rapallo" "bb"
795 "Chiavari" "bb"
826 "Chiavari" "bb"
745 "Chiavari" "apt"
555 "Chiavari" "bb"
609 "Rapallo" "apt"
617 "Chiavari" "apt"
773 "Rapallo" "bb"
806 "Chiavari" "bb"
786 "Rapallo" "bb"
935 "Chiavari" "hotel"
740 "Chiavari" "apt"
767 "Rapallo" "apt"
954 "Rapallo" "bb"
738 "Rapallo" "hotel"
951 "Rapallo" "bb"
834 "Chiavari" "bb"
1007 "Chiavari" "bb"
679 "Chiavari" "bb"
964 "Rapallo" "bb"
852 "Chiavari" "bb"
1040 "Rapallo" "bb"
755 "Chiavari" "apt"
680 "Chiavari" "apt"
583 "Chiavari" "apt"
967 "Chiavari" "bb"
1013 "Rapallo" "hotel"
685 "Rapallo" "bb"
861 "Rapallo" "bb"
773 "Chiavari" "apt"
754 "Rapallo" "hotel"
795 "Rapallo" "apt"
1063 "Rapallo" "hotel"
903 "Rapallo" "bb"
1004 "Chiavari" "hotel"
784 "Rapallo" "hotel"
649 "Chiavari" "bb"
712 "Chiavari" "bb"
676 "Rapallo" "apt"
1087 "Chiavari" "hotel"
627 "Rapallo" "bb"
922 "Rapallo" "apt"
742 "Chiavari" "bb"
1094 "Chiavari" "hotel"
770 "Rapallo" "bb"
895 "Chiavari" "hotel"
1076 "Chiavari" "hotel"
753 "Rapallo" "apt"
678 "Chiavari" "apt"
1233 "Chiavari" "hotel"
1332 "Chiavari" "hotel"
697 "Chiavari" "bb"
850 "Chiavari" "hotel"
812 "Chiavari" "apt"
659 "Rapallo" "bb"
700 "Chiavari" "apt"
1055 "Rapallo" "hotel"
804 "Rapallo" "hotel"
748 "Rapallo" "apt"
989 "Rapallo" "apt"
1192 "Rapallo" "hotel"
851 "Rapallo" "bb"
926 "Rapallo" "bb"
915 "Chiavari" "hotel"
846 "Rapallo" "apt"
1003 "Chiavari" "apt"
1109 "Rapallo" "hotel"
713 "Chiavari" "apt"
1302 "Rapallo" "hotel"
769 "Rapallo" "bb"
946 "Chiavari" "hotel"
659 "Rapallo" "hotel"
662 "Rapallo" "apt"
922 "Chiavari" "apt"
804 "Chiavari" "bb"
1103 "Rapallo" "hotel"
794 "Rapallo" "apt"
1017 "Rapallo" "hotel"
676 "Chiavari" "apt"
989 "Chiavari" "apt"
1031 "Rapallo" "hotel"
904 "Rapallo" "apt"
942 "Rapallo" "hotel"
638 "Chiavari" "bb"
719 "Chiavari" "hotel"
897 "Rapallo" "apt"
1015 "Chiavari" "hotel"
967 "Chiavari" "bb"
890 "Rapallo" "bb"
1246 "Rapallo" "hotel"
915 "Chiavari" "apt"
1059 "Rapallo" "hotel"
928 "Rapallo" "apt"
717 "Rapallo" "apt"
1180 "Chiavari" "hotel"
1000 "Chiavari" "apt"
898 "Chiavari" "hotel"
820 "Rapallo" "apt"
818 "Chiavari" "apt"
1035 "Chiavari" "hotel"
