"gender" "age" "height" "distance" "siblings" "computertime" "exercisehours" "musiccds" "playgames" "watchtv"
"male" 21 70 90 1 25 0 25 6 10
"female" 22 68 95 2 10 6.5 55 2 12
"male" 27 72 800 3 10 0 125 5 10
"male" 20 70 10 2 5 0 0 5 5
"female" 19 67 280 2 4 2 164 0 2
"female" 19 65 150 8 10 7 50 0 15
"male" 19 74 130 2 10 4 0 8 2
"female" 20 69 90 3 1 1 10 0 10
"male" 20 74 323 1 8 12 75 0 8
"male" 18 69 15 1 7 3 30 1 2
"male" 19 69 240 2 10 0 215 2 2
"female" 21 63 25000 0 14 0 30 4 21
"female" 21 68 120 1 4 0 500 0 7
"female" 20 67 300 4 6 10 100 2 14
"male" 21 71 35 2 8 0 25 6 12
"female" 22 74 144 2 3 3 14 0 4
"male" 20 70 220 2 3 4 50 5 10
"female" 19 66 76 1 14 4 97 0 5
"female" 19 66 15 4 25 4 100 0 15
"female" 21 67 30 2 8 4 128 0 2
"female" 18 65 1200 4 20 0 50 3 3
"female" 20 68 99.6 1 30 0 120 10 21
"male" 19 71 20 2 15 4 100 5 12
"female" 18 64 140 2 14 0.5 25 0 0.5
"female" 22 64 250 5 5 0 30 0 10
"female" 19 65 950 1 10 0 15 8 2
"male" 20 66 0 1 8 0 100 8 6
"male" 19 77 60 3 20 5 30 2 10
"female" 19 67 10 2 3 3 40 0 5
"female" 20 65 288.5 2 25 0 47 1 5
"female" 19 67 1800 1 8 9 101 0 3
"female" 20 69 100 1 10 21 100 0 5
"male" 24 72 90 2 4 6 100 4 10
"female" 19 67 90 2 20 6 10 3 10
"female" 22 67 88 3 8 3 40 1 8
"male" 18 71 150 2 10 10 20 3 1
"male" 23 77 330 1 20 6 300 0 10
"male" 22 68 137 3 10 10 40 10 6
"female" 19 67 80 3 15 5 25 1 15
"female" 20 70 0 2 10 8 25 0 3
"male" 22 71 600 5 6 2 25 1 4
"male" 19 69 190 1 5 6 50 4 3
"female" 19 68 200 2 7 5 200 0.5 3
"male" 19 72 12 1 17.5 0 70 2 4
"male" 20 69 30 2 15 0 200 3 20
"female" 19 68 300 5 6 0 200 0 12
"female" 19 68 110 0 30 8 10 0 15
"female" 21 68 400 1 25 5 30 0 5
"male" 22 68 0 2 10 0 150 2 15
"male" 19 67 350 2 4 10 500 0 10
"female" 21 62 30 3 15 6 100 1 4
"female" 21 62 460 3 10 4 25 0 1
"female" 19 66 80 3 4 4 50 7 7
"male" 20 67 48 1 3 2 150 0 3
"male" 19 76 137 2 20 4 75 8 12
"female" 19 66 50 6 4 2 50 1 14
"male" 19 68 102 2 14 0 20 14 1
"female" 28 66 6350 1 10 0 50 3 10
"female" 20 67 600 1 15 4 140 0 15
"male" 19 70 0 1 20 0 500 12 5
"male" 20 68 212 1 3 4 50 1 10
"female" 19 68 90 2 10 7 12 0 2
"male" 20 74 100 3 6 7 13 0 1.5
"male" 20 74 240 2 2 4 50 4 4
"female" 20 65 200 3 30 5 120 0 10
"female" 20 69 50 6 12 6 25 0 8
"male" 19 71 201 1 20 0 10 9 14
"female" 20 69 40 4 5 12 400 0 10
"male" 21 70 185 1 5 3 17 1 4
"male" 21 68 100 2 15 0 1500 2 10
"female" 19 65 130 2 20 3 50 1 12
"female" 21 66 40 1 10 4 150 0.5 4
"male" 22 72 15 2 10 0 100 10 10
"female" 21 72 45 1 30 3 70 0 2
"male" 21 70 60 1 10 0 30 0 5
"female" 19 62 40 1 15 8 25 0 13
"male" 24 69 184 2 14 6 8 4 14
"female" 19 64 200 3 10 0 50 1 8
"male" 20 68 200 1 1 0 60 3 10
"female" 19 64 220 3 4 0 30 1 3
"male" 32 62 50 2 5 0 50 2 15
"male" 21 69 185 1 20 26 50 2 10
"male" 23 69 20 4 4 6 43 3 2.5
"female" 19 61 2300 2 5 0 35 0 7
"male" 19 78 120 2 35 5 50 4 4
"female" 19 66 200 1 15 2 50 0 2
"female" 22 65 180 3 1 0 20 0 6
"female" 23 62 1200 5 10 0 75 0 3
"female" 20 69 217 5 15 5 20 0 20
"female" 20 63 430 3 2 0 10 0 2
"male" 21 72 228 1 12 4 447 6 6
"male" 18 68 25 2 12 0 20 21 15
"male" 20 72 180 1 6 0 100 2 6
"female" 21 70 180 6 10 5 60 0 3
"female" 20 65 16 2 7 0 250 0 15
"male" 21 72 30 2 2 5 100 0 2
"male" 19 74 230 2 10 0 70 4 8
"female" 20 65 200 1 1 0 300 0 15
"female" 20 65 40 1 6 3.5 20 0 6
"female" 21 68 130 10 20 4.5 50 0 17.5
"male" 20 70 45 1 20 6 175 10 10
"female" 25 67 33 0 14 4 50 0 3
"male" 21 69 220 1 4 0 10 10 2
"female" 21 64 160 2 2 0 5 0 6
"male" 22 78 120 2 20 0 100 1 6
"male" 19 77 36 1 8 0 75 9 3
"male" 20 74 115 1 4 7 75 0 2
"male" 22 76 45 2 4 5 150 2 2
"male" 19 73 30 1 3 0 20 16 4
"female" 23 64 300 2 20 0 10 0 8
"female" 20 67 170 1 3 6 100 3 7
"male" 20 70 50 3 7 7 100 1 20
"male" 18 71 70 1 4 4 50 5 10
"female" 19 57 300 1 15 0 25 0 15
"female" 23 75 1000 7 5 25 10 7 14
"female" 20 64 165 2 10 10 100 5 3
"female" 22 65 200 1 3 3 30 0 6
"female" 20 65 142 3 21 0 15 1 7
"male" 19 68 280 1 30 0 400 1 20
"female" 20 68 330 2 25 4 35 4 20
"male" 19 76 300 1 8 0 140 5 8
"female" 19 66 55 5 5 10 20 0 15
"female" 20 67 120 2 10 5 20 5 10
"female" 20 66 260 2 7 0 34 1 15
"female" 20 62 65 2 15 4 10 0 10
"female" 26 68 150 1 12 4 250 2 12
"male" 19 73 130 3 10 10 50 0 5
"female" 19 65 800 2 15 6 105 0 3
"female" 33 64 90 2 10 4 20 0 4
"female" 20 62 205 1 6 4 60 0 2
"male" 20 78 200 0 10 9 20 10 10
"female" 22 64 48 1 15 8 750 0 7.5
"male" 20 66 97 4 15 4 25 3 0
"male" 20 74 90 1 20 3 200 1 10
"male" 21 75 30 1 8 9 60 2 15
"female" 20 67 60 2 10 0 100 0 3
"female" 19 71 0 3 12 0 100 0 5
"male" 21 65 200 2 24 4 200 1 8
"female" 20 61 200 9 6 9 78 5 10
"female" 19 64 140 0 2 3 50 0 4
"female" 19 63 90 4 8 0 25 0 7
"female" 23 69 120 1 3 3 100 3 3
"female" 20 68 130 2 15 8 12 0 2
"female" 23 63 90 3 10 4 75 1 20
"male" 21 78 200 2 15 0 10 2 10
"female" 20 70 94 1 20 2 30 5 10
"male" 20 69 60 1 8 3 100 2 8
"female" 20 65 300 2 4 4 30 10 5
