"accel" "gyro" "activity"
0.57 0.63 "walking"
0.71 0.4 "walking"
0.74 0.73 "walking"
0.61 0.55 "walking"
0.59 0.51 "walking"
0.6 0.5 "walking"
0.61 0.62 "walking"
0.78 0.68 "walking"
0.6 0.51 "walking"
0.68 0.92 "walking"
0.68 0.59 "walking"
0.65 0.68 "walking"
0.56 0.43 "walking"
0.7 0.54 "walking"
0.65 0.53 "walking"
0.78 0.63 "walking"
0.59 0.55 "walking"
0.48 0.42 "walking"
0.42 0.38 "walking"
0.64 0.57 "walking"
0.79 0.57 "walking"
0.59 0.57 "walking"
0.55 0.48 "walking"
0.53 0.44 "walking"
0.61 0.56 "walking"
0.48 0.49 "walking"
0.54 0.47 "walking"
0.69 0.71 "walking"
0.82 0.62 "walking"
0.8 0.57 "walking"
0.84 1 "walking"
0.66 0.56 "walking"
0.74 0.87 "walking"
0.62 0.77 "walking"
0.83 0.75 "walking"
0.67 0.59 "walking"
0.67 0.71 "walking"
0.89 0.72 "walking"
0.52 0.49 "walking"
0.7 0.62 "walking"
0.66 0.62 "walking"
0.54 0.56 "walking"
0.79 0.77 "walking"
0.72 0.62 "walking"
0.62 0.49 "walking"
0.69 0.68 "walking"
0.89 0.85 "walking"
0.65 0.67 "walking"
0.6 0.71 "walking"
0.86 0.96 "walking"
0.71 0.6 "walking"
0.67 0.59 "walking"
0.61 0.63 "walking"
0.6 0.63 "walking"
0.72 0.66 "walking"
0.64 0.55 "walking"
0.6 0.7 "walking"
0.71 0.75 "walking"
0.56 0.61 "walking"
0.75 0.67 "walking"
0.64 0.54 "walking"
0.92 0.83 "walking"
0.87 0.74 "walking"
0.57 0.43 "walking"
0.63 0.65 "walking"
0.79 0.72 "walking"
0.59 0.68 "walking"
0.5 0.53 "walking"
0.58 0.38 "walking"
0.75 0.61 "walking"
0.7 0.81 "walking"
0.74 0.66 "walking"
0.75 0.72 "walking"
0.86 0.76 "walking"
0.75 0.71 "walking"
0.65 0.64 "walking"
0.82 0.61 "walking"
0.74 0.82 "walking"
0.62 0.5 "walking"
0.58 0.56 "walking"
0.59 0.57 "walking"
0.63 0.6 "walking"
0.75 0.74 "walking"
0.85 0.71 "walking"
0.7 0.82 "walking"
0.86 0.73 "walking"
0.58 0.4 "walking"
0.79 0.6 "walking"
0.68 0.98 "walking"
0.7 0.65 "walking"
0.4 0.51 "walking"
0.8 0.74 "walking"
0.84 0.94 "walking"
0.78 0.63 "walking"
0.75 0.65 "walking"
0.53 0.26 "walking"
0.62 0.67 "walking"
0.92 0.81 "walking"
0.71 0.55 "walking"
0.63 0.39 "walking"
0.76 0.76 "walking"
0.73 0.74 "walking"
0.74 0.76 "walking"
0.91 0.87 "walking"
0.65 0.51 "walking"
0.71 0.61 "walking"
0.78 0.51 "walking"
0.66 0.68 "walking"
0.65 0.56 "walking"
0.67 0.71 "walking"
0.8 0.77 "walking"
0.95 0.9 "walking"
0.69 0.57 "walking"
1 0.86 "walking"
0.62 0.64 "walking"
0.64 0.6 "walking"
0.59 0.62 "walking"
0.68 0.52 "walking"
0.35 0.47 "walking"
0.71 0.72 "walking"
0.7 0.7 "walking"
0.6 0.69 "walking"
0.76 0.71 "walking"
0.83 0.76 "walking"
0.72 0.69 "walking"
0.76 0.8 "walking"
0.75 0.75 "walking"
0.56 0.55 "walking"
0.79 0.56 "walking"
0.72 0.71 "walking"
0.77 0.65 "walking"
0.64 0.43 "walking"
0.69 0.58 "walking"
0.62 0.48 "walking"
0.74 0.75 "walking"
0.72 0.86 "walking"
0.78 0.8 "walking"
0.87 0.66 "walking"
0.8 0.81 "walking"
0.69 0.69 "walking"
0.6 0.66 "walking"
0.64 0.72 "walking"
0.61 0.65 "walking"
0.59 0.58 "walking"
0.53 0.59 "walking"
0.79 0.71 "walking"
0.48 0.49 "walking"
0.91 0.95 "walking"
0.55 0.55 "walking"
0.73 0.7 "walking"
0.33 0.28 "sitting"
0.37 0.38 "sitting"
0.35 0.31 "sitting"
0.37 0.4 "sitting"
0.36 0.36 "sitting"
0.42 0.39 "sitting"
0.35 0.33 "sitting"
0.37 0.38 "sitting"
0.38 0.41 "sitting"
0.33 0.3 "sitting"
0.37 0.34 "sitting"
0.32 0.26 "sitting"
0.35 0.31 "sitting"
0.39 0.32 "sitting"
0.39 0.33 "sitting"
0.39 0.39 "sitting"
0.35 0.35 "sitting"
0.34 0.29 "sitting"
0.38 0.41 "sitting"
0.34 0.3 "sitting"
0.37 0.35 "sitting"
0.41 0.41 "sitting"
0.39 0.39 "sitting"
0.3 0.22 "sitting"
0.34 0.31 "sitting"
0.29 0.32 "sitting"
0.33 0.31 "sitting"
0.32 0.33 "sitting"
0.42 0.34 "sitting"
0.39 0.42 "sitting"
0.43 0.44 "sitting"
0.36 0.33 "sitting"
0.37 0.39 "sitting"
0.32 0.33 "sitting"
0.4 0.44 "sitting"
0.32 0.26 "sitting"
0.37 0.34 "sitting"
0.34 0.33 "sitting"
0.34 0.3 "sitting"
0.37 0.33 "sitting"
0.26 0.18 "sitting"
0.37 0.39 "sitting"
0.41 0.41 "sitting"
0.4 0.37 "sitting"
0.31 0.32 "sitting"
0.36 0.22 "sitting"
0.35 0.37 "sitting"
0.39 0.39 "sitting"
0.39 0.37 "sitting"
0.35 0.3 "sitting"
0.32 0.32 "sitting"
0.33 0.29 "sitting"
0.38 0.35 "sitting"
0.4 0.32 "sitting"
0.34 0.33 "sitting"
0.31 0.3 "sitting"
0.3 0.23 "sitting"
0.34 0.31 "sitting"
0.39 0.34 "sitting"
0.38 0.36 "sitting"
0.33 0.33 "sitting"
0.36 0.34 "sitting"
0.39 0.36 "sitting"
0.42 0.38 "sitting"
0.33 0.35 "sitting"
0.29 0.23 "sitting"
0.32 0.29 "sitting"
0.37 0.4 "sitting"
0.43 0.41 "sitting"
0.32 0.31 "sitting"
0.38 0.34 "sitting"
0.35 0.3 "sitting"
0.34 0.38 "sitting"
0.37 0.33 "sitting"
0.41 0.44 "sitting"
0.4 0.41 "sitting"
0.4 0.35 "sitting"
0.38 0.33 "sitting"
0.29 0.26 "sitting"
0.39 0.42 "sitting"
0.35 0.31 "sitting"
0.38 0.38 "sitting"
0.3 0.27 "sitting"
0.27 0.24 "sitting"
0.33 0.31 "sitting"
0.43 0.41 "sitting"
0.36 0.32 "sitting"
0.37 0.36 "sitting"
0.36 0.38 "sitting"
0.38 0.31 "sitting"
0.36 0.38 "sitting"
0.31 0.32 "sitting"
0.42 0.49 "sitting"
0.25 0.25 "sitting"
0.41 0.43 "sitting"
0.37 0.29 "sitting"
0.41 0.31 "sitting"
0.32 0.31 "sitting"
0.45 0.41 "sitting"
0.42 0.43 "sitting"
0.38 0.3 "sitting"
0.39 0.35 "sitting"
0.42 0.36 "sitting"
0.32 0.33 "sitting"
0.37 0.35 "sitting"
0.31 0.28 "sitting"
0.38 0.39 "sitting"
0.34 0.29 "sitting"
0.28 0.31 "sitting"
0.4 0.41 "sitting"
0.41 0.36 "sitting"
0.41 0.37 "sitting"
0.33 0.29 "sitting"
0.35 0.34 "sitting"
0.37 0.35 "sitting"
0.38 0.38 "sitting"
0.38 0.41 "sitting"
0.36 0.29 "sitting"
0.36 0.36 "sitting"
0.35 0.35 "sitting"
0.4 0.41 "sitting"
0.34 0.33 "sitting"
