"Energy_kcal" "Protein_g" "Fat_g" "Carb_g" "Sugar_g" "Fiber_g"
389 10 4.6 80.3 21 7.1
375 5.1 3.4 88.2 43.7 9.3
398 4.39 5.12 85.51 44.32 2.5
397 4.45 4.83 85.93 44.2 2.6
417 7.1 9.23 78.65 33.36 2.7
376 12.09 6.73 73.23 4.36 9.4
389 4.6 2.7 87.9 38.6 1.4
397 4.8 4.1 85.7 35.8 1.6
380 5.2 4.4 84.5 34.8 5.1
331 6.37 4.06 83.68 20.66 15.3
370 6.4 2.4 84.9 11.1 5.6
357 7.5 0.4 84.1 9.5 3.3
395 9.2 14.1 70.3 28 12.7
394 6.69 1.26 86.22 12.12 0.7
375 5.3 3.4 88 41.7 9.3
350 9.2 1.6 83.4 20.3 10.8
384 4.3 0.4 91.3 40.2 0.5
402 4.6 4 86.1 34.4 0.8
374 5.3 3.2 85.1 35 5.6
365 10.9 2.1 80.49 8.9 12.1
376 9.4 3.7 82 15.2 10.2
376 8.85 5 79.69 32.89 7.1
396 6 2.9 87.1 32.3 3.1
381 6.41 3.44 83.85 20.27 3.4
357 7.69 3.46 82.82 9.76 8.8
374 9.98 4.43 77.74 19.43 6.6
380 7.67 5.02 80.89 36.13 5
421 10.55 11.62 73.65 20.34 10.2
375 6.3 2 86.67 28.1 3.9
374 8.5 1.3 84.3 12.5 2.8
406 4.51 6.08 85.03 43.36 2.3
375 6.9 1.4 84.5 8.1 4.4
381 6.75 2.05 85.05 9.87 0.4
383 7.01 0.9 87.78 0 1.4
387 4.8 1.3 89.7 31.3 8.4
369 3.96 1.68 89.2 35.43 2.2
380 5.7 2.2 88.5 56.2 5
380 5.5 1.7 90.1 53.6 5
357 10.71 5.36 75.5 3.57 10.7
383 5 4.1 85.6 32 4.5
373 8.5 2.9 83.6 20.7 10.7
345 9.8 1.8 82.2 10.3 12.2
384 3.41 0.35 88.65 42.47 1.9
370 8.3 4.09 81.4 21.2 8.7
353 8.3 2.3 83.3 15.2 10.1
370 7.65 1.75 79.09 0.57 4.6
343 7.31 2.14 78.42 1.51 4.2
363 8.98 5.46 72.96 2.76 4.2
340 9.93 1.73 75.39 0.38 5.1
370 6.3 0.5 82.4 0.3 0.7
370 10.5 1.5 76.5 0.2 3.8
360 11.6 1.41 73.19 0.56 4.2
366 10.6 1.4 75.5 0.4 3.3
365 11.8 0.54 77.26 0 2.9
379 13.15 6.52 67.7 0.99 10.1
362 11.92 6.9 69.52 1.5 10
366 8.62 4.61 76.74 28.87 8.3
369 9.53 4.84 76.08 25.33 8
368 9.2 4.63 76.91 30.02 7.2
360 8.45 4.03 76.33 37.14 5.7
394 7.2 3.6 83.3 42.8 4.6
357 13.1 2.9 75.6 1.6 12.8
342 11.2 2 75.2 0.42 9.5
366 16.26 2.15 76.39 1.37 9.4
337 11.37 2.21 78.76 0.94 12
351 11.8 2.1 81.4 0.9 12.4
402 6.3 0.5 89.8 0 1.7
364 14.7 1.2 79.6 0 4.4
368 6.72 1.49 79.91 0.55 3.9
371 8.8 1.2 79.6 0.64 1.6
