"minutes" "artists"
229.26 34.31
182.66 33.58
231.79 35.5
188.46 19.6
180.74 24.15
243.73 42.63
243.2 22.96
273.3 51.11
221.99 33.79
218.01 24.64
196.72 19.26
183.2 37.05
196.49 9.64
188.73 39.9
195.23 35.32
219.13 35.9
198.72 19.14
166.69 29.52
214.39 32.25
199.46 29.68
217.62 48.48
170.65 23.35
241.81 44.86
166.33 28.9
181.86 18.17
175.28 15.35
220.15 42.59
184.66 28.82
162.71 16.49
207.26 43.11
248.47 44.19
202.42 35.46
161.99 38.81
238.26 28.83
233.54 27.32
209.75 31.99
235.1 36.3
218.87 39.69
181.73 23.83
212.1 24.27
211.89 25.57
221.1 38.11
262.8 62.3
148.99 34.05
238.77 29.95
200.37 45.05
261.76 48.05
197.86 20.31
180.97 22.9
181.92 22.31
188.45 23.03
212.03 32.7
171.78 26.66
220.13 46.08
244.96 37.3
164.62 24.36
246.99 27.17
210.02 24.52
124.02 10.4
251.46 46.28
197.11 21.64
202.55 20.42
224.07 39.26
209.64 21.19
211.29 48.53
227.22 28.02
214.72 41.91
200.71 32.16
220.28 28.33
205.59 19.04
171.52 37.22
231.5 22.3
139.15 27.06
211.51 38.99
201.96 37.62
207.34 31.53
249.84 38.19
209.54 46.07
209.45 29
198.7 23.21
241.53 33.56
169.13 21.92
216.81 31.07
233.15 51
195.3 35.33
275.25 50.87
210.64 29.28
178.29 25.03
174.07 32.6
184.17 13.19
204.03 12.57
143.68 13.91
241.16 47.19
168.32 18.78
194.39 20.2
228.78 34.35
231.39 16.68
167.57 30.36
197.21 27.69
223.33 42.63
177.41 12.52
231.91 21.42
205.27 29.81
213.45 32.24
126.75 7.92
189.36 25.23
149.66 31.3
198.72 34.08
213.14 15.88
207 23.75
162.79 26.48
214.96 38.71
209.63 34.97
219.95 46.89
217.5 31.46
201.44 32.91
190.74 27.25
178.83 31.68
235.26 24.63
202.3 28.96
170.09 22.35
125.68 18.9
176.03 22.88
169.72 8.1
181.76 31.15
183.52 31.21
153.14 21.76
169.96 19.57
198.43 9.86
167.53 8.68
205.74 20.27
161.68 5.23
170.72 22.49
160.42 21.13
204.92 41.88
227.3 35.36
169.83 24.28
191.25 28.85
231.62 26.21
200.39 53.13
176.52 22
175.4 34.68
219.78 37.54
245.8 36.5
190.95 25.04
155.31 23.57
157.47 21.04
178.39 29.64
194.01 40.09
129.91 13.37
61.16 50.83
68.13 37.88
62.58 45.4
60.67 51.55
70.9 31.91
60.84 43.7
57.64 59.38
49.75 48.34
72.99 52.97
48.18 49.42
55.47 41.71
60.91 38.5
55.08 42.31
62.26 45.02
52.74 39.29
58.22 37.09
52.1 35.81
56.77 56.11
68.96 36.11
60.45 40.68
50.01 39.65
33.71 47.12
73.53 37.86
81.96 47.88
65.85 52.86
40.19 37.16
67.55 59.07
55.62 50.83
63.12 37.25
57.69 45.67
55.26 49.62
59.02 43.52
52.35 50.82
35.73 47.61
62.75 53.17
72.57 39.32
56.71 39.68
58.4 37.32
53.9 51.27
76.17 38.53
56.32 45.69
80.25 58.62
56.56 38.92
69.8 59.99
62.85 32.27
66.12 51.56
57.97 43.09
67.77 39.24
72.31 52.46
39.86 32.1
42.83 3.53
52.94 4.55
40.59 3.76
34.88 2.28
53.26 2.75
53.16 4.94
47.49 3.28
50.09 4.09
62.21 4.74
59.61 4.41
46 5.57
33.91 1.85
49.48 2.73
43.31 4.19
49.67 5.47
51.79 3.49
48.15 4.98
40.92 3.51
52.67 5.07
48.77 3.28
61.85 4.55
44.06 2.3
28.29 1.37
40.04 2.15
66.11 5.95
