"x" "y" "sights" "log.chlorofill"
"1" 318740.69 246281.09 258 3.54
"2" 392210.08 270770.89 3286 6.62
"3" 155475.38 278934.15 10 0.4
"4" 326903.96 295260.68 33 2.05
"5" 359557.02 295260.68 230 3.42
"6" 400373.34 295260.68 6042 7.4
"7" 155475.38 311587.21 240 4.42
"8" 343230.49 311587.21 75 1.74
"9" 384046.81 311587.21 2179 5.1
"10" 228944.77 319750.48 29 0.39
"11" 237108.04 319750.48 32 -0.01
"12" 277924.36 327913.74 716 5.58
"13" 82006 336077.01 433 4.11
"14" 375883.55 336077.01 189 2.45
"15" 384046.81 336077.01 266 2.82
"16" 139148.85 344240.27 147 4.34
"17" 318740.69 344240.27 34 1.02
"18" 106495.79 352403.54 1490 5.43
"19" 416699.87 352403.54 279 3.55
"20" 359557.02 368730.07 2756 6.01
"21" 90169.26 376893.34 430 3.32
"22" 122822.32 385056.6 88 1.36
"23" 384046.81 385056.6 12501 7.97
"24" 130985.59 393219.87 450 4.16
"25" 367720.28 393219.87 16104 8.27
"26" 310577.42 401383.13 282 3.36
"27" 392210.08 409546.4 687 4.93
"28" 424863.14 409546.4 1234 5.43
"29" 163638.65 425872.93 444 5.16
"30" 326903.96 425872.93 413 3.88
"31" 82006 434036.19 635 4.9
"32" 90169.26 442199.46 51 2.49
"33" 318740.69 442199.46 1633 4.26
"34" 343230.49 442199.46 4975 5.29
"35" 359557.02 442199.46 1250 4.03
"36" 441189.67 442199.46 232 3.64
"37" 228944.77 458525.99 116 3.32
"38" 261597.83 474852.52 241 3.95
"39" 375883.55 474852.52 681 3.58
"40" 122822.32 483015.78 54 3.16
"41" 424863.14 483015.78 95 2.92
"42" 433026.4 491179.05 164 4.42
"43" 220781.51 507505.58 79 3.05
"44" 400373.34 507505.58 70 2.31
"45" 82006 515668.85 91 3.21
"46" 122822.32 515668.85 80 3.97
"47" 82006 523832.11 144 4.32
"48" 90169.26 523832.11 88 3.1
"49" 179965.18 523832.11 343 4.27
"50" 392210.08 523832.11 164 3.91
"51" 253434.57 531995.38 107 3.34
"52" 326903.96 531995.38 365 4.37
"53" 65679.47 540158.64 7532 8.44
"54" 73842.73 540158.64 4260 8.55
"55" 212618.24 540158.64 166 4.82
"56" 253434.57 564648.44 11 0.3
"57" 433026.4 564648.44 872 6.45
"58" 147312.12 580974.97 998 4.27
"59" 449352.93 589138.23 2385 7.17
"60" 82006 597301.5 246 3.94
"61" 449352.93 597301.5 1092 6.49
"62" 392210.08 605464.76 230 4.19
"63" 65679.47 621791.29 186 2.75
"64" 433026.4 629954.56 156 2.87
