"alcohol" "sugar" "type"
"1" 16.4 23.35 "Red"
"2" 11.6 18.42 "Red"
"3" 12.5 17.82 "Red"
"4" 11.2 17.76 "Red"
"5" 16.6 23.55 "Red"
"6" 10.4 17.44 "Red"
"7" 12.2 18.5 "Red"
"8" 15.9 24.31 "Red"
"9" 11.9 17.6 "Red"
"10" 15 21.51 "Red"
"11" 15.8 24.28 "Red"
"12" 10.3 15.02 "Red"
"13" 16.4 24.25 "Red"
"14" 13.4 21.02 "Red"
"15" 16.3 24.93 "Red"
"16" 12.8 20.39 "Red"
"17" 15.2 22.68 "Red"
"18" 12.2 19.03 "Red"
"19" 14.9 22.26 "Red"
"20" 11.7 16.83 "Red"
"21" 13.7 19.57 "Red"
"22" 14.8 21.25 "Red"
"23" 11.5 17.88 "Red"
"24" 11.6 17.75 "Red"
"25" 14.7 19.53 "Red"
"26" 10.9 15.96 "Red"
"27" 12.3 18.54 "Red"
"28" 11.7 16.83 "Red"
"29" 13.8 19.37 "Red"
"30" 11.6 17.7 "Red"
"31" 14.4 22.38 "Red"
"32" 10 15.38 "Red"
"33" 12.8 19.83 "Red"
"34" 16.3 23.35 "Red"
"35" 9.5 16.33 "Red"
"36" 14.4 21.02 "Red"
"37" 13.9 21.84 "Red"
"38" 16.6 24.52 "Red"
"39" 14.1 19.93 "Red"
"40" 11.7 17.83 "Red"
"41" 15.4 22.21 "Red"
"42" 10.2 15.48 "Red"
"43" 10.7 16.64 "Red"
"44" 12.3 17.62 "Red"
"45" 16.3 24.18 "Red"
"46" 11.2 17.02 "Red"
"47" 12.5 16.31 "Red"
"48" 11 17.88 "Red"
"49" 11.3 17.73 "Red"
"50" 13.4 19.05 "Red"
"51" 11.1 17.05 "Red"
"52" 11.1 17.1 "Red"
"53" 14.9 22.49 "Red"
"54" 15.2 23.88 "Red"
"55" 10.6 18.05 "Red"
"56" 9 16.19 "Red"
"57" 10.1 16.07 "Red"
"58" 11.1 18.73 "Red"
"59" 14.2 20.96 "Red"
"60" 14 20.2 "Red"
"61" 16.6 24.47 "Red"
"62" 15.9 22.74 "Red"
"63" 13.9 20.32 "Red"
"64" 9 15.03 "Red"
"65" 9.8 16.03 "Red"
"66" 12.2 18.52 "Red"
"67" 16 23.99 "Red"
"68" 13.5 21.06 "Red"
"69" 12.9 23.68 "Rose"
"70" 9.9 17.69 "Rose"
"71" 13.3 21.27 "Rose"
"72" 12.9 21.89 "Rose"
"73" 14.4 23.79 "Rose"
"74" 12.7 20.87 "Rose"
"75" 14.6 22.35 "Rose"
"76" 10.2 18.88 "Rose"
"77" 11.2 17.71 "Rose"
"78" 13.9 23.07 "Rose"
"79" 12.3 21.57 "Rose"
"80" 9.2 18.03 "Rose"
"81" 12.7 21.54 "Rose"
"82" 11.3 20.03 "Rose"
"83" 13.6 22.59 "Rose"
"84" 13.3 21.94 "Rose"
"85" 14.9 24.82 "Rose"
"86" 9.6 16.42 "Rose"
"87" 8.2 15.45 "Rose"
"88" 9.1 15.56 "Rose"
"89" 12.9 24.02 "Rose"
"90" 10.8 19.29 "Rose"
"91" 12.4 20.05 "Rose"
"92" 9 16.47 "Rose"
"93" 15.2 24.8 "Rose"
"94" 8.1 15.01 "Rose"
"95" 12.6 19.72 "Rose"
"96" 14.7 24.21 "Rose"
"97" 9.2 17.63 "Rose"
"98" 12.2 20.66 "Rose"
"99" 9.7 17.73 "Rose"
"100" 9.8 16.35 "Rose"
"101" 10.9 18.5 "Rose"
"102" 14 23.61 "Rose"
"103" 12.4 21.56 "Rose"
"104" 8.2 16.66 "Rose"
"105" 9.5 16.73 "Rose"
"106" 9.2 18.19 "Rose"
"107" 13.2 22.49 "Rose"
"108" 11.8 18.84 "Rose"
"109" 13.9 24.33 "Rose"
"110" 11.1 19.33 "Rose"
"111" 9.9 16.19 "Rose"
"112" 8.7 15.15 "Rose"
"113" 13.8 24.41 "Rose"
"114" 10.9 19.31 "Rose"
"115" 12 21.31 "Rose"
"116" 9.3 17.08 "Rose"
"117" 6.7 15.06 "Rose"
"118" 13 22.38 "Rose"
"119" 13.3 24.57 "Rose"
"120" 10.1 18.48 "White"
"121" 11.6 19.62 "White"
"122" 10.5 19.63 "White"
"123" 11.7 20.34 "White"
"124" 13.7 24.32 "White"
"125" 13.6 22.89 "White"
"126" 11.3 17.99 "White"
"127" 12.2 21.26 "White"
"128" 14.3 23.34 "White"
"129" 12.6 21.47 "White"
"130" 12.5 23.25 "White"
"131" 13.2 23.18 "White"
"132" 9.4 16.82 "White"
"133" 12.7 21.88 "White"
"134" 9 16.85 "White"
"135" 11.4 20.09 "White"
"136" 9.3 17.41 "White"
"137" 13.6 22.5 "White"
"138" 11.9 21.29 "White"
"139" 12.3 20.74 "White"
"140" 13 22.49 "White"
"141" 9.4 16.71 "White"
"142" 12.1 22.29 "White"
"143" 13.9 23.53 "White"
"144" 8.6 16.27 "White"
"145" 8.7 15.21 "White"
"146" 13.3 24.57 "White"
"147" 10.5 21.49 "White"
"148" 10.4 20.28 "White"
"149" 11.2 20.26 "White"
"150" 8.4 15.59 "White"
"151" 12.6 20.97 "White"
"152" 9.7 19.07 "White"
"153" 13 24.52 "White"
"154" 12.1 21.19 "White"
"155" 12 21.25 "White"
"156" 12.6 22.97 "White"
"157" 11.3 21.24 "White"
"158" 14.4 23.97 "White"
"159" 10.3 19.83 "White"
"160" 9.5 16 "White"
"161" 13.1 24.17 "White"
"162" 11.3 19.4 "White"
"163" 9.8 16.52 "White"
"164" 13.3 24.54 "White"
"165" 12.9 22.12 "White"
"166" 11 20.34 "White"
"167" 13.5 23.65 "White"
"168" 12.1 20.61 "White"
"169" 11.3 19.38 "White"
"170" 8.3 16.42 "White"
"171" 13.9 24.94 "White"
"172" 9.4 17.3 "White"
"173" 12.4 21.39 "White"
"174" 12.1 20.69 "White"
"175" 9.7 17.35 "White"
"176" 13.5 23.1 "White"
"177" 8 16.94 "White"
"178" 11.2 17.82 "White"
"179" 9.3 17.99 "White"
