"T1" "T2"
"Octopus.1" 8.62 8.07
"Octopus.2" 8.88 8.02
"Octopus.3" 7.83 8.47
"Octopus.4" 9.63 8.82
"Octopus.5" 8.02 8.43
"Octopus.6" 8.86 8.38
"Octopus.7" 7.35 6.43
"Octopus.8" 9.85 8.85
"Octopus.9" 8.14 7.82
"Octopus.10" 8.98 8.79
"Octopus.11" 7.01 5.74
"Octopus.12" 7.62 7.1
"Octopus.13" 6.24 7.43
"Octopus.14" 6.95 6.83
"Octopus.15" 9.57 8.44
"Octopus.16" 8.88 6.86
"Octopus.17" 8.02 7.26
"Octopus.18" 8.48 8.47
"Octopus.19" 8.19 6.4
"Octopus.20" 7.52 6.71
"Octopus.21" 8.99 8.81
"Octopus.22" 9.58 8.56
"Octopus.23" 8.55 7.63
"Octopus.24" 6.84 6.39
"Octopus.25" 7.57 5.92
"Octopus.26" 8.12 7.76
"Octopus.27" 8.65 9.05
"Octopus.28" 8.82 8.26
"Octopus.29" 9.36 8.84
"Octopus.30" 7.27 6.78
