"m100" "m200" "m400" "m800" "m1500" "m3000" "Marathon"
"argentin" 11.61 22.94 54.5 129 265.8 587.4 10711.2
"australi" 11.2 22.35 51.08 118.8 247.8 544.8 9142.2
"austria" 11.43 23.09 50.62 119.4 253.2 560.4 9562.2
"belgium" 11.41 23.04 52 120 248.4 532.8 9471
"bermuda" 11.46 23.05 53.3 129.6 274.8 588.6 10198.8
"brazil" 11.31 23.17 52.8 126 269.4 586.2 10125
"burma" 12.14 24.47 55 130.8 267 570.6 11461.2
"canada" 11 22.25 50.06 120 243.6 528.6 8967
"chile" 12 24.52 54.9 123 253.8 562.2 10282.8
"china" 11.95 24.41 54.97 124.8 259.8 558.6 10108.8
"columbia" 11.6 24 53.26 126.6 261 567.6 9925.2
"cookis" 12.9 27.1 60.4 138 290.4 666 13993.2
"costa" 11.96 24.6 58.25 132.6 280.8 625.8 10308
"czech" 11.09 21.97 47.99 113.4 248.4 535.2 9531
"denmark" 11.42 23.52 53.6 121.8 250.8 522.6 9105
"domrep" 11.79 24.05 56.05 134.4 284.4 593.4 12232.8
"finland" 11.13 22.39 50.14 121.8 246 535.2 9253.8
"france" 11.15 22.59 51.73 120 248.4 538.8 9316.2
"gdr" 10.81 21.71 48.16 115.8 237.6 525 9460.8
"frg" 11.01 22.39 49.75 117 241.8 515.4 8911.8
"gbni" 11 22.13 50.46 118.8 241.8 517.2 8983.2
"greece" 11.79 24.08 54.93 124.2 261 592.2 10932
"guatemal" 11.84 24.54 56.09 136.8 291.6 632.4 12904.8
"hungary" 11.45 23.06 51.5 120.6 248.4 538.8 9382.2
"india" 11.95 24.28 53.6 126 259.2 598.8 11281.8
"indonesi" 11.85 24.24 55.34 133.2 276.6 601.2 12076.8
"ireland" 11.43 23.51 53.24 123 246.6 533.4 8962.8
"israel" 11.45 23.57 54.9 126 255 562.2 9628.8
"italy" 11.29 23 52.01 117.6 238.8 517.8 9109.2
"japan" 11.73 24 53.73 125.4 261 552 9030
"kenya" 11.73 23.88 52.7 120 249 552 10863
"korea" 11.96 24.49 55.7 129 265.2 577.2 9879
"dprkorea" 12.25 25.78 51.2 118.2 255 561 10750.2
"luxembou" 12.03 24.96 56.1 124.2 262.8 578.4 10480.8
"malaysia" 12.23 24.21 55.09 131.4 281.4 627.6 10930.2
"mauritiu" 11.76 25.08 58.1 136.2 287.4 654 15667.8
"mexico" 11.89 23.62 53.76 122.4 255 575.4 9511.8
"netherla" 11.25 22.81 52.38 119.4 243.6 540.6 9148.8
"nz" 11.55 23.13 51.6 121.2 250.8 525.6 8728.8
"norway" 11.58 23.31 53.12 121.8 240.6 511.8 8728.8
"png" 12.25 25.07 56.96 134.4 290.4 641.4 13980
"philippi" 11.76 23.54 54.6 131.4 276 609.6 12022.2
"poland" 11.13 22.21 49.29 117 239.4 538.2 9649.2
"portugal" 11.81 24.22 54.3 125.4 249.6 530.4 9072
"rumania" 11.44 23.46 51.2 115.2 237.6 511.8 9927
"singapor" 12.3 25 55.08 127.2 271.2 596.4 10966.2
"spain" 11.8 23.98 53.59 123 248.4 541.2 9756
"sweden" 11.16 22.82 51.79 121.2 247.2 530.4 9268.8
"switzerl" 11.45 23.31 53.11 121.2 244.2 526.2 9205.2
"taipei" 11.22 22.62 52.5 126 262.8 577.8 10672.2
"thailand" 11.75 24.46 55.8 132 283.2 616.8 10107
"turkey" 11.98 24.44 56.45 129 262.2 562.8 12064.8
"usa" 10.79 21.83 50.62 117.6 237 510 8563.2
"ussr" 11.06 22.19 49.19 113.4 232.2 507 9073.2
"wsamoa" 12.74 25.85 58.73 139.8 348.6 782.4 18360
