"Anno" "Tipo"
"1" 2006.54868864577 "sedicinoni"
"2" 2007.08179789893 "sedicinoni"
"3" 2002.23723122293 "sedicinoni"
"4" 2006.05156410224 "sedicinoni"
"5" 2000.75352339146 "quattroterzi"
"6" 2007.52906675719 "sedicinoni"
"7" 2000.15931924171 "sedicinoni"
"8" 2006.65438944050 "sedicinoni"
"9" 1999.26052679072 "sedicinoni"
"10" 1999.65299099681 "quattroterzi"
"11" 2002.62681705829 "quattroterzi"
"12" 2005.46882103075 "sedicinoni"
"13" 1999.02578031113 "quattroterzi"
"14" 1998.50707462675 "quattroterzi"
"15" 1999.97331953014 "quattroterzi"
"16" 2004.21260491748 "sedicinoni"
"17" 1999.55657342601 "quattroterzi"
"18" 2005.23381759230 "sedicinoni"
"19" 2007.57496927959 "sedicinoni"
"20" 2002.49490916073 "sedicinoni"
"21" 2000.66727904712 "sedicinoni"
"22" 2000.84282222516 "sedicinoni"
"23" 2004.66339915164 "sedicinoni"
"24" 1999.26457215146 "sedicinoni"
"25" 2000.29837255492 "sedicinoni"
"26" 2004.39382735518 "sedicinoni"
"27" 2001.72432788287 "quattroterzi"
"28" 2000.78705013276 "quattroterzi"
"29" 2004.64726028947 "sedicinoni"
"30" 2005.60571765763 "sedicinoni"
"31" 2002.83640104479 "sedicinoni"
"32" 2006.73148522240 "sedicinoni"
"33" 2006.11023421122 "sedicinoni"
"34" 2006.43914082940 "sedicinoni"
"35" 2001.34873965591 "sedicinoni"
"36" 2002.82211776115 "sedicinoni"
"37" 2004.70827161112 "sedicinoni"
"38" 2001.28171887351 "quattroterzi"
"39" 2004.19229277090 "sedicinoni"
"40" 2002.78855346298 "sedicinoni"
"41" 2005.28011059393 "sedicinoni"
"42" 2004.19307370564 "sedicinoni"
"43" 1999.04068995708 "quattroterzi"
"44" 2007.60332247361 "sedicinoni"
"45" 2007.53022203324 "sedicinoni"
"46" 2004.95611086557 "sedicinoni"
"47" 2005.36017470446 "sedicinoni"
"48" 2006.76467786575 "sedicinoni"
"49" 1999.42548506712 "sedicinoni"
"50" 2002.55114250344 "quattroterzi"
"51" 2008.94333356458 "sedicinoni"
"52" 2004.30318808508 "sedicinoni"
"53" 2002.94948553723 "sedicinoni"
"54" 2005.55153059134 "sedicinoni"
"55" 1999.35835654105 "sedicinoni"
"56" 2001.74737566446 "sedicinoni"
"57" 1998.89174817392 "quattroterzi"
"58" 2003.10803269451 "sedicinoni"
"59" 2006.03610145389 "sedicinoni"
"60" 2001.48558611401 "sedicinoni"
"61" 2005.01882744407 "sedicinoni"
"62" 2003.85080014776 "sedicinoni"
"63" 1999.61441056346 "quattroterzi"
"64" 2002.60549223742 "sedicinoni"
"65" 2007.23487432674 "sedicinoni"
"66" 1999.48820907936 "quattroterzi"
"67" 2008.17822833777 "sedicinoni"
"68" 2004.29450799846 "sedicinoni"
"69" 2005.05741659447 "sedicinoni"
"70" 2002.01943013608 "quattroterzi"
"71" 1999.15340303868 "quattroterzi"
"72" 2006.20171370509 "sedicinoni"
"73" 2000.81347130667 "quattroterzi"
"74" 2001.37934482150 "quattroterzi"
"75" 2002.16315343832 "sedicinoni"
"76" 2005.20164767844 "sedicinoni"
"77" 2003.05862148427 "sedicinoni"
"78" 2000.88042635964 "quattroterzi"
"79" 1999.97684128593 "quattroterzi"
"80" 1998.42923236285 "quattroterzi"
"81" 2002.4436823158 "quattroterzi"
"82" 2005.55111582373 "sedicinoni"
"83" 2007.89570338532 "sedicinoni"
"84" 2000.47269091560 "quattroterzi"
"85" 2000.33966517308 "quattroterzi"
"86" 2006.84126671125 "sedicinoni"
"87" 2003.46173239605 "sedicinoni"
"88" 2007.69439663616 "sedicinoni"
"89" 2008.48840900136 "sedicinoni"
"90" 2000.3546975247 "quattroterzi"
"91" 2004.23806697862 "sedicinoni"
"92" 2004.76144827725 "quattroterzi"
"93" 2002.84029520671 "sedicinoni"
"94" 2008.35296205541 "sedicinoni"
"95" 2007.31642127196 "sedicinoni"
"96" 2005.06211144657 "sedicinoni"
"97" 2008.57367227262 "sedicinoni"
"98" 2002.83344710043 "quattroterzi"
"99" 2005.65254433555 "sedicinoni"
"100" 2008.91939289708 "sedicinoni"
"101" 2004.21130445305 "sedicinoni"
"102" 2000.12443942471 "quattroterzi"
"103" 2006.15627390948 "sedicinoni"
"104" 2005.24392087087 "sedicinoni"
"105" 2008.52128665373 "sedicinoni"
"106" 2003.32579225363 "sedicinoni"
"107" 2005.53176425414 "sedicinoni"
"108" 1999.79195216063 "quattroterzi"
"109" 2003.896993162 "sedicinoni"
"110" 2002.46845073698 "quattroterzi"
"111" 2004.74841231395 "sedicinoni"
"112" 2003.02011377475 "sedicinoni"
