"V1" "V2" "V3" "V4"
"1" 11.84 10.59 9.47 12
"2" 15.79 11.62 7.96 13.4
"3" 11.41 7 10.73 17.27
"4" 13.28 10.95 7.6 12.67
"5" 6.89 4.2 3.78 12.03
"6" 14.38 13.25 9.73 9.98
"7" 12.22 13.28 5.86 16.96
"8" 12.17 11.37 10.8 8.7
"9" 12.98 9.08 9.26 8.76
"10" 13.83 10.4 9.9 14.99
"11" 9.92 8.5 8.52 12.85
"12" 14.47 5.9 9.85 14.05
"13" 11.22 10.68 8.75 7.86
"14" 13.48 11.7 11.28 10.41
"15" 16.73 14.21 13.31 8.83
"16" 14.37 9.66 13.37 10.49
"17" 12.32 9.67 7.15 13.03
"18" 16.07 10.31 7.51 12.62
"19" 14.12 10.09 12.18 10.84
"20" 13.76 10.05 10.8 10.8
"21" 11.05 12.26 14.14 13.91
"22" 9.5 9.66 7.67 11
"23" 12.85 13.67 11.23 9.28
"24" 13.05 8.81 8.72 11.53
"25" 12.87 7.74 10.32 15.99
"26" 11.59 9.89 9.4 8.85
"27" 12.23 10.02 7.79 12.48
"28" 10.43 8.87 7.93 12.18
"29" 12.7 13.64 10.6 11.87
"30" 14.98 10.62 15.77 10.4
"31" 9.83 8.89 10.98 12.87
"32" 13.28 12.52 13.36 11.47
"33" 11.25 12.28 11.74 13.96
"34" 10.99 11.83 9.51 15.41
"35" 12.39 10.38 6.16 8.81
"36" 12.48 10.06 10.14 12.34
"37" 11.41 9 9.09 12.32
"38" 13.57 10.93 11.31 13.05
"39" 8.33 10.06 6.72 13.99
"40" 14.46 11.55 11.36 12.86
"41" 10.98 10.7 8.97 14.6
"42" 12.41 12.49 8.29 8.05
"43" 14.49 11.84 12.07 10.97
"44" 11.98 8.09 8.75 11.05
"45" 10.79 9.07 5.25 14.33
"46" 12.01 10.23 12.79 9.09
"47" 9.49 9.44 6.37 10.59
"48" 10.32 10.22 9.73 9.35
"49" 13.94 10.55 9.88 13.17
"50" 10.81 11.18 10.39 11.58
"51" 13.4 11.2 8.24 11.8
"52" 13.06 9.69 8.19 10.47
"53" 13 11.18 11.48 13.55
"54" 11.17 8.93 8.65 10.03
"55" 12.96 12.81 13.12 14.73
"56" 12.53 9.55 9.65 13.12
"57" 11.05 9.74 10.49 11.13
"58" 12.66 9.85 9.85 7.64
"59" 14.84 11.79 10.67 17.5
"60" 10.85 11.32 9.48 13.24
"61" 11.44 8.57 6.44 13.45
"62" 14.51 13.47 13.73 7.34
"63" 11.29 10.98 8.67 13.23
"64" 10.47 8.69 9.35 14.49
"65" 13.32 6.85 10.44 15.42
"66" 15.26 11.82 11.68 11.09
"67" 12.32 12.37 11.52 11.32
"68" 12.72 8.87 8.59 15.38
"69" 9.23 9.39 7.82 15.97
"70" 17.64 11.7 11.88 14.35
"71" 11.55 10 9.02 9.73
"72" 13.89 11.67 10.09 12.8
"73" 10.2 10.22 11.36 13.2
"74" 12.32 8.79 9.73 11.92
"75" 12.39 11.2 13.53 10.04
"76" 10.91 8.81 8.9 10.27
"77" 11.25 9.52 8.62 8.53
"78" 14.38 12.15 10.38 16.55
"79" 13.84 8.9 11.06 11.54
"80" 13.78 11.1 12.67 12.12
"81" 13.59 10.26 11.8 14.76
"82" 11.45 10.44 12.59 13.54
"83" 12.45 10.4 8.2 11.75
"84" 13.6 12.5 10.42 13.91
"85" 15.24 13.18 9.85 15.77
"86" 10.03 8.41 11.59 11.81
"87" 11.97 8.97 12.01 13.11
"88" 9.41 9.2 9.43 11.89
"89" 11.01 12 7.8 11.87
"90" 11.53 9.98 10.16 10.57
