"PM2.5" "PM10"
"1" 132.475 173.319
"2" 177.065 221.848
"3" 203.368 118.019
"4" 46.11 124.842
"5" 55.973 97.46
"6" 81.227 64.707
"7" 62.812 116.338
"8" 59.41 20.319
"9" 74.605 172.203
"10" 66.323 42.501
"11" 69.342 57.344
"12" 79.267 131.866
"13" 122.82 192.889
"14" 6.002 29.363
"15" 43.133 148.117
"16" -28.531 -24.147
"17" 94.144 128.21
"18" 226.794 248.934
"19" 3.963 17.95
"20" -43.569 -23.523
"21" 153.036 150.125
"22" 89.341 170.674
"23" 116.39 146.513
"24" 144.096 108.239
"25" 36.73 170.627
"26" -86.078 44.347
"27" 210.923 243.893
"28" -15.247 23.636
"29" 222.712 362.91
"30" 202.482 270.557
"31" 114.616 191.447
"32" 96.434 99.8
"33" 69.014 160.211
"34" 21.77 156.179
"35" 45.951 -6.43
"36" 87.166 43.822
"37" 94.515 88.703
"38" 103.714 101.689
"39" 80.538 98.62
"40" -73.392 -28.134
"41" 3.01 -17.466
"42" -11.108 65.403
"43" 92.1 134.897
"44" 134.054 147.137
"45" 112.787 185.347
"46" 115.907 150.012
"47" 219.872 222.437
"48" 8.404 63.482
"49" 161.563 236.492
"50" 67.067 66.597
"51" 146.066 189.515
"52" -27.158 -13.326
"53" 4.488 -34.539
"54" 21.221 8.337
"55" 199.091 285.576
"56" 81.374 84.509
"57" 4.708 -7.016
"58" 19.517 35.59
"59" 85.706 159.455
"60" 142.189 194.097
"61" 95.644 40.15
"62" -4.439 -29.103
"63" 79.303 120.656
"64" -35.802 47.417
"65" 8.828 138.129
"66" -71.385 -15.6
"67" 91.393 153.089
"68" 107.321 203.41
"69" 75.529 109.442
"70" 124.418 149.154
"71" -31.645 36
"72" 200.032 208.933
"73" 127.02 179.265
"74" 17.617 20.25
"75" 11.123 6.485
"76" 111.829 222.291
"77" 47.42 163.291
"78" 36.926 101.989
"79" 140.257 128.893
"80" 133.626 31.188
"81" 211.989 272.203
"82" 71.792 123.311
"83" 122.439 124.841
"84" 46.405 95.133
"85" 46.217 63.073
"86" 139.527 136.514
"87" 120.455 183.875
"88" 15.433 -39.001
"89" 64.552 15.209
"90" 30.958 27.888
"91" 211.922 291.509
"92" 96.512 184.839
"93" 15.138 90.94
"94" 42.811 123.275
"95" 61.581 123.289
"96" 14.387 26.376
"97" 172.196 108.15
"98" 132.034 124.519
"99" 54.901 98.472
"100" 117.725 146.125
