"vongole" "gamberetti"
"1" 27.269 51.827
"2" 28.324 49.956
"3" 28.795 50.166
"4" 29.813 49.127
"5" 31.284 48.106
"6" 27.84 50.876
"7" 28.686 50.197
"8" 28.662 49.848
"9" 28.659 50.623
"10" 30.369 49.106
"11" 31.438 47.389
"12" 30.283 48.188
"13" 28.079 50.012
"14" 28.225 50.472
"15" 31.702 47.376
"16" 30.897 48.175
"17" 31.552 48.471
"18" 28.033 50.742
"19" 29.101 50.35
"20" 28.892 50.609
"21" 30.547 48.31
"22" 28.808 50.276
"23" 27.449 51.088
"24" 29.331 49.683
"25" 28.05 50.134
"26" 27.455 51.039
"27" 31.293 47.521
"28" 30.601 48.257
"29" 30.156 49.234
"30" 26.961 52.058
"31" 28.48 50.389
"32" 30.135 48.866
"33" 28.104 50.503
"34" 29.473 48.866
"35" 29.865 49.294
"36" 28.253 50.595
"37" 29.971 48.617
"38" 28.236 50.362
"39" 30.58 48.642
"40" 28.964 49.365
"41" 31.072 47.657
"42" 28.964 50.095
"43" 29.11 50.087
"44" 27.81 50.796
"45" 29.532 50.18
"46" 30.107 49.875
"47" 28.638 50.123
"48" 29.363 49.763
"49" 27.522 50.869
"50" 28.229 50.82
"51" 27.065 52.226
"52" 30.659 48.847
"53" 30.316 49.563
"54" 30.176 49.449
"55" 31.206 47.983
"56" 29.666 49.878
"57" 29.613 49.775
"58" 29.429 49.1
"59" 30.646 47.842
"60" 29.494 49.716
"61" 31.958 46.262
"62" 29.643 49.626
"63" 30.713 48.495
"64" 30.526 48.552
"65" 29.748 49.459
"66" 29.485 49.757
"67" 28.898 50.12
"68" 30.721 48.099
"69" 28.191 51.712
"70" 30.102 48.33
"71" 28.464 50.099
"72" 30.531 48.826
"73" 29.861 49.296
"74" 31.599 47.322
"75" 31.149 47.634
"76" 29.035 49.494
"77" 29.443 49.099
"78" 29.766 50.196
"79" 26.87 52.379
"80" 27.826 51.234
"81" 28.255 51.387
"82" 31.066 48.245
"83" 29.353 49.367
"84" 28.328 49.859
"85" 29.44 50.282
"86" 28.755 50.257
"87" 29.201 49.305
"88" 29.345 49.623
"89" 29.161 49.733
"90" 27.761 50.454
"91" 31.469 47.385
"92" 28.952 50.215
"93" 30.563 48.448
"94" 29.031 49.89
"95" 26.991 51.834
"96" 32.552 47.31
"97" 27.54 50.524
"98" 32.247 46.822
"99" 29.653 49.442
"100" 31.924 47.24
