"Nokia5800" "iphone"
"1" 203.62 610.33
"2" 203.3 613.59
"3" 203.65 609.09
"4" 198.19 591.3
"5" 198.58 596.24
"6" 194.48 583.45
"7" 205.11 615.43
"8" 197.83 594.31
"9" 199.99 604.03
"10" 200.56 598.01
"11" 195.9 587.09
"12" 203.13 610.05
"13" 204.49 612.38
"14" 200.4 602.96
"15" 201.06 606.77
"16" 199.19 604.32
"17" 201.79 607.69
"18" 195.49 589.33
"19" 202.7 606.16
"20" 200.42 600.03
"21" 206.86 617.74
"22" 198.12 595.36
"23" 193.81 586.14
"24" 197.3 593.28
"25" 195.77 580.1
"26" 204.78 615.03
"27" 204.35 609.78
"28" 198.16 593.65
"29" 204.3 611.92
"30" 205.62 614.77
"31" 196.86 590.45
"32" 193.27 583.63
"33" 200.07 596.39
"34" 198.97 594.77
"35" 193.07 581.43
"36" 200.01 598.83
"37" 194.13 586.35
"38" 199.48 600.55
"39" 195.98 587.43
"40" 199.43 598.05
"41" 198.24 590.25
"42" 206.78 622.64
"43" 200.08 603.77
"44" 203.34 606.82
"45" 209.08 625.64
"46" 201.04 603.67
"47" 198.52 592.32
"48" 200.61 604.22
"49" 202.72 608.15
"50" 204.85 610.92
"51" 201.04 599.1
"52" 200.87 600.01
"53" 199.08 596.17
"54" 199.03 590.82
"55" 200.21 598.73
"56" 198.84 598.85
"57" 202.81 608.73
"58" 199.04 593.12
"59" 200.78 602.07
"60" 198.63 600.34
"61" 196.42 590.43
"62" 201.22 598.34
"63" 202.51 608.35
"64" 200.45 609.36
"65" 197.31 589.26
"66" 201.61 599.77
"67" 192.98 580.18
"68" 192.03 574.84
"69" 201.02 600.49
"70" 204.1 611.67
"71" 205.14 607.39
"72" 200.29 601.2
"73" 200.64 603.62
"74" 197.64 597.32
"75" 201.76 610.53
"76" 196.49 589.25
"77" 198.32 590.72
"78" 200.35 602.65
"79" 199.27 593.86
"80" 198.05 596.08
"81" 199.32 606.16
"82" 201.37 600.17
"83" 201.19 596.62
"84" 202.18 610.48
"85" 197.08 587.2
"86" 201.42 604.44
"87" 196.18 594.39
"88" 207.69 618.94
"89" 199.23 595.87
"90" 198.81 599.86
"91" 206.69 622.7
"92" 199.54 596.62
"93" 202.65 612.98
"94" 198.8 597.18
"95" 199.77 598.55
"96" 200.94 597.61
"97" 198.38 595.91
"98" 198.66 598.61
"99" 193.02 580.78
"100" 194.74 585.78
