"X1" "X2" "X3" "X4" "X5" "X6" "X7"
"1" 0.742886 0.754892 0.75903 0.733303 0.714801 0.759761 0.753529
"2" 0.846103 0.849913 0.845708 0.874489 0.838584 0.88925 0.839849
"3" 0.834855 0.806727 0.825796 0.801886 0.796831 0.844263 0.81996
"4" 0.82732 0.838127 0.831164 0.85042 0.854521 0.875602 0.824354
"5" 0.835563 0.831413 0.852715 0.822876 0.844074 0.867555 0.824301
"6" 0.741329 0.780281 0.778861 0.77054 0.739152 0.795981 0.751003
"7" 0.860658 0.835499 0.826955 0.853116 0.840365 0.844264 0.830498
"8" 0.775875 0.826086 0.814733 0.795334 0.791737 0.802147 0.803692
"9" 0.799564 0.767168 0.814214 0.807616 0.790492 0.795525 0.824166
"10" 0.729461 0.740339 0.76678 0.755735 0.750576 0.757894 0.723228
"11" 0.932469 0.87718 0.922454 0.875758 0.895004 0.922534 0.923514
"12" 0.816136 0.828331 0.856706 0.831046 0.813684 0.840056 0.848922
"13" 0.785824 0.777019 0.774819 0.775613 0.761946 0.799995 0.772896
"14" 0.831252 0.797783 0.827889 0.816443 0.805361 0.833529 0.852263
"15" 0.845723 0.851471 0.882067 0.828365 0.841134 0.855843 0.84552
"16" 0.855638 0.86488 0.851457 0.869233 0.875932 0.891017 0.861525
"17" 0.713881 0.661657 0.72158 0.70859 0.717231 0.732371 0.713264
"18" 0.755349 0.727643 0.724496 0.74027 0.771043 0.795532 0.751341
"19" 0.815281 0.796988 0.81941 0.802521 0.797713 0.85032 0.80942
"20" 0.762422 0.803354 0.776545 0.79378 0.800327 0.818456 0.80174
"21" 0.839068 0.819336 0.794444 0.81857 0.821819 0.855623 0.812642
"22" 0.826489 0.83099 0.843182 0.856775 0.862937 0.875335 0.858092
"23" 0.750561 0.763865 0.752388 0.759163 0.737792 0.748832 0.786784
"24" 0.73545 0.71368 0.706859 0.712775 0.725448 0.716571 0.717482
