"day1" "day2" "day3" "day4" "day5" "day6" "day7" "day8" "day9" "day10"
"1" 8.221 7.701 7.79 7.138 7.467 7.301 7.589 7.726 6.518 6.462
"2" 8.378 7.176 7.562 7.382 7.34 7.773 7.625 7.993 6.176 6.217
"3" 6.385 6.463 7.22 5.848 6.168 6.379 6.911 6.455 5.04 5.638
"4" 6.016 5.834 5.549 6.824 6.348 6.001 6.14 6.083 4.596 5.246
"5" 3.977 3.861 4.511 4.396 4.499 4.572 4.249 4.777 3.643 3.024
"6" 6.998 7.239 7.715 6.74 7.197 7.175 6.9 7.42 6.555 6.601
"7" 8.463 9.937 8.812 10.065 9.403 8.36 9.101 9.05 7.921 7.611
"8" 7.149 7.402 6.92 7.423 7.39 6.238 6.185 7.345 5.587 6.262
"9" 8.206 7.37 8.245 8.289 8.142 8.201 8.108 8.242 7.567 8.106
"10" 6.28 6.643 6.035 6.384 5.825 6.509 7.01 5.844 6.068 5.979
"11" 5.105 4.917 5.704 4.834 4.706 5.018 4.508 4.291 3.545 4.31
"12" 7.064 7.524 7.061 7.31 7.388 7.639 7.779 8.249 7.016 5.648
"13" 8.87 8.249 8.833 8.911 8.64 8.69 7.535 8.441 6.89 8.092
"14" 6.26 7.013 7.072 6.664 6.117 7.122 6.877 6.673 5.167 5.945
"15" 7.448 8.295 7.8 7.554 8.368 6.642 8.424 8.129 7.289 7.136
"16" 7.637 8.562 8.755 8.87 8.751 7.933 8.512 8.749 8.62 7.818
"17" 6.88 6.412 5.98 5.867 6.1 5.562 5.069 6.04 4.891 5.518
"18" 6.817 6.644 6.743 7.17 6.697 7.099 6.422 7.639 6.032 6.508
"19" 5.598 5.398 5.042 5.551 5.476 6.074 4.802 5.849 4.02 5.325
"20" 6.516 6.792 7.189 6.2 7.589 7.061 6.934 7.168 6.202 5.201
"21" 7.118 6.59 7.14 7.428 7.808 7.142 6.859 6.54 5.717 5.86
"22" 7.141 7.328 5.991 6.196 6.161 6.898 6.494 6.501 5.41 5.37
"23" 5.658 6.394 6.188 6.049 6.201 5.903 5.881 6.349 5.281 4.821
"24" 6.553 7.131 7.178 7.603 7.654 8.089 7.584 7.455 6.585 7.245
"25" 6.354 7.133 6.978 5.838 6.691 6.584 5.911 6.855 4.846 4.992
"26" 6.659 5.399 6.139 6.007 5.818 5.58 5.828 6.207 4.65 5.152
"27" 6.697 7.645 7.111 7.493 7.407 6.973 7.175 7.207 5.992 5.702
"28" 5.409 6.281 6.101 5.54 5.729 5.616 5.161 6.653 5.253 5.214
"29" 6.41 6.772 6.044 6.951 6.625 7.131 6.7 6.543 5.903 5.673
"30" 7.16 7.028 7.594 8.079 7.536 6.968 7.642 6.818 6.11 6.46
"31" 8.341 7.434 6.901 7.817 7.36 7.326 7.104 7.039 6.404 5.846
"32" 6.078 4.804 4.894 5.773 6.137 5.871 5.527 5.353 4.405 4.486
