"age" "safemoney" "riskymoney"
"1" "adult" "15.871" "19.312"
"2" "adult" "15.307" "21.285"
"3" "young" "26.618" "12.123"
"4" "young" "33.805" "7.237"
"5" "old" "29.086" "11.775"
"6" "adult" "17.635" "22.633"
"7" "old" "32.968" "7.257"
"8" "young" "26.706" "12.146"
"9" "young" "26.506" "13.026"
"10" "adult" "20.626" "18.086"
"11" "old" "28.384" "8.284"
"12" "young" "30.581" "9.396"
"13" "adult" "16.053" "22.534"
"14" "old" "29.858" "15.911"
"15" "young" "30.711" "10.855"
"16" "young" "27.102" "11.506"
"17" "young" "32.232" "13.196"
"18" "adult" "24.53" "20.39"
"19" "adult" "19.008" "23.369"
"20" "young" "32.733" "9.617"
"21" "young" "35.698" "3.674"
"22" "adult" "14.053" "21.455"
"23" "old" "26.829" "11.298"
"24" "adult" "19.174" "19.993"
"25" "young" "24.118" "12.436"
"26" "old" "29.853" "11.2"
"27" "old" "31.687" "13.769"
"28" "old" "34.948" "6.493"
"29" "adult" "19.246" "17.624"
"30" "old" "30.266" "8.746"
"31" "young" "25.876" "13.837"
"32" "adult" "23.774" "19.006"
"33" "adult" "25.701" "18.468"
"34" "adult" "18.168" "22.016"
"35" "young" "31.233" "11.622"
"36" "young" "25.276" "12.384"
"37" "old" "28.278" "13.025"
"38" "old" "34.25" "8.297"
"39" "young" "30.434" "10.88"
"40" "old" "30.176" "13.006"
"41" "old" "31.671" "4.801"
"42" "young" "26.871" "11.183"
"43" "adult" "22.324" "14.063"
"44" "old" "37.315" "3.049"
"45" "adult" "19.205" "21.176"
"46" "old" "30.562" "11.258"
"47" "adult" "23.86" "20.26"
"48" "old" "31.75" "11.877"
"49" "young" "29.682" "11.755"
"50" "adult" "19.112" "16.711"
"51" "old" "25.747" "15.659"
"52" "young" "31.849" "12.172"
"53" "adult" "15.748" "21.747"
"54" "old" "29.602" "13.426"
"55" "old" "29.643" "10.246"
"56" "young" "34.074" "13.637"
"57" "young" "31.576" "4.897"
"58" "old" "26.3" "13.337"
"59" "young" "27.204" "7.415"
"60" "old" "27.124" "11.096"
"61" "adult" "12.576" "26.49"
"62" "young" "32.444" "8.954"
"63" "young" "30.373" "10.783"
"64" "old" "32.182" "10.879"
"65" "adult" "21.097" "19.184"
"66" "adult" "19.471" "19.13"
"67" "old" "23.818" "16.905"
"68" "young" "27.337" "6.126"
"69" "old" "26.886" "7.565"
"70" "young" "31.199" "10.399"
"71" "adult" "15.063" "23.587"
"72" "adult" "21.794" "17.405"
"73" "adult" "17.344" "17.019"
"74" "adult" "16.007" "25.648"
"75" "adult" "21.314" "22.608"
"76" "young" "29.018" "7.406"
"77" "young" "34.96" "8.63"
"78" "adult" "19.156" "19.79"
"79" "young" "32.593" "4.701"
"80" "old" "27.21" "11.237"
"81" "old" "26.628" "14.502"
"82" "adult" "19.253" "19.582"
"83" "adult" "15.56" "22.678"
"84" "adult" "20.558" "19.283"
"85" "old" "28.219" "15.975"
"86" "old" "29.324" "12.765"
"87" "young" "30.261" "14.915"
"88" "young" "33.242" "9.843"
"89" "young" "33.868" "7.016"
"90" "adult" "18.631" "18.105"
"91" "adult" "16.807" "19.816"
"92" "old" "30.949" "11.121"
"93" "old" "31" "15.188"
"94" "adult" "24.063" "20.118"
"95" "old" "28.91" "13.28"
"96" "young" "33.649" "13.321"
"97" "young" "29.533" "11.929"
"98" "young" "27.719" "10.33"
"99" "adult" "21.553" "20.765"
"100" "adult" "20.091" "21.107"
"101" "old" "25.893" "9.8"
"102" "young" "30.662" "10.962"
"103" "old" "30.119" "8.472"
"104" "adult" "21.73" "18.347"
"105" "young" "32.579" "8.193"
"106" "young" "29.79" "3.683"
"107" "adult" "18.228" "23.001"
"108" "old" "31.549" "10.291"
"109" "old" "30.48" "14.793"
"110" "adult" "17.102" "18.856"
"111" "young" "31.828" "16.37"
"112" "old" "23.197" "12.002"
"113" "young" "31.063" "7.958"
"114" "adult" "21.414" "20.392"
"115" "adult" "18.936" "18.802"
"116" "adult" "21.466" "19.559"
"117" "adult" "25.163" "19.976"
"118" "adult" "17.136" "21.237"
"119" "old" "29.9" "10.207"
"120" "old" "28.558" "9.564"
"121" "young" "31.786" "7.401"
"122" "young" "31.399" "8.599"
"123" "old" "26.166" "15.187"
"124" "adult" "20.935" "15.271"
"125" "adult" "16.287" "22.825"
"126" "old" "30.72" "13.168"
"127" "young" "33.169" "9.098"
"128" "adult" "21.61" "15.653"
"129" "old" "33.646" "10.994"
"130" "young" "27.653" "6.851"
"131" "old" "29.859" "9.285"
"132" "young" "33.286" "5.156"
"133" "young" "25.295" "12.247"
"134" "old" "30.023" "13.103"
"135" "young" "30.739" "11.931"
"136" "old" "34.15" "4.167"
"137" "young" "28.285" "11.761"
"138" "young" "29.893" "11.924"
"139" "young" "29.664" "5.324"
"140" "adult" "20.478" "19.689"
"141" "adult" "22.889" "19.911"
"142" "old" "30.762" "9.365"
"143" "old" "32.136" "10.455"
"144" "old" "32.313" "10.56"
"145" "old" "25.783" "12.688"
"146" "adult" "21.568" "20.924"
"147" "old" "25.042" "15.765"
"148" "adult" "17.169" "26.655"
"149" "young" "27.776" "9.425"
"150" "old" "31.041" "6.444"
