"prezzo" "citta" "tipo"
"1" 0.37 "Brighton" "liscia"
"2" 0.35 "Brighton" "liscia"
"3" 0.39 "Brighton" "liscia"
"4" 0.37 "Brighton" "liscia"
"5" 0.4 "Brighton" "liscia"
"6" 0.38 "Brighton" "liscia"
"7" 0.33 "Brighton" "liscia"
"8" 0.3 "Brighton" "liscia"
"9" 0.35 "Brighton" "liscia"
"10" 0.37 "Brighton" "liscia"
"11" 0.44 "Brighton" "crema"
"12" 0.46 "Brighton" "crema"
"13" 0.46 "Brighton" "crema"
"14" 0.44 "Brighton" "crema"
"15" 0.49 "Brighton" "crema"
"16" 0.43 "Brighton" "crema"
"17" 0.42 "Brighton" "crema"
"18" 0.44 "Brighton" "crema"
"19" 0.44 "Brighton" "crema"
"20" 0.44 "Brighton" "crema"
"21" 0.46 "Brighton" "marmellata"
"22" 0.43 "Brighton" "marmellata"
"23" 0.48 "Brighton" "marmellata"
"24" 0.42 "Brighton" "marmellata"
"25" 0.44 "Brighton" "marmellata"
"26" 0.42 "Brighton" "marmellata"
"27" 0.46 "Brighton" "marmellata"
"28" 0.45 "Brighton" "marmellata"
"29" 0.43 "Brighton" "marmellata"
"30" 0.46 "Brighton" "marmellata"
"31" 0.33 "Worthing" "liscia"
"32" 0.38 "Worthing" "liscia"
"33" 0.35 "Worthing" "liscia"
"34" 0.37 "Worthing" "liscia"
"35" 0.37 "Worthing" "liscia"
"36" 0.36 "Worthing" "liscia"
"37" 0.38 "Worthing" "liscia"
"38" 0.36 "Worthing" "liscia"
"39" 0.34 "Worthing" "liscia"
"40" 0.41 "Worthing" "liscia"
"41" 0.47 "Worthing" "crema"
"42" 0.49 "Worthing" "crema"
"43" 0.42 "Worthing" "crema"
"44" 0.41 "Worthing" "crema"
"45" 0.45 "Worthing" "crema"
"46" 0.46 "Worthing" "crema"
"47" 0.44 "Worthing" "crema"
"48" 0.47 "Worthing" "crema"
"49" 0.38 "Worthing" "crema"
"50" 0.43 "Worthing" "crema"
"51" 0.48 "Worthing" "marmellata"
"52" 0.45 "Worthing" "marmellata"
"53" 0.46 "Worthing" "marmellata"
"54" 0.46 "Worthing" "marmellata"
"55" 0.38 "Worthing" "marmellata"
"56" 0.48 "Worthing" "marmellata"
"57" 0.44 "Worthing" "marmellata"
"58" 0.46 "Worthing" "marmellata"
"59" 0.43 "Worthing" "marmellata"
"60" 0.44 "Worthing" "marmellata"
