"Lunghezza" "Larghezza"
"1" 85.224 56.32
"2" 84.978 54.256
"3" 85.6 54.034
"4" 86.371 55.243
"5" 86.72 55.164
"6" 83.946 53.41
"7" 84.018 55.089
"8" 83.808 54.376
"9" 85.463 55.408
"10" 86.086 54.301
"11" 84.24 56.29
"12" 86.138 54.389
"13" 85.571 55.624
"14" 86.174 54.224
"15" 83.969 55.115
"16" 84.273 55.573
"17" 85.445 55.662
"18" 84.311 55.367
"19" 84.545 54.245
"20" 83.913 54.847
"21" 84.597 54.914
"22" 84.255 55.042
"23" 85.731 54.952
"24" 83.662 54.881
"25" 84.794 55.451
"26" 84.784 54.804
"27" 84.379 56.172
"28" 85.357 54.88
"29" 84.043 55.07
"30" 84.305 55.738
"31" 86.558 56.42
"32" 85.19 54.802
"33" 85.179 54.525
"34" 85.839 55.492
"35" 85.005 53.845
"36" 85.248 54.029
"37" 85.76 55.459
"38" 84.61 55.364
"39" 84.161 54.728
"40" 85.494 55.228
"41" 84.43 55.255
"42" 84.397 55.321
"43" 85.778 54.894
"44" 85.943 56.018
"45" 85.223 54.502
"46" 85.413 56.038
"47" 85.318 55.668
"48" 84.601 56.481
"49" 84.628 56.383
"50" 85.522 55.909
"51" 85.487 55.791
"52" 84.698 54.846
"53" 85.645 54.967
"54" 84.443 56.577
"55" 84.469 56.047
"56" 84.054 53.588
"57" 84.967 55.455
"58" 85.664 55.413
"59" 85.076 56.353
"60" 85.718 53.725
"61" 84.534 54.398
"62" 83.914 55.25
"63" 85.16 55.826
"64" 85.892 55.779
"65" 84.969 54.885
"66" 85.19 54.575
"67" 84.258 55.183
"68" 84.582 54.356
"69" 85.305 54.706
"70" 86.523 54.041
"71" 85.015 54.962
"72" 86.267 54.376
"73" 85.145 56.123
"74" 85.775 54.882
"75" 85.476 54.478
"76" 84.852 53.919
"77" 85.952 54.787
"78" 83.682 54.836
"79" 85.721 54.446
"80" 85.485 54.505
"81" 85.225 54.427
"82" 85.977 55.06
"83" 85.967 55.218
"84" 84.363 55.448
"85" 86.053 55.174
"86" 84.41 55.619
"87" 84.104 55.092
"88" 84 53.913
"89" 85.272 54.531
"90" 85.085 56.171
"91" 86.044 55.928
"92" 84.482 56.093
"93" 84.842 55.441
"94" 84.796 53.891
"95" 84.43 54.089
"96" 85.156 56.342
"97" 84.153 55.069
"98" 85.269 55.419
"99" 86.781 56.327
"100" 85.273 55.057
