"V1" "V2"
"1" 155.88 67.08
"2" 155.96 67.03
"3" 156.03 66.93
"4" 156.04 66.93
"5" 156.11 67
"6" 156.06 66.95
"7" 155.99 67.04
"8" 155.9 67.09
"9" 155.96 67.03
"10" 155.98 67.03
"11" 156.01 66.89
"12" 155.98 66.97
"13" 155.82 67.11
"14" 156.04 66.94
"15" 156.15 66.83
"16" 156.09 66.91
"17" 156.18 66.84
"18" 156.08 66.93
"19" 155.9 67.04
"20" 155.71 67.29
"21" 156.13 66.97
"22" 156.04 66.95
"23" 155.98 67
"24" 156 66.92
"25" 155.9 67.1
"26" 155.96 67.12
"27" 155.9 67.18
"28" 156.1 66.85
"29" 155.86 67.11
"30" 156.08 66.86
"31" 155.83 67.17
"32" 156.09 66.94
"33" 155.94 67.03
"34" 156.04 66.98
"35" 156.16 66.84
"36" 155.98 66.98
"37" 156 66.98
"38" 156.03 67.03
"39" 155.87 67.18
"40" 155.89 67.15
"41" 155.93 67.11
"42" 156.13 66.89
"43" 156.1 66.84
"44" 156.03 67.02
"45" 156.09 66.93
"46" 156.02 67.01
"47" 156.14 66.82
"48" 156.02 67.02
"49" 155.91 67.11
"50" 156.04 66.98
"51" 155.84 67.27
"52" 155.98 66.95
"53" 156.1 66.99
"54" 156.01 66.96
"55" 156.1 66.91
"56" 155.9 67.13
"57" 156.19 66.85
"58" 155.9 67.04
"59" 156.13 66.82
"60" 156.05 66.96
"61" 155.99 66.98
"62" 155.95 66.98
"63" 156.03 66.99
"64" 155.98 67.03
"65" 155.94 67.1
"66" 156.06 66.98
"67" 155.98 67.04
"68" 155.86 67.13
"69" 155.99 67
"70" 156.19 66.88
"71" 155.95 67.03
"72" 155.85 67.2
"73" 156.03 67.02
"74" 156.06 67.04
"75" 156.07 66.91
"76" 156.03 66.93
"77" 155.96 67.1
"78" 156.22 66.85
"79" 155.98 67.03
"80" 155.94 67.15
"81" 155.9 67.01
"82" 156.04 66.94
"83" 156 66.95
"84" 156.11 66.92
"85" 156.18 66.78
"86" 155.89 67.16
"87" 156.03 66.98
"88" 155.93 67.06
"89" 156.14 66.93
"90" 156.07 66.89
"91" 155.98 66.93
"92" 156.04 66.98
"93" 156.08 67.02
"94" 155.87 67.15
"95" 156.05 67.02
"96" 155.96 67
"97" 155.89 67.1
"98" 155.94 67.05
"99" 156.1 66.91
"100" 156.19 66.78
