"V1" "V2"
"1" 156.06 66.97
"2" 156.08 66.88
"3" 155.95 67.06
"4" 155.98 67.09
"5" 155.85 66.9
"6" 155.92 67.02
"7" 155.95 66.95
"8" 155.89 67.22
"9" 155.98 66.98
"10" 155.97 66.76
"11" 156.04 67.08
"12" 155.87 66.96
"13" 156.07 67.08
"14" 156.02 67
"15" 155.93 67.22
"16" 155.86 67.02
"17" 156 66.83
"18" 156 67
"19" 155.96 67.01
"20" 155.96 66.89
"21" 156 67.06
"22" 155.93 67.02
"23" 156.1 67.06
"24" 155.98 67.01
"25" 155.96 67.05
"26" 156.07 67.11
"27" 156.06 66.97
"28" 155.91 67.1
"29" 156.11 66.94
"30" 156.03 67.04
"31" 155.83 67.19
"32" 156 67.01
"33" 155.95 66.96
"34" 156.02 66.93
"35" 156.07 67.12
"36" 156.05 66.86
"37" 156.07 67.06
"38" 155.89 67.14
"39" 156.04 67.12
"40" 155.95 67.02
"41" 156.07 66.95
"42" 155.92 67.15
"43" 155.99 66.75
"44" 156.02 67.19
"45" 155.98 66.78
"46" 156.11 67.18
"47" 156.01 66.94
"48" 155.89 66.96
"49" 155.82 66.91
"50" 155.99 66.89
"51" 155.93 66.95
"52" 155.94 67.03
"53" 155.89 66.95
"54" 155.85 66.97
"55" 155.95 66.97
"56" 156 67.26
"57" 155.87 66.98
"58" 155.98 67.06
"59" 155.96 66.86
"60" 155.94 67.17
"61" 156.16 66.88
"62" 155.97 67.11
"63" 156.01 67.19
"64" 156.06 67.04
"65" 155.97 67.13
"66" 155.83 67.14
"67" 156.03 66.99
"68" 155.98 66.86
"69" 155.84 66.97
"70" 156.02 66.99
"71" 155.83 66.96
"72" 155.99 66.99
"73" 156.05 67.02
"74" 155.91 67
"75" 155.92 66.98
"76" 156.04 66.99
"77" 155.9 66.93
"78" 156.05 67.06
"79" 156 67.04
"80" 155.89 67
"81" 155.97 67.05
"82" 156.03 67.02
"83" 155.9 66.95
"84" 156.01 67.01
"85" 155.99 67.02
"86" 156.16 66.96
"87" 155.82 67.01
"88" 155.94 66.81
"89" 155.88 67.02
"90" 156.23 66.99
"91" 156.08 67.01
"92" 156.03 66.97
"93" 156.06 66.99
"94" 155.95 67.09
"95" 155.84 66.88
"96" 156.06 67.22
"97" 155.91 66.94
"98" 156.11 67
"99" 156.06 67.24
"100" 156.01 67.01
