"quantita" "temperatura" "giudizio"
"1952" 105.2 -2.3 "bad"
"1953" 187.5 -2.7 "good"
"1954" 200.6 -3.6 "good"
"1955" 148 -1.7 "bad"
"1956" 165.5 -9.2 "good"
"1957" 129.2 -2.5 "bad"
"1958" 184.5 -3.7 "good"
"1959" 201.1 -2.1 "good"
"1960" 125.1 0.3 "bad"
"1961" 166.5 -0.1 "good"
"1962" 159.2 -1.7 "bad"
"1963" 159.8 -2.4 "good"
"1964" 201.2 -5.8 "good"
"1965" 219.5 -2.1 "good"
"1966" 153.9 -4.4 "good"
"1967" 213.2 -6.8 "good"
"1968" 173 -2.6 "good"
"1969" 111.1 -2.1 "bad"
"1970" 152.7 -2.8 "bad"
"1971" 132.6 -4.6 "bad"
"1972" 176.6 -1.1 "good"
"1973" 148.5 -8.2 "good"
"1974" 167.1 0.3 "good"
"1975" 202.1 -3.8 "good"
"1976" 141.9 -5.3 "good"
"1977" 163.4 -5.7 "good"
"1978" 172.7 -2.2 "good"
"1979" 198.2 -11.9 "good"
"1980" 138.6 -0.7 "good"
"1981" 163.1 -6.7 "good"
"1982" 177.8 -9 "good"
"1983" 165.4 0.6 "good"
"1984" 151.3 -6.5 "good"
"1985" 166.3 -4.6 "bad"
"1986" 138.3 0.4 "bad"
"1987" 195.5 0.5 "good"
"1988" 206.2 -3.2 "good"
"1989" 192.1 -7.5 "good"
"1990" 137.4 -0.9 "bad"
"1991" 179.1 -3.4 "good"
"1992" 183.3 -7.1 "good"
"1993" 156.7 -4.5 "good"
"1994" 193 -7.1 "good"
"1995" 136.9 -0.4 "bad"
"1996" 196.3 0.4 "good"
"1997" 188.6 -4.4 "good"
"1998" 205.6 -1.8 "good"
"1999" 176 -3.4 "good"
"2000" 207.5 -6.7 "good"
"2001" 152.5 -5.1 "bad"
"2002" 180.3 -7.7 "good"
"2003" 196.1 -8.6 "good"
"2004" 176 -5.7 "good"
"2005" 162.1 -4 "good"
"2006" 173.9 -10.8 "good"
"2007" 181.8 -4.6 "good"
"2008" 178.6 -2.2 "good"
"2009" 181.8 -5.1 "good"
"2010" 202.6 -9 "good"
"2011" 156.1 -2.2 "bad"
