"Lunghezza" "Larghezza"
"1" 84.603 54.65
"2" 84.976 55.219
"3" 84.85 55.031
"4" 85.12 54.838
"5" 85.008 54.789
"6" 85.197 54.947
"7" 85.161 54.95
"8" 84.755 55.127
"9" 85.139 55.25
"10" 84.936 54.709
"11" 84.316 55.345
"12" 85.372 54.916
"13" 84.577 54.933
"14" 84.991 55.154
"15" 85.109 54.769
"16" 84.605 55.556
"17" 85.095 54.986
"18" 85.076 54.799
"19" 84.954 55.128
"20" 85.224 54.953
"21" 85.128 54.49
"22" 84.897 54.891
"23" 84.791 55.378
"24" 84.863 55.445
"25" 84.868 55.628
"26" 84.96 54.557
"27" 85.113 55.036
"28" 84.893 55.147
"29" 85.365 55.111
"30" 84.869 55.168
"31" 85.106 55.544
"32" 85.138 55.482
"33" 84.8 54.75
"34" 85.083 55.011
"35" 84.893 54.873
"36" 84.763 55.281
"37" 84.608 54.738
"38" 84.938 54.473
"39" 85.178 55.316
"40" 84.787 55.202
"41" 85.251 55.152
"42" 85.22 55.059
"43" 85.278 54.816
"44" 84.939 54.673
"45" 85.119 55.229
"46" 85.439 54.998
"47" 85.124 55.398
"48" 85.129 54.952
"49" 84.69 55.111
"50" 84.856 54.777
"51" 84.843 54.216
"52" 84.795 54.957
"53" 85.067 55.046
"54" 85.253 54.577
"55" 84.784 54.22
"56" 85.01 55.531
"57" 84.955 54.705
"58" 85.058 55.202
"59" 84.777 54.911
"60" 84.906 54.741
"61" 84.931 55.085
"62" 85.072 55.381
"63" 84.852 55.153
"64" 84.601 55.108
"65" 85.571 54.783
"66" 85.316 55.441
"67" 85.29 55.446
"68" 85.045 55.334
"69" 84.645 54.891
"70" 85.278 54.79
"71" 85.017 54.869
"72" 85.082 54.787
"73" 84.531 54.755
"74" 85.001 54.689
"75" 84.843 55.364
"76" 85.174 54.556
"77" 85.135 55.466
"78" 85.06 54.814
"79" 85.37 54.774
"80" 85.092 54.622
"81" 84.779 54.957
"82" 84.986 55.434
"83" 84.834 55.142
"84" 84.758 54.929
"85" 84.615 54.734
"86" 85.33 55.067
"87" 85.465 54.893
"88" 85.21 55.279
"89" 84.916 54.781
"90" 85.346 54.825
"91" 85.02 54.73
"92" 85.664 54.669
"93" 84.739 55.227
"94" 84.886 55.301
"95" 85.049 54.992
"96" 84.86 55.362
"97" 85.118 55.092
"98" 84.628 55.426
"99" 85.219 54.636
"100" 85.169 55.014
