"Lunghezza" "Larghezza"
"1" 9.801 17.07
"2" 8.591 15.711
"3" 14.179 15.42
"4" 13.506 13.656
"5" 13.809 14.595
"6" 12.238 13.312
"7" 10.995 17.987
"8" 13.722 15.185
"9" 12.109 14.023
"10" 13.138 13.335
"11" 13.304 14.28
"12" 11.146 18.404
"13" 12.898 14.194
"14" 13.153 13.762
"15" 10.679 17.343
"16" 10.81 17.414
"17" 10.771 12.602
"18" 12.583 13.501
"19" 10.896 18.352
"20" 13.023 14.242
"21" 14.374 15.904
"22" 12.014 12.559
"23" 10.938 11.48
"24" 14.553 15.505
"25" 11.132 17.674
"26" 9.742 16.026
"27" 13.676 14.897
"28" 9.815 17.329
"29" 13.46 14.053
"30" 9.46 17.374
"31" 12.545 18.387
"32" 13.662 14.259
"33" 15 15.216
"34" 14.411 15.417
"35" 8.979 16.761
"36" 13.762 14.74
"37" 10.501 17.15
"38" 11.186 12.655
"39" 11.96 13.378
"40" 13.059 14.434
"41" 9.195 16.366
"42" 11.241 12.807
"43" 9.554 17.004
"44" 10.584 16.933
"45" 13.014 13.932
"46" 12.987 13.942
"47" 9.043 16.649
"48" 10.866 17.556
"49" 12.695 13.908
"50" 9.562 16.187
