"coord1" "coord2"
"1" 22.41 17.84
"2" 1.43 15.8
"3" 29.95 24.38
"4" 3.82 25.86
"5" 28.41 16.66
"6" 10.65 29.65
"7" 23.99 21.32
"8" 6.73 23.35
"9" 13.66 24.33
"10" 32.78 21.76
"11" 20.74 33.25
"12" 34.04 21.06
"13" 22.67 20.07
"14" 16.81 16.21
"15" 7.66 27.9
"16" 16.73 14.31
"17" 5.9 23.75
"18" 6.67 29.35
"19" 16.29 25.67
"20" 22.8 11.34
"21" 24.14 20.58
"22" 20.47 23.71
"23" 20.39 16.13
"24" 11.44 28.96
"25" 16.02 14.01
"26" 23.16 24.24
"27" 21.01 26.49
"28" 25.34 20.47
"29" 27.02 15
"30" 20.16 19.97
"31" 14.42 25.65
"32" 27.33 27.03
"33" 10.36 29.76
"34" 27.12 23.78
"35" 26.22 19.88
"36" 31.26 21.85
"37" 19.03 20.79
"38" 4.2 25.17
"39" 9.05 27.83
"40" 19.45 2.87
"41" 15.85 17.98
"42" 7.21 21.64
"43" 29.53 22.68
"44" 27.05 14.03
"45" 11.54 24.11
"46" 6.34 21.22
"47" 29.47 26.39
"48" 8.58 21.97
"49" 29 25.53
"50" 20.08 16.59
"51" 37.94 18.3
"52" 33.58 26.3
"53" 18.03 16.6
"54" 21.15 10.85
"55" 26.98 12.46
"56" 4.86 28.84
"57" 9.29 20.33
"58" 24.28 14.93
"59" 20.87 11.41
"60" 22.99 13.22
"61" 15.08 27.43
"62" 28.2 28.8
"63" 18.42 35.67
"64" 19.11 28.77
"65" 4.65 31.11
"66" 8.05 24.58
"67" 27.98 16.06
"68" 23.35 15.77
"69" 34.86 20.37
"70" 17.39 11.52
"71" 23.02 17.6
"72" 9.69 19.45
"73" 5.28 23.95
"74" 28.04 15.93
"75" 26.99 23.32
"76" 10.47 24.44
"77" 23.12 14.91
"78" 27.46 20.2
"79" 27.38 19.87
"80" 25.7 23.31
"81" 26.18 12.27
"82" 7.53 20.46
"83" 32.19 19.11
"84" 22.42 21.7
"85" 9.05 25.96
"86" 21.58 22.23
"87" 17.59 11.86
"88" 28.83 19.58
"89" 9.98 18.39
"90" 18.26 13.8
"91" 30.77 15.93
"92" 20.93 22.96
"93" 27.99 25.36
"94" 20.9 11.88
"95" 26.15 24.01
"96" 16.58 12.71
"97" 25.31 23.02
"98" 32.85 24.13
"99" 18.05 17.84
"100" 31.44 26.26
