"T" "L"
"1" 0 7
"2" 0.2 2.06
"3" 0.4 3.19
"4" 0.6 1.56
"5" 0.8 2.18
"6" 1 2.61
"7" 1.2 3.01
"8" 1.4 3.22
"9" 1.6 2.61
"10" 1.8 2.53
"11" 2 4.67
"12" 2.2 3.86
"13" 2.4 3.26
"14" 2.6 4.67
"15" 2.8 5.18
"16" 3 6.28
"17" 3.2 3.78
"18" 3.4 4.9
"19" 3.6 4.73
"20" 3.8 4.71
"21" 4 6.16
"22" 4.2 6.11
"23" 4.4 5.79
"24" 4.6 8.39
"25" 4.8 5.78
"26" 5 6.26
"27" 5.2 6.96
"28" 5.4 5.81
"29" 5.6 6.66
"30" 5.8 6.5
"31" 6 7.16
"32" 6.2 7.25
"33" 6.4 8.78
"34" 6.6 8.87
"35" 6.8 9
"36" 7 7.54
"37" 7.2 9.99
"38" 7.4 7.48
"39" 7.6 10.09
"40" 7.8 10.26
"41" 8 8.36
"42" 8.2 10.86
"43" 8.4 10.57
"44" 8.6 10.54
"45" 8.8 9.71
"46" 9 10.3
"47" 9.2 11.19
"48" 9.4 10.66
"49" 9.6 11.53
"50" 9.8 12.84
"51" 10 12.16
