"Month" "Region.of.origin" "Hotel.5stars" "Hotel.4stars" "Hotel.3stars" "Hotel.2stars" "Hotel.1star" "Residences" "Bed.Breakfast" "Rented.flats"
"1" "Jan" "PIEMONTE" 255 5733 3878 351 504 1489 41 551
"2" "Feb" "PIEMONTE" 277 6613 3816 352 380 1617 31 415
"3" "Mar" "PIEMONTE" 272 7278 4518 523 475 1949 42 520
"4" "Apr" "PIEMONTE" 181 5311 3550 383 330 1853 42 542
"5" "May" "PIEMONTE" 301 5885 3231 396 421 2050 85 561
"6" "Jun" "PIEMONTE" 259 5436 3115 456 301 2273 64 587
"7" "Jul" "PIEMONTE" 220 5081 3555 361 285 2414 41 433
"8" "Aug" "PIEMONTE" 133 3716 2511 224 231 2052 17 187
"9" "Sept" "PIEMONTE" 401 8838 3339 430 255 2477 56 467
"10" "Oct" "PIEMONTE" 373 8395 3549 449 273 2462 92 510
"11" "Nov" "PIEMONTE" 302 8857 3590 651 266 2020 80 492
"12" "Dec" "PIEMONTE" 298 8442 3274 479 243 2041 28 564
"13" "Jan" "VALLE D'AOSTA" 9 163 131 34 87 134 4 18
"14" "Feb" "VALLE D'AOSTA" 2 229 165 53 60 95 3 13
"15" "Mar" "VALLE D'AOSTA" 16 297 199 47 25 68 10 31
"16" "Apr" "VALLE D'AOSTA" 4 296 151 121 61 51 2 36
"17" "May" "VALLE D'AOSTA" 10 368 158 61 34 36 1 7
"18" "Jun" "VALLE D'AOSTA" 5 263 174 83 13 42 0 9
"19" "Jul" "VALLE D'AOSTA" 8 186 235 35 22 33 0 25
"20" "Aug" "VALLE D'AOSTA" 2 149 120 16 32 12 0 14
"21" "Sept" "VALLE D'AOSTA" 15 300 247 50 61 13 3 21
"22" "Oct" "VALLE D'AOSTA" 58 441 546 81 5 12 6 46
"23" "Nov" "VALLE D'AOSTA" 7 210 194 31 17 6 4 10
"24" "Dec" "VALLE D'AOSTA" 10 242 179 14 0 7 2 14
"25" "Jan" "VENETO" 281 9835 5594 845 489 1798 65 994
"26" "Feb" "VENETO" 289 11859 6341 988 655 2045 82 1026
"27" "Mar" "VENETO" 342 11706 6918 985 585 2037 126 1046
"28" "Apr" "VENETO" 208 9480 6771 758 477 2189 88 849
"29" "May" "VENETO" 445 10691 6458 961 564 2462 164 1038
"30" "Jun" "VENETO" 396 10234 5691 910 528 2097 116 908
"31" "Jul" "VENETO" 285 9337 5958 748 359 2136 144 863
"32" "Aug" "VENETO" 247 8367 5773 811 407 1881 97 755
"33" "Sept" "VENETO" 516 15818 7483 1399 716 2519 255 1097
"34" "Oct" "VENETO" 735 16287 7073 1145 739 2513 298 1339
"35" "Nov" "VENETO" 396 12258 5289 689 342 2139 141 831
"36" "Dec" "VENETO" 436 10293 4170 593 246 1728 37 764
"37" "Jan" "FRIULI VENEZIA GIULIA " 81 2729 1819 183 138 700 32 198
"38" "Feb" "FRIULI VENEZIA GIULIA " 79 3097 1805 173 169 622 39 149
"39" "Mar" "FRIULI VENEZIA GIULIA " 123 3371 2060 207 176 695 65 194
"40" "Apr" "FRIULI VENEZIA GIULIA " 111 3559 2040 243 152 857 87 227
