"dollar" "pound"
"1" 1.37 0.87
"2" 1.3726 0.9261
"3" 1.3156 0.9088
"4" 1.3413 0.8939
"5" 1.4141 0.9291
"6" 1.4847 0.8636
"7" 1.4786 0.8347
"8" 1.4764 0.7503
"9" 1.6039 0.8142
"10" 1.7143 0.8805
"11" 1.6717 0.8866
"12" 1.788 0.9915
"13" 1.7409 0.9485
"14" 1.821 0.929
"15" 1.8119 0.9109
"16" 1.883 0.9095
"17" 1.8376 0.9465
"18" 1.968 1.003
"19" 2.0214 1.0018
"20" 2.1554 1.1025
"21" 2.198 1.0728
"22" 2.1858 1.0684
"23" 2.1199 1.0092
"24" 2.0599 1.0066
"25" 2.1489 1.0615
"26" 2.2138 1.117
"27" 2.32 1.0729
"28" 2.4241 1.1006
"29" 2.4833 1.1255
"30" 2.4091 1.1401
"31" 2.4364 1.1247
