"T1" "T2"
"Octopus.1" 5.04 4.7
"Octopus.2" 6.37 6.6
"Octopus.3" 6.72 8.25
"Octopus.4" 7.56 7.3
"Octopus.5" 6.24 5.31
"Octopus.6" 8.17 8.07
"Octopus.7" 8.52 9.28
"Octopus.8" 5.57 7.77
"Octopus.9" 7.08 7.62
"Octopus.10" 8.78 9.33
"Octopus.11" 8.33 6.76
"Octopus.12" 8.2 7.66
"Octopus.13" 7.95 7.87
"Octopus.14" 8.64 8.16
"Octopus.15" 7.47 6.96
"Octopus.16" 9.09 7.96
"Octopus.17" 7.44 6.97
"Octopus.18" 7.42 7.12
"Octopus.19" 6.33 7.81
"Octopus.20" 6.55 7.73
"Octopus.21" 8.97 8.76
"Octopus.22" 7.76 7.66
"Octopus.23" 7.37 6.4
"Octopus.24" 7.96 9.33
"Octopus.25" 6.26 8.09
"Octopus.26" 7.4 6.58
"Octopus.27" 6.28 5.96
"Octopus.28" 6.2 7
"Octopus.29" 8.07 8.11
"Octopus.30" 4.78 6.41
