"eta" "safemoney" "riskymoney"
"1" 48 15.871 19.312
"2" 50 15.307 21.285
"3" 29 26.618 12.123
"4" 27 33.805 7.237
"5" 75 29.086 11.775
"6" 43 17.635 22.633
"7" 73 32.968 7.257
"8" 29 26.706 12.146
"9" 22 26.506 13.026
"10" 52 20.626 18.086
"11" 79 28.384 8.284
"12" 14 30.581 9.396
"13" 47 16.053 22.534
"14" 70 29.858 15.911
"15" 30 30.711 10.855
"16" 18 27.102 11.506
"17" 26 32.232 13.196
"18" 48 24.53 20.39
"19" 45 19.008 23.369
"20" 28 32.733 9.617
"21" 21 35.698 3.674
"22" 50 14.053 21.455
"23" 80 26.829 11.298
"24" 55 19.174 19.993
"25" 30 24.118 12.436
"26" 68 29.853 11.2
"27" 80 31.687 13.769
"28" 81 34.948 6.493
"29" 54 19.246 17.624
"30" 72 30.266 8.746
"31" 18 25.876 13.837
"32" 55 23.774 19.006
"33" 50 25.701 18.468
"34" 43 18.168 22.016
"35" 28 31.233 11.622
"36" 30 25.276 12.384
"37" 82 28.278 13.025
"38" 84 34.25 8.297
"39" 24 30.434 10.88
"40" 77 30.176 13.006
"41" 73 31.671 4.801
"42" 25 26.871 11.183
"43" 51 22.324 14.063
"44" 67 37.315 3.049
"45" 49 19.205 21.176
"46" 68 30.562 11.258
"47" 47 23.86 20.26
"48" 78 31.75 11.877
"49" 14 29.682 11.755
"50" 51 19.112 16.711
"51" 74 25.747 15.659
"52" 22 31.849 12.172
"53" 47 15.748 21.747
"54" 71 29.602 13.426
"55" 77 29.643 10.246
"56" 25 34.074 13.637
"57" 33 31.576 4.897
"58" 77 26.3 13.337
"59" 14 27.204 7.415
"60" 86 27.124 11.096
"61" 57 12.576 26.49
"62" 23 32.444 8.954
"63" 20 30.373 10.783
"64" 71 32.182 10.879
"65" 48 21.097 19.184
"66" 53 19.471 19.13
"67" 80 23.818 16.905
"68" 24 27.337 6.126
"69" 78 26.886 7.565
"70" 24 31.199 10.399
"71" 50 15.063 23.587
"72" 53 21.794 17.405
"73" 58 17.344 17.019
"74" 49 16.007 25.648
"75" 51 21.314 22.608
"76" 21 29.018 7.406
"77" 23 34.96 8.63
"78" 57 19.156 19.79
"79" 23 32.593 4.701
"80" 82 27.21 11.237
"81" 79 26.628 14.502
"82" 51 19.253 19.582
"83" 48 15.56 22.678
"84" 42 20.558 19.283
"85" 70 28.219 15.975
"86" 74 29.324 12.765
"87" 25 30.261 14.915
"88" 30 33.242 9.843
"89" 19 33.868 7.016
"90" 51 18.631 18.105
"91" 50 16.807 19.816
"92" 79 30.949 11.121
"93" 77 31 15.188
"94" 48 24.063 20.118
"95" 75 28.91 13.28
"96" 23 33.649 13.321
"97" 21 29.533 11.929
"98" 22 27.719 10.33
"99" 50 21.553 20.765
"100" 48 20.091 21.107
"101" 72 25.893 9.8
"102" 28 30.662 10.962
"103" 78 30.119 8.472
"104" 50 21.73 18.347
"105" 29 32.579 8.193
"106" 26 29.79 3.683
"107" 52 18.228 23.001
"108" 84 31.549 10.291
"109" 82 30.48 14.793
"110" 51 17.102 18.856
"111" 30 31.828 16.37
"112" 71 23.197 12.002
"113" 28 31.063 7.958
"114" 58 21.414 20.392
"115" 52 18.936 18.802
"116" 54 21.466 19.559
"117" 48 25.163 19.976
"118" 52 17.136 21.237
"119" 74 29.9 10.207
"120" 77 28.558 9.564
"121" 30 31.786 7.401
"122" 26 31.399 8.599
"123" 75 26.166 15.187
"124" 51 20.935 15.271
"125" 53 16.287 22.825
"126" 78 30.72 13.168
"127" 30 33.169 9.098
"128" 45 21.61 15.653
"129" 74 33.646 10.994
"130" 34 27.653 6.851
"131" 85 29.859 9.285
"132" 21 33.286 5.156
"133" 17 25.295 12.247
"134" 74 30.023 13.103
"135" 13 30.739 11.931
"136" 81 34.15 4.167
"137" 26 28.285 11.761
"138" 29 29.893 11.924
"139" 31 29.664 5.324
"140" 49 20.478 19.689
"141" 53 22.889 19.911
"142" 68 30.762 9.365
"143" 77 32.136 10.455
"144" 80 32.313 10.56
"145" 87 25.783 12.688
"146" 58 21.568 20.924
"147" 78 25.042 15.765
"148" 57 17.169 26.655
"149" 23 27.776 9.425
"150" 78 31.041 6.444
