"tempo" "tipo" "nazione"
"1" 153 "audioguida" "EU"
"2" 241 "audioguida" "EU"
"3" 167 "audioguida" "EU"
"4" 110 "audioguida" "EU"
"5" 201 "audioguida" "EU"
"6" 189 "audioguida" "EU"
"7" 188 "audioguida" "EU"
"8" 200 "audioguida" "EU"
"9" 210 "audioguida" "EU"
"10" 235 "audioguida" "EU"
"11" 152 "audioguida" "EU"
"12" 199 "audioguida" "EU"
"13" 186 "audioguida" "EU"
"14" 160 "audioguida" "EU"
"15" 154 "audioguida" "EU"
"16" 165 "audioguida" "EU"
"17" 152 "audioguida" "EU"
"18" 165 "audioguida" "EU"
"19" 206 "audioguida" "EU"
"20" 213 "audioguida" "EU"
"21" 171 "audioguida" "USA"
"22" 102 "audioguida" "USA"
"23" 203 "audioguida" "USA"
"24" 200 "audioguida" "USA"
"25" 194 "audioguida" "USA"
"26" 170 "audioguida" "USA"
"27" 198 "audioguida" "USA"
"28" 200 "audioguida" "USA"
"29" 166 "audioguida" "USA"
"30" 169 "audioguida" "USA"
"31" 173 "audioguida" "USA"
"32" 250 "audioguida" "USA"
"33" 160 "audioguida" "USA"
"34" 170 "audioguida" "USA"
"35" 114 "audioguida" "USA"
"36" 148 "audioguida" "USA"
"37" 191 "audioguida" "USA"
"38" 164 "audioguida" "USA"
"39" 160 "audioguida" "USA"
"40" 174 "audioguida" "USA"
"41" 237 "audioguida" "Jap"
"42" 169 "audioguida" "Jap"
"43" 131 "audioguida" "Jap"
"44" 253 "audioguida" "Jap"
"45" 184 "audioguida" "Jap"
"46" 195 "audioguida" "Jap"
"47" 175 "audioguida" "Jap"
"48" 150 "audioguida" "Jap"
"49" 190 "audioguida" "Jap"
"50" 184 "audioguida" "Jap"
"51" 210 "audioguida" "Jap"
"52" 224 "audioguida" "Jap"
"53" 166 "audioguida" "Jap"
"54" 115 "audioguida" "Jap"
"55" 150 "audioguida" "Jap"
"56" 163 "audioguida" "Jap"
"57" 154 "audioguida" "Jap"
"58" 195 "audioguida" "Jap"
"59" 146 "audioguida" "Jap"
"60" 213 "audioguida" "Jap"
"61" 133 "audioguida" "EU"
"62" 211 "audioguida" "EU"
"63" 203 "audioguida" "EU"
"64" 161 "audioguida" "EU"
"65" 172 "audioguida" "EU"
"66" 196 "audioguida" "EU"
"67" 143 "audioguida" "EU"
"68" 183 "audioguida" "EU"
"69" 224 "audioguida" "EU"
"70" 116 "audioguida" "EU"
"71" 138 "audioguida" "EU"
"72" 147 "audioguida" "EU"
"73" 144 "audioguida" "EU"
"74" 184 "audioguida" "EU"
"75" 140 "audioguida" "EU"
"76" 171 "audioguida" "EU"
"77" 188 "audioguida" "EU"
"78" 182 "audioguida" "EU"
"79" 149 "audioguida" "EU"
"80" 201 "audioguida" "EU"
"81" 170 "audioguida" "USA"
"82" 168 "audioguida" "USA"
"83" 201 "audioguida" "USA"
"84" 150 "audioguida" "USA"
"85" 142 "audioguida" "USA"
"86" 197 "audioguida" "USA"
"87" 136 "audioguida" "USA"
"88" 235 "audioguida" "USA"
"89" 162 "audioguida" "USA"
"90" 179 "audioguida" "USA"
"91" 187 "audioguida" "USA"
"92" 193 "audioguida" "USA"
"93" 155 "audioguida" "USA"
"94" 206 "audioguida" "USA"
"95" 208 "audioguida" "USA"
"96" 123 "audioguida" "USA"
"97" 144 "audioguida" "USA"
"98" 174 "audioguida" "USA"
"99" 243 "audioguida" "USA"
"100" 196 "audioguida" "USA"
"101" 140 "audioguida" "Jap"
"102" 175 "audioguida" "Jap"
"103" 166 "audioguida" "Jap"
"104" 177 "audioguida" "Jap"
"105" 156 "audioguida" "Jap"
"106" 137 "audioguida" "Jap"
"107" 230 "audioguida" "Jap"
"108" 202 "audioguida" "Jap"
"109" 207 "audioguida" "Jap"
"110" 184 "audioguida" "Jap"
"111" 144 "audioguida" "Jap"
"112" 177 "audioguida" "Jap"
"113" 212 "audioguida" "Jap"
"114" 182 "audioguida" "Jap"
"115" 211 "audioguida" "Jap"
"116" 152 "audioguida" "Jap"
"117" 158 "audioguida" "Jap"
"118" 180 "audioguida" "Jap"
"119" 194 "audioguida" "Jap"
"120" 188 "audioguida" "Jap"
"121" 275 "guida" "EU"
"122" 293 "guida" "EU"
"123" 332 "guida" "EU"
"124" 319 "guida" "EU"
"125" 275 "guida" "EU"
"126" 297 "guida" "EU"
"127" 354 "guida" "EU"
"128" 269 "guida" "EU"
"129" 280 "guida" "EU"
"130" 293 "guida" "EU"
"131" 337 "guida" "EU"
"132" 335 "guida" "EU"
"133" 287 "guida" "EU"
"134" 294 "guida" "EU"
"135" 287 "guida" "EU"
"136" 241 "guida" "EU"
"137" 289 "guida" "EU"
"138" 288 "guida" "EU"
"139" 321 "guida" "EU"
"140" 273 "guida" "EU"
"141" 249 "guida" "USA"
"142" 298 "guida" "USA"
"143" 290 "guida" "USA"
"144" 348 "guida" "USA"
"145" 320 "guida" "USA"
"146" 295 "guida" "USA"
"147" 290 "guida" "USA"
"148" 360 "guida" "USA"
"149" 257 "guida" "USA"
"150" 340 "guida" "USA"
"151" 271 "guida" "USA"
"152" 347 "guida" "USA"
"153" 284 "guida" "USA"
"154" 314 "guida" "USA"
"155" 315 "guida" "USA"
"156" 290 "guida" "USA"
"157" 312 "guida" "USA"
"158" 337 "guida" "USA"
"159" 313 "guida" "USA"
"160" 262 "guida" "USA"
"161" 290 "guida" "Jap"
"162" 275 "guida" "Jap"
"163" 338 "guida" "Jap"
"164" 250 "guida" "Jap"
"165" 224 "guida" "Jap"
"166" 296 "guida" "Jap"
"167" 287 "guida" "Jap"
"168" 312 "guida" "Jap"
"169" 346 "guida" "Jap"
"170" 302 "guida" "Jap"
"171" 290 "guida" "Jap"
"172" 275 "guida" "Jap"
"173" 325 "guida" "Jap"
"174" 340 "guida" "Jap"
"175" 268 "guida" "Jap"
"176" 302 "guida" "Jap"
"177" 260 "guida" "Jap"
"178" 335 "guida" "Jap"
"179" 336 "guida" "Jap"
"180" 270 "guida" "Jap"
"181" 343 "guida" "EU"
"182" 362 "guida" "EU"
"183" 331 "guida" "EU"
"184" 325 "guida" "EU"
"185" 262 "guida" "EU"
"186" 292 "guida" "EU"
"187" 299 "guida" "EU"
"188" 256 "guida" "EU"
"189" 345 "guida" "EU"
"190" 317 "guida" "EU"
"191" 222 "guida" "EU"
"192" 306 "guida" "EU"
"193" 294 "guida" "EU"
"194" 337 "guida" "EU"
"195" 319 "guida" "EU"
"196" 283 "guida" "EU"
"197" 285 "guida" "EU"
"198" 294 "guida" "EU"
"199" 285 "guida" "EU"
"200" 289 "guida" "EU"
"201" 298 "guida" "USA"
"202" 255 "guida" "USA"
"203" 336 "guida" "USA"
"204" 233 "guida" "USA"
"205" 313 "guida" "USA"
"206" 239 "guida" "USA"
"207" 259 "guida" "USA"
"208" 303 "guida" "USA"
"209" 289 "guida" "USA"
"210" 320 "guida" "USA"
"211" 288 "guida" "USA"
"212" 306 "guida" "USA"
"213" 305 "guida" "USA"
"214" 316 "guida" "USA"
"215" 304 "guida" "USA"
"216" 289 "guida" "USA"
"217" 303 "guida" "USA"
"218" 295 "guida" "USA"
"219" 331 "guida" "USA"
"220" 312 "guida" "USA"
"221" 287 "guida" "Jap"
"222" 308 "guida" "Jap"
"223" 311 "guida" "Jap"
"224" 311 "guida" "Jap"
"225" 276 "guida" "Jap"
"226" 288 "guida" "Jap"
"227" 320 "guida" "Jap"
"228" 363 "guida" "Jap"
"229" 297 "guida" "Jap"
"230" 275 "guida" "Jap"
"231" 340 "guida" "Jap"
"232" 294 "guida" "Jap"
"233" 281 "guida" "Jap"
"234" 314 "guida" "Jap"
"235" 258 "guida" "Jap"
"236" 282 "guida" "Jap"
"237" 280 "guida" "Jap"
"238" 263 "guida" "Jap"
"239" 339 "guida" "Jap"
"240" 234 "guida" "Jap"
"241" 145 "no guida" "EU"
"242" 132 "no guida" "EU"
"243" 144 "no guida" "EU"
"244" 94 "no guida" "EU"
"245" 96 "no guida" "EU"
"246" 78 "no guida" "EU"
"247" 129 "no guida" "EU"
"248" 72 "no guida" "EU"
"249" 149 "no guida" "EU"
"250" 151 "no guida" "EU"
"251" 147 "no guida" "EU"
"252" 134 "no guida" "EU"
"253" 191 "no guida" "EU"
"254" 161 "no guida" "EU"
"255" 118 "no guida" "EU"
"256" 34 "no guida" "EU"
"257" 151 "no guida" "EU"
"258" 88 "no guida" "EU"
"259" 148 "no guida" "EU"
"260" 127 "no guida" "EU"
"261" 79 "no guida" "USA"
"262" 107 "no guida" "USA"
"263" 94 "no guida" "USA"
"264" 158 "no guida" "USA"
"265" 99 "no guida" "USA"
"266" 102 "no guida" "USA"
"267" 115 "no guida" "USA"
"268" 137 "no guida" "USA"
"269" 87 "no guida" "USA"
"270" 168 "no guida" "USA"
"271" 179 "no guida" "USA"
"272" 96 "no guida" "USA"
"273" 134 "no guida" "USA"
"274" 180 "no guida" "USA"
"275" 103 "no guida" "USA"
"276" 135 "no guida" "USA"
"277" 134 "no guida" "USA"
"278" 131 "no guida" "USA"
"279" 120 "no guida" "USA"
"280" 104 "no guida" "USA"
"281" 150 "no guida" "Jap"
"282" 53 "no guida" "Jap"
"283" 134 "no guida" "Jap"
"284" 98 "no guida" "Jap"
"285" 92 "no guida" "Jap"
"286" 166 "no guida" "Jap"
"287" 161 "no guida" "Jap"
"288" 124 "no guida" "Jap"
"289" 156 "no guida" "Jap"
"290" 145 "no guida" "Jap"
"291" 133 "no guida" "Jap"
"292" 189 "no guida" "Jap"
"293" 120 "no guida" "Jap"
"294" 154 "no guida" "Jap"
