"weight" "species" "gender"
"1" 3.45 "Chinstrap" "M"
"2" 4.82 "Chinstrap" "M"
"3" 4.06 "Chinstrap" "M"
"4" 5.12 "Chinstrap" "M"
"5" 4.54 "Chinstrap" "M"
"6" 4.74 "Chinstrap" "M"
"7" 4.38 "Chinstrap" "M"
"8" 4.62 "Chinstrap" "M"
"9" 4.41 "Chinstrap" "M"
"10" 4.45 "Chinstrap" "M"
"11" 5.13 "Chinstrap" "M"
"12" 3.89 "Chinstrap" "M"
"13" 4.38 "Chinstrap" "M"
"14" 4.39 "Chinstrap" "M"
"15" 4.08 "Chinstrap" "M"
"16" 4.53 "Chinstrap" "F"
"17" 4.77 "Chinstrap" "F"
"18" 4.51 "Chinstrap" "F"
"19" 3.97 "Chinstrap" "F"
"20" 4.56 "Chinstrap" "F"
"21" 5.67 "Chinstrap" "F"
"22" 4 "Chinstrap" "F"
"23" 5.33 "Chinstrap" "F"
"24" 3.41 "Chinstrap" "F"
"25" 5.53 "Chinstrap" "F"
"26" 4.53 "Chinstrap" "F"
"27" 4.73 "Chinstrap" "F"
"28" 4.68 "Chinstrap" "F"
"29" 4.69 "Chinstrap" "F"
"30" 4.52 "Chinstrap" "F"
"31" 4.43 "Adelia" "M"
"32" 5.46 "Adelia" "M"
"33" 5.33 "Adelia" "M"
"34" 5.08 "Adelia" "M"
"35" 4.52 "Adelia" "M"
"36" 3.78 "Adelia" "M"
"37" 6.03 "Adelia" "M"
"38" 5.29 "Adelia" "M"
"39" 5.31 "Adelia" "M"
"40" 5.43 "Adelia" "M"
"41" 4.43 "Adelia" "M"
"42" 4.65 "Adelia" "M"
"43" 4.75 "Adelia" "M"
"44" 5.21 "Adelia" "M"
"45" 5.78 "Adelia" "M"
"46" 4.16 "Adelia" "F"
"47" 4.65 "Adelia" "F"
"48" 4.43 "Adelia" "F"
"49" 4.86 "Adelia" "F"
"50" 4.49 "Adelia" "F"
"51" 4.37 "Adelia" "F"
"52" 5.39 "Adelia" "F"
"53" 5.54 "Adelia" "F"
"54" 5.95 "Adelia" "F"
"55" 4.61 "Adelia" "F"
"56" 4.96 "Adelia" "F"
"57" 4.82 "Adelia" "F"
"58" 4.41 "Adelia" "F"
"59" 5.54 "Adelia" "F"
"60" 5.64 "Adelia" "F"
"61" 7.01 "Gentoo" "M"
"62" 7.23 "Gentoo" "M"
"63" 6.45 "Gentoo" "M"
"64" 6.79 "Gentoo" "M"
"65" 6.69 "Gentoo" "M"
"66" 6.42 "Gentoo" "M"
"67" 6.83 "Gentoo" "M"
"68" 5.87 "Gentoo" "M"
"69" 6.7 "Gentoo" "M"
"70" 6.8 "Gentoo" "M"
"71" 6.67 "Gentoo" "M"
"72" 7.48 "Gentoo" "M"
"73" 7.37 "Gentoo" "M"
"74" 6.85 "Gentoo" "M"
"75" 6.84 "Gentoo" "M"
"76" 6.52 "Gentoo" "F"
"77" 6.67 "Gentoo" "F"
"78" 7.35 "Gentoo" "F"
"79" 7.65 "Gentoo" "F"
"80" 6.9 "Gentoo" "F"
"81" 7.19 "Gentoo" "F"
"82" 6.52 "Gentoo" "F"
"83" 7.05 "Gentoo" "F"
"84" 6.81 "Gentoo" "F"
"85" 6.64 "Gentoo" "F"
"86" 7.05 "Gentoo" "F"
"87" 6.84 "Gentoo" "F"
"88" 7.05 "Gentoo" "F"
"89" 7.18 "Gentoo" "F"
"90" 6.81 "Gentoo" "F"
