"Atlantica" "Iberica"
"1" 10.44 9.06
"2" 9.05 8.81
"3" 10.41 8.89
"4" 10.68 8.75
"5" 8.91 8.06
"6" 10.05 8.37
"7" 9.52 9.16
"8" 9.93 8.13
"9" 11.47 9.26
"10" 9.59 8.27
"11" 9.51 8.73
"12" 9.28 8.04
"13" 9.26 9.1
"14" 10.35 8.91
"15" 9.97 8.65
"16" 9.81 8.05
"17" 9.94 8.58
"18" 10.45 8.68
"19" 9.75 8.65
"20" 9.25 7.57
"21" 9.54 7.71
"22" 10 8.14
"23" 10.4 8.25
"24" 10.24 8.32
"25" 9.34 8.25
"26" 10.13 8.95
"27" 10.17 8.53
"28" 9.45 7.78
"29" 10.11 8.9
"30" 10.72 8.08
"31" 10.23 9.1
"32" 9.98 8.75
"33" 10.3 9.09
"34" 10.12 8.89
"35" 9.61 8.92
"36" 9.92 8.48
"37" 8.97 7.6
"38" 9.93 8.19
"39" 10.49 7.44
"40" 10.35 8.43
"41" 10.24 9.02
"42" 8.94 8.34
"43" 9.93 9.24
"44" 9.92 8.04
"45" 10.71 8.54
"46" 10.25 8.72
"47" 9.78 7.88
"48" 10.69 7.9
"49" 11.32 8.56
"50" 11.18 8.68
"51" 10.14 9.33
"52" 11.15 8.18
"53" 10.6 8.73
"54" 9.31 8.63
"55" 10.05 8.1
"56" 9.5 9.23
"57" 9.92 8.09
"58" 9.54 8.49
"59" 10.25 8.28
"60" 10.18 8.46
"61" 9.9 8.91
"62" 9.44 9.43
"63" 9.51 8.15
"64" 10.11 8.47
"65" 10.26 8.8
"66" 10.08 9.57
"67" 10.04 8.17
"68" 10.11 8.69
"69" 10.85 8.53
"70" 10.17 8.91
"71" 9.94 8.21
"72" 9.96 9.09
"73" 9.28 8.68
"74" 10.27 8.23
"75" 11.34 7.76
"76" 9.71 7.92
"77" 9.8 7.87
"78" 9.46 7.25
"79" 10.05 9.33
"80" 9.78 8.74
"81" 10.66 8.5
"82" 9.73 9.43
"83" 10.84 9.05
"84" 10.46 8.76
"85" 10.48 7.96
"86" 9.66 9.32
"87" 9.59 8.47
"88" 9.39 10.17
"89" 10.32 8.45
"90" 10.05 8.41
"91" 10.21 8.94
"92" 10.36 9.85
