"Altezza" "Peso" "Autore"
"1" 1.81 3.906 "Bernini"
"2" 2.162 4.229 "Bernini"
"3" 2.516 4.073 "Bernini"
"4" 1.936 3.664 "Bernini"
"5" 2.468 4.715 "Bernini"
"6" 2.299 3.925 "Bernini"
"7" 1.885 3.918 "Bernini"
"8" 2.354 4.125 "Bernini"
"9" 1.673 3.545 "Bernini"
"10" 1.583 4.008 "Bernini"
"11" 2.666 5.163 "Bernini"
"12" 3.087 4.881 "Bernini"
"13" 2.22 3.957 "Bernini"
"14" 2.73 4.589 "Bernini"
"15" 1.963 3.867 "Bernini"
"16" 2.274 4.121 "Bernini"
"17" 2.718 4.542 "Bernini"
"18" 2.026 4.033 "Bernini"
"19" 2.538 4.581 "Bernini"
"20" 2.373 4.587 "Bernini"
"21" 1.091 3.571 "Bernini"
"22" 1.86 4.028 "Bernini"
"23" 2.439 4.359 "Bernini"
"24" 1.388 3.775 "Bernini"
"25" 1.833 3.964 "Bernini"
"26" 2.638 4.612 "Bernini"
"27" 2.476 4.747 "Bernini"
"28" 2.657 4.573 "Bernini"
"29" 2.917 4.798 "Bernini"
"30" 2.052 4.001 "Bernini"
"31" 2.353 4.95 "Bernini"
"32" 2.3 4.256 "Bernini"
"33" 2.105 4.485 "Bernini"
"34" 1.556 3.485 "Bernini"
"35" 2.552 4.161 "Bernini"
"36" 1.39 2.992 "Bernini"
"37" 1.116 3.259 "Bernini"
"38" 2.392 4.174 "Bernini"
"39" 2.302 4.309 "Bernini"
"40" 1.339 3.341 "Bernini"
"41" 2.087 4.057 "Bernini"
"42" 2.331 3.626 "Bernini"
"43" 1.325 3.735 "Bernini"
"44" 1.917 4.253 "Bernini"
"45" 1.365 3.482 "Bernini"
"46" 2.281 3.861 "Bernini"
"47" 2.429 4.417 "Bernini"
"48" 0.735 3.026 "Bernini"
"49" 1.003 3.543 "Bernini"
"50" 1.913 4.565 "Bernini"
"51" 2.343 3.982 "Altro"
"52" 2.091 4.099 "Altro"
"53" 1.89 3.043 "Altro"
"54" 2.807 6.59 "Altro"
"55" 2.645 4.393 "Altro"
"56" 1.772 4.903 "Altro"
"57" 1.459 2.431 "Altro"
"58" 1.149 2.565 "Altro"
"59" 2.531 1.914 "Altro"
"60" 2.137 4.757 "Altro"
"61" 1.426 1.643 "Altro"
"62" 2.647 2.259 "Altro"
"63" 1.696 4.755 "Altro"
"64" 1.627 1.476 "Altro"
"65" 1.677 4.191 "Altro"
"66" 1.095 1.651 "Altro"
"67" 1.44 1.648 "Altro"
"68" 2.069 4.851 "Altro"
"69" 1.58 1.611 "Altro"
"70" 1.928 3.682 "Altro"
"71" 2.092 1.573 "Altro"
"72" 1.811 0.427 "Altro"
"73" 1.778 2.725 "Altro"
"74" 1.338 1.543 "Altro"
"75" 1.862 3.93 "Altro"
"76" 1.665 5.049 "Altro"
"77" 1.377 2.56 "Altro"
"78" 1.306 2.924 "Altro"
"79" 1.211 5.617 "Altro"
"80" 1.415 3.278 "Altro"
"81" 2.029 4.565 "Altro"
"82" 1.522 3.063 "Altro"
"83" 1.846 3.495 "Altro"
"84" 2.41 5.763 "Altro"
"85" 1.791 2.991 "Altro"
"86" 1.579 1.203 "Altro"
"87" 2.533 2.476 "Altro"
"88" 1.483 3.177 "Altro"
"89" 1.695 0.649 "Altro"
"90" 1.206 4.127 "Altro"
"91" 1.759 3.115 "Altro"
"92" 1.679 3.544 "Altro"
"93" 2.16 4.544 "Altro"
"94" 1.252 2.959 "Altro"
"95" 1.549 2.177 "Altro"
"96" 1.304 5.006 "Altro"
"97" 2.131 2.685 "Altro"
"98" 2.236 4.343 "Altro"
"99" 1.655 2.995 "Altro"
"100" 1.737 1.187 "Altro"
