"Latitudine" "Longitudine"
"1" 55 38
"2" 43 29
"3" 56 43
"4" 72 63
"5" 50 44
"6" 75 62
"7" 52 45
"8" 47 38
"9" 68 59
"10" 54 40
"11" 65 56
"12" 73 62
"13" 62 56
"14" 65 52
"15" 48 42
"16" 66 52
"17" 77 64
"18" 52 41
"19" 52 40
"20" 50 41
"21" 82 69
"22" 70 62
"23" 78 70
"24" 52 37
"25" 67 59
"26" 75 59
"27" 67 60
"28" 78 69
"29" 69 61
"30" 49 34
"31" 48 42
"32" 73 66
"33" 73 63
"34" 67 56
"35" 69 61
"36" 67 60
"37" 76 65
"38" 66 59
"39" 75 59
"40" 74 64
"41" 77 64
"42" 71 64
"43" 76 70
"44" 69 58
"45" 50 36
"46" 69 59
"47" 74 60
"48" 66 58
"49" 60 46
"50" 77 65
"51" 60 49
"52" 73 58
"53" 55 39
"54" 67 57
"55" 70 66
"56" 50 39
"57" 73 61
"58" 44 35
"59" 42 32
"60" 80 68
"61" 69 58
"62" 63 59
"63" 53 40
"64" 50 37
"65" 54 45
"66" 72 61
"67" 72 53
"68" 68 58
"69" 52 45
"70" 67 54
"71" 54 42
"72" 60 50
"73" 66 62
"74" 67 61
"75" 68 66
"76" 69 61
"77" 69 62
"78" 45 35
"79" 69 62
"80" 55 40
"81" 69 61
"82" 73 58
"83" 50 36
"84" 59 51
"85" 47 36
"86" 47 41
"87" 48 41
"88" 53 44
"89" 68 52
"90" 50 43
"91" 51 43
"92" 47 36
"93" 62 48
"94" 63 60
"95" 65 57
"96" 43 28
"97" 52 38
"98" 66 59
"99" 74 58
"100" 68 60
"101" 72 66
"102" 57 46
"103" 46 37
"104" 69 64
"105" 64 55
"106" 71 62
"107" 54 38
"108" 69 62
"109" 75 61
"110" 73 63
