"A" "E" "I" "O" "U"
"1" 41 26 20 31 15
"2" 37 29 19 43 6
"3" 32 32 11 34 16
"4" 38 16 23 42 16
"5" 33 28 27 27 14
"6" 38 24 23 38 18
"7" 42 27 25 33 15
"8" 38 17 18 28 22
"9" 35 15 25 33 23
"10" 44 37 23 43 19
"11" 38 29 18 26 6
"12" 42 25 20 48 10
"13" 42 27 20 33 22
"14" 42 20 14 34 20
"15" 40 30 21 41 15
"16" 28 29 17 31 13
"17" 26 33 21 36 17
"18" 35 27 17 35 20
"19" 48 26 21 34 18
"20" 36 24 18 33 20
"21" 38 18 16 31 7
"22" 39 24 27 35 16
"23" 42 29 12 37 6
"24" 40 33 16 27 21
"25" 33 26 25 29 11
"26" 43 26 10 33 16
"27" 37 33 26 42 13
"28" 37 32 20 35 21
"29" 36 24 22 27 12
"30" 44 26 18 34 16
"31" 33 31 33 37 14
"32" 41 14 18 30 22
"33" 56 19 15 57 18
"34" 32 23 19 32 21
"35" 32 30 19 41 13
"36" 34 21 25 39 21
"37" 35 26 28 31 14
"38" 28 22 20 47 18
"39" 28 22 25 31 16
"40" 34 24 23 34 19
"41" 34 26 28 29 14
"42" 39 30 26 45 16
"43" 28 20 19 40 18
"44" 33 24 12 49 17
"45" 42 20 15 34 7
"46" 28 21 13 33 11
"47" 36 34 17 32 19
"48" 33 21 19 31 11
"49" 38 18 11 33 15
"50" 31 26 20 33 22
"51" 37 20 22 43 7
"52" 27 15 26 31 15
"53" 39 31 19 41 14
"54" 53 26 11 52 28
"55" 22 22 24 44 6
"56" 38 25 30 37 19
"57" 36 27 25 37 16
"58" 37 31 14 37 19
"59" 37 22 17 36 24
"60" 31 31 22 31 16
"61" 40 25 31 40 18
"62" 34 30 21 42 15
"63" 33 26 21 35 13
"64" 40 18 9 41 28
"65" 35 18 11 39 16
"66" 33 26 22 40 22
"67" 37 23 19 40 18
"68" 36 19 23 26 14
"69" 43 22 19 35 10
"70" 29 31 19 35 13
"71" 34 26 18 35 21
"72" 32 31 17 34 17
"73" 42 23 25 39 12
"74" 34 39 19 35 8
"75" 25 19 21 42 24
"76" 32 27 25 33 11
"77" 44 20 16 32 13
"78" 32 27 16 27 17
"79" 53 21 19 59 18
"80" 33 27 13 38 11
"81" 33 25 18 41 16
"82" 38 24 21 35 20
"83" 27 25 19 39 22
"84" 33 31 13 28 14
"85" 33 20 16 34 9
"86" 30 21 18 41 12
"87" 33 25 20 40 20
"88" 32 26 21 36 15
"89" 32 20 18 35 22
"90" 43 24 25 35 11
"91" 32 23 17 40 12
"92" 25 29 23 33 13
"93" 49 20 16 57 4
"94" 32 24 17 31 11
"95" 40 24 9 27 25
"96" 46 24 19 33 19
"97" 30 32 13 40 12
"98" 24 19 28 36 17
"99" 30 22 16 36 21
"100" 36 15 21 40 10
"101" 34 28 19 43 18
"102" 54 31 23 51 9
"103" 42 19 23 42 18
"104" 34 23 21 39 13
"105" 55 35 18 51 18
"106" 42 23 19 33 17
"107" 40 26 20 44 14
"108" 30 30 15 39 7
"109" 38 21 23 31 6
"110" 37 18 21 45 21
"111" 27 24 24 32 14
"112" 43 28 18 43 6
"113" 35 28 24 36 12
"114" 40 21 18 29 10
"115" 40 22 22 38 12
"116" 41 21 20 27 14
"117" 60 36 27 53 20
"118" 26 21 25 43 14
"119" 33 19 21 39 15
"120" 43 22 22 33 12
"121" 33 17 19 34 13
"122" 29 18 21 33 11
"123" 30 23 12 36 9
"124" 39 24 27 29 12
"125" 35 24 8 33 18
"126" 31 28 17 37 19
"127" 34 22 20 36 10
"128" 32 37 25 34 22
"129" 37 24 23 33 9
"130" 30 22 7 38 9
"131" 37 29 13 25 15
"132" 41 21 7 42 18
