"age" "height" "gender"
"45" 3.4 65.3 "female"
"89" 0.4 34.2 "female"
"91" 2.9 64.6 "female"
"87" 1.1 50.3 "female"
"66" 1.9 55.7 "female"
"60" 6.8 65.6 "female"
"17" 3 75.8 "male"
"8" 8.9 84.2 "male"
"88" 1.2 51 "female"
"7" 7.6 78 "male"
"95" 3.6 69.9 "female"
"92" 6.3 64.5 "female"
"27" 5.2 64.3 "female"
"33" 5.2 61.5 "female"
"78" 7.9 69.1 "female"
"6" 3.7 71.9 "male"
"73" 7.5 65.3 "female"
"18" 2 69 "male"
"20" 9.5 76.6 "male"
"77" 7.1 65.7 "female"
"58" 1.4 56 "female"
"69" 8.9 63.8 "female"
"28" 6.9 66 "female"
"39" 8.9 59.4 "female"
"37" 0.3 24.4 "female"
"98" 8.6 69.2 "female"
"82" 6.1 71.7 "female"
"93" 4.1 65.8 "female"
"84" 5.3 71.1 "female"
"70" 5.2 60.7 "female"
"99" 8.3 67.4 "female"
"13" 2.6 78.2 "male"
"49" 2.7 59.9 "female"
"81" 4.2 63.1 "female"
"29" 4.3 70.7 "female"
"19" 9.1 76.8 "male"
"36" 5.9 66.2 "female"
"15" 1 57.6 "male"
"63" 4.9 65.1 "female"
"3" 6.3 83.8 "male"
"26" 5.5 64.6 "female"
"23" 2.9 62.7 "female"
"5" 9.8 75.5 "male"
"54" 9.9 63.7 "female"
"76" 2.8 61.2 "female"
"1" 0.1 20.1 "male"
"9" 7.8 78 "male"
"53" 8.7 62.5 "female"
"96" 9 67.8 "female"
"100" 1.1 44.7 "female"
"80" 4.1 65.2 "female"
"43" 9.4 63.8 "female"
"44" 8.1 71.3 "female"
"14" 8.3 80.8 "male"
"2" 6.3 82.1 "male"
"32" 5.1 63.3 "female"
"72" 2.5 53.5 "female"
"85" 3.1 63 "female"
"22" 0.2 22.4 "female"
"30" 0.9 37.3 "female"
"90" 5.1 67.6 "female"
"38" 9.9 70.7 "female"
"56" 2.3 58.4 "female"
"21" 9.1 66 "female"
"25" 1.1 49.1 "female"
"94" 9.1 59.2 "female"
"57" 1.3 51.3 "female"
"59" 6.1 68.1 "female"
"74" 7.1 63.5 "female"
"46" 2 57.4 "female"
"97" 6 65.5 "female"
"34" 2.1 56.7 "female"
"48" 4.1 65.6 "female"
"41" 7.2 68.4 "female"
"10" 7.3 75.8 "male"
"11" 4.1 78.4 "male"
"52" 5.5 65.7 "female"
"4" 3.2 72.5 "male"
"79" 7 65.4 "female"
"50" 8.7 69.9 "female"
"51" 3.2 62.4 "female"
"42" 9.8 60.9 "female"
"67" 7.4 69.7 "female"
"47" 8.7 64 "female"
"68" 10 67 "female"
"40" 5.3 63.2 "female"
"61" 4.1 61.5 "female"
"83" 10 59.7 "female"
"12" 9.9 80 "male"
"35" 6 67.6 "female"
"31" 5.7 65.7 "female"
"86" 2.7 60.4 "female"
"65" 9.7 67.5 "female"
"55" 7.4 66.6 "female"
"16" 0.1 21.8 "male"
"64" 6.8 67.9 "female"
"75" 7.1 67 "female"
"24" 0.1 18.4 "female"
"71" 7.6 60.3 "female"
"62" 1.5 51.9 "female"
