"Anno" "Numero"
"1300" 1300 21
"1301" 1301 16
"1302" 1302 14
"1303" 1303 19
"1304" 1304 17
"1305" 1305 18
"1306" 1306 17
"1307" 1307 17
"1308" 1308 26
"1309" 1309 19
"1310" 1310 20
"1311" 1311 19
"1312" 1312 17
"1313" 1313 23
"1314" 1314 17
"1315" 1315 21
"1316" 1316 17
"1317" 1317 21
"1318" 1318 16
"1319" 1319 24
"1320" 1320 20
"1321" 1321 27
"1322" 1322 22
"1323" 1323 17
"1324" 1324 19
"1325" 1325 20
"1326" 1326 25
"1327" 1327 19
"1328" 1328 19
"1329" 1329 18
"1330" 1330 20
"1331" 1331 19
"1332" 1332 19
"1333" 1333 17
"1334" 1334 21
"1335" 1335 21
"1336" 1336 20
"1337" 1337 18
"1338" 1338 20
"1339" 1339 16
"1340" 1340 19
"1341" 1341 18
"1342" 1342 18
"1343" 1343 20
"1344" 1344 18
"1345" 1345 19
"1346" 1346 24
"1347" 1347 18
"1348" 1348 22
"1349" 1349 25
"1350" 1350 24
"1351" 1351 21
"1352" 1352 22
"1353" 1353 14
"1354" 1354 21
"1355" 1355 19
"1356" 1356 15
"1357" 1357 17
"1358" 1358 13
"1359" 1359 22
"1360" 1360 18
"1361" 1361 21
"1362" 1362 17
"1363" 1363 22
"1364" 1364 14
"1365" 1365 17
"1366" 1366 19
"1367" 1367 20
"1368" 1368 16
"1369" 1369 15
"1370" 1370 16
"1371" 1371 17
"1372" 1372 16
"1373" 1373 25
"1374" 1374 21
"1375" 1375 16
"1376" 1376 19
"1377" 1377 21
"1378" 1378 18
"1379" 1379 23
"1380" 1380 25
"1381" 1381 18
"1382" 1382 22
"1383" 1383 21
"1384" 1384 19
"1385" 1385 20
"1386" 1386 14
"1387" 1387 14
"1388" 1388 21
"1389" 1389 21
"1390" 1390 22
"1391" 1391 18
"1392" 1392 21
"1393" 1393 16
"1394" 1394 17
"1395" 1395 19
"1396" 1396 17
"1397" 1397 18
"1398" 1398 20
"1399" 1399 15
"1400" 1400 20
"1401" 1401 19
"1402" 1402 20
"1403" 1403 20
"1404" 1404 12
"1405" 1405 16
"1406" 1406 20
"1407" 1407 18
"1408" 1408 12
"1409" 1409 24
"1410" 1410 22
"1411" 1411 21
"1412" 1412 17
"1413" 1413 19
"1414" 1414 16
"1415" 1415 24
"1416" 1416 18
"1417" 1417 19
"1418" 1418 18
"1419" 1419 18
"1420" 1420 21
"1421" 1421 19
"1422" 1422 23
"1423" 1423 17
"1424" 1424 16
"1425" 1425 16
"1426" 1426 19
"1427" 1427 13
"1428" 1428 18
"1429" 1429 20
"1430" 1430 21
"1431" 1431 14
"1432" 1432 15
"1433" 1433 22
"1434" 1434 18
"1435" 1435 18
"1436" 1436 18
"1437" 1437 19
"1438" 1438 16
"1439" 1439 14
"1440" 1440 21
"1441" 1441 17
"1442" 1442 18
"1443" 1443 19
"1444" 1444 21
"1445" 1445 20
"1446" 1446 17
"1447" 1447 21
"1448" 1448 16
"1449" 1449 15
"1450" 1450 18
"1451" 1451 23
"1452" 1452 19
"1453" 1453 16
"1454" 1454 21
"1455" 1455 19
"1456" 1456 15
"1457" 1457 16
"1458" 1458 21
"1459" 1459 19
"1460" 1460 14
"1461" 1461 22
"1462" 1462 16
"1463" 1463 21
"1464" 1464 22
"1465" 1465 21
"1466" 1466 18
"1467" 1467 15
"1468" 1468 16
"1469" 1469 17
"1470" 1470 13
"1471" 1471 20
"1472" 1472 24
"1473" 1473 20
"1474" 1474 18
"1475" 1475 16
"1476" 1476 19
"1477" 1477 16
"1478" 1478 18
"1479" 1479 18
"1480" 1480 19
"1481" 1481 21
"1482" 1482 18
"1483" 1483 19
"1484" 1484 19
"1485" 1485 19
"1486" 1486 17
"1487" 1487 25
"1488" 1488 16
"1489" 1489 23
"1490" 1490 14
"1491" 1491 21
"1492" 1492 20
"1493" 1493 20
"1494" 1494 15
"1495" 1495 23
"1496" 1496 15
"1497" 1497 18
"1498" 1498 17
"1499" 1499 17
"1500" 1500 16
"1501" 1501 22
"1502" 1502 18
"1503" 1503 19
"1504" 1504 21
"1505" 1505 15
"1506" 1506 22
"1507" 1507 22
"1508" 1508 15
"1509" 1509 25
"1510" 1510 17
"1511" 1511 13
"1512" 1512 19
"1513" 1513 12
"1514" 1514 20
"1515" 1515 17
"1516" 1516 20
"1517" 1517 13
"1518" 1518 19
"1519" 1519 13
"1520" 1520 14
"1521" 1521 18
"1522" 1522 19
"1523" 1523 14
"1524" 1524 22
"1525" 1525 14
"1526" 1526 24
"1527" 1527 19
"1528" 1528 21
"1529" 1529 14
"1530" 1530 22
"1531" 1531 16
"1532" 1532 19
"1533" 1533 15
"1534" 1534 20
"1535" 1535 13
"1536" 1536 19
"1537" 1537 16
"1538" 1538 18
"1539" 1539 20
"1540" 1540 12
"1541" 1541 22
"1542" 1542 20
"1543" 1543 20
"1544" 1544 16
"1545" 1545 18
"1546" 1546 17
"1547" 1547 18
"1548" 1548 15
"1549" 1549 21
"1550" 1550 22
"1551" 1551 20
"1552" 1552 15
"1553" 1553 17
"1554" 1554 12
"1555" 1555 20
"1556" 1556 17
"1557" 1557 16
"1558" 1558 22
"1559" 1559 13
"1560" 1560 17
"1561" 1561 17
"1562" 1562 18
"1563" 1563 15
"1564" 1564 16
"1565" 1565 19
"1566" 1566 14
"1567" 1567 15
"1568" 1568 12
"1569" 1569 22
"1570" 1570 20
"1571" 1571 22
"1572" 1572 16
"1573" 1573 19
"1574" 1574 13
"1575" 1575 16
"1576" 1576 20
"1577" 1577 15
"1578" 1578 21
"1579" 1579 17
"1580" 1580 19
"1581" 1581 19
"1582" 1582 17
"1583" 1583 14
"1584" 1584 19
"1585" 1585 16
"1586" 1586 15
"1587" 1587 19
"1588" 1588 18
"1589" 1589 16
"1590" 1590 14
"1591" 1591 16
"1592" 1592 19
"1593" 1593 17
